radius:30
size:40^40
path:ca_nv_elevation_grid.txt
fields:rainfall	tempLow	tempHigh	latitude	longitude
geo:32.5,42.0,-124.5,-114.5
climate:California|32.5,42.0|20,14|10.0|270.0|0.1|0.01|2000.0|0.002|2000.0|2000.0|6.5|200,500,1000,2000|Mediterranean with extreme orographic effects. Mojave to redwoods.
+data:
0.0,3.0,40.0,60.0,42.0,-124.5	0.0,3.0,40.0,60.0,42.0,-124.24358974358974	526.0,4.0,35.0,57.0,42.0,-123.98717948717949	571.0,4.0,35.0,57.0,42.0,-123.73076923076923	1570.0,5.0,25.0,50.0,42.0,-123.47435897435898	1227.0,5.0,28.0,52.0,42.0,-123.21794871794872	1423.0,5.0,26.0,51.0,42.0,-122.96153846153847	1183.0,5.0,29.0,53.0,42.0,-122.7051282051282	860.0,4.0,32.0,55.0,42.0,-122.44871794871796	852.0,4.0,32.0,55.0,42.0,-122.1923076923077	1454.0,5.0,26.0,51.0,42.0,-121.93589743589743	1243.0,5.0,28.0,52.0,42.0,-121.67948717948718	1233.0,5.0,28.0,52.0,42.0,-121.42307692307692	1289.0,5.0,28.0,52.0,42.0,-121.16666666666667	1647.0,5.0,24.0,50.0,42.0,-120.91025641025641	1615.0,5.0,24.0,50.0,42.0,-120.65384615384616	1434.0,5.0,26.0,51.0,42.0,-120.3974358974359	2190.0,5.0,19.0,46.0,42.0,-120.14102564102564	1871.0,5.0,22.0,48.0,42.0,-119.88461538461539	1802.0,5.0,22.0,48.0,42.0,-119.62820512820512	1842.0,5.0,22.0,48.0,42.0,-119.37179487179488	1709.0,5.0,23.0,49.0,42.0,-119.11538461538461	1453.0,5.0,26.0,51.0,42.0,-118.85897435897436	1277.0,5.0,28.0,52.0,42.0,-118.6025641025641	1716.0,5.0,23.0,49.0,42.0,-118.34615384615384	1618.0,5.0,24.0,50.0,42.0,-118.08974358974359	1424.0,5.0,26.0,51.0,42.0,-117.83333333333333	1758.0,5.0,23.0,49.0,42.0,-117.57692307692308	1877.0,5.0,22.0,48.0,42.0,-117.32051282051282	1627.0,5.0,24.0,50.0,42.0,-117.06410256410257	1597.0,5.0,25.0,50.0,42.0,-116.8076923076923	1593.0,5.0,25.0,50.0,42.0,-116.55128205128206	1744.0,5.0,23.0,49.0,42.0,-116.2948717948718	2200.0,5.0,18.0,46.0,42.0,-116.03846153846153	1968.0,5.0,21.0,47.0,42.0,-115.78205128205128	1794.0,5.0,23.0,49.0,42.0,-115.52564102564102	1812.0,5.0,22.0,48.0,42.0,-115.26923076923077	2147.0,5.0,19.0,46.0,42.0,-115.01282051282051	1732.0,5.0,23.0,49.0,42.0,-114.75641025641026	1757.0,5.0,23.0,49.0,42.0,-114.5
0.0,3.0,40.0,60.0,41.756410256410255,-124.5	0.0,3.0,40.0,60.0,41.756410256410255,-124.24358974358974	266.0,3.0,38.0,59.0,41.756410256410255,-123.98717948717949	939.0,4.0,31.0,54.0,41.756410256410255,-123.73076923076923	1077.0,5.0,30.0,53.0,41.756410256410255,-123.47435897435898	1017.0,5.0,30.0,54.0,41.756410256410255,-123.21794871794872	1200.0,5.0,28.0,52.0,41.756410256410255,-122.96153846153847	1199.0,5.0,29.0,53.0,41.756410256410255,-122.7051282051282	822.0,4.0,32.0,55.0,41.756410256410255,-122.44871794871796	1550.0,5.0,25.0,50.0,41.756410256410255,-122.1923076923077	1353.0,5.0,27.0,51.0,41.756410256410255,-121.93589743589743	1403.0,5.0,26.0,51.0,41.756410256410255,-121.67948717948718	1274.0,5.0,28.0,52.0,41.756410256410255,-121.42307692307692	1563.0,5.0,25.0,50.0,41.756410256410255,-121.16666666666667	1506.0,5.0,25.0,50.0,41.756410256410255,-120.91025641025641	1528.0,5.0,25.0,50.0,41.756410256410255,-120.65384615384616	1441.0,5.0,26.0,51.0,41.756410256410255,-120.3974358974359	1355.0,5.0,27.0,51.0,41.756410256410255,-120.14102564102564	1873.0,5.0,22.0,48.0,41.756410256410255,-119.88461538461539	1892.0,5.0,22.0,48.0,41.756410256410255,-119.62820512820512	1824.0,5.0,22.0,48.0,41.756410256410255,-119.37179487179488	1636.0,5.0,24.0,50.0,41.756410256410255,-119.11538461538461	1350.0,5.0,27.0,51.0,41.756410256410255,-118.85897435897436	1560.0,5.0,25.0,50.0,41.756410256410255,-118.6025641025641	1917.0,5.0,21.0,48.0,41.756410256410255,-118.34615384615384	1925.0,5.0,21.0,48.0,41.756410256410255,-118.08974358974359	1297.0,5.0,28.0,52.0,41.756410256410255,-117.83333333333333	1957.0,5.0,21.0,47.0,41.756410256410255,-117.57692307692308	1858.0,5.0,22.0,48.0,41.756410256410255,-117.32051282051282	1725.0,5.0,23.0,49.0,41.756410256410255,-117.06410256410257	1624.0,5.0,24.0,50.0,41.756410256410255,-116.8076923076923	1524.0,5.0,25.0,50.0,41.756410256410255,-116.55128205128206	1595.0,5.0,25.0,50.0,41.756410256410255,-116.2948717948718	1969.0,5.0,21.0,47.0,41.756410256410255,-116.03846153846153	1969.0,5.0,21.0,47.0,41.756410256410255,-115.78205128205128	2447.0,5.0,16.0,44.0,41.756410256410255,-115.52564102564102	2521.0,5.0,15.0,44.0,41.756410256410255,-115.26923076923077	1747.0,5.0,23.0,49.0,41.756410256410255,-115.01282051282051	1632.0,5.0,24.0,50.0,41.756410256410255,-114.75641025641026	2075.0,5.0,20.0,47.0,41.756410256410255,-114.5
0.0,3.0,40.0,60.0,41.51282051282051,-124.5	0.0,3.0,40.0,60.0,41.51282051282051,-124.24358974358974	60.0,3.0,40.0,60.0,41.51282051282051,-123.98717948717949	1346.0,5.0,27.0,52.0,41.51282051282051,-123.73076923076923	1013.0,5.0,30.0,54.0,41.51282051282051,-123.47435897435898	1495.0,5.0,26.0,51.0,41.51282051282051,-123.21794871794872	1226.0,5.0,28.0,52.0,41.51282051282051,-122.96153846153847	1341.0,5.0,27.0,52.0,41.51282051282051,-122.7051282051282	811.0,4.0,32.0,55.0,41.51282051282051,-122.44871794871796	1559.0,5.0,25.0,50.0,41.51282051282051,-122.1923076923077	2048.0,5.0,20.0,47.0,41.51282051282051,-121.93589743589743	1687.0,5.0,24.0,49.0,41.51282051282051,-121.67948717948718	1390.0,5.0,27.0,51.0,41.51282051282051,-121.42307692307692	1424.0,5.0,26.0,51.0,41.51282051282051,-121.16666666666667	1380.0,5.0,27.0,51.0,41.51282051282051,-120.91025641025641	1508.0,5.0,25.0,50.0,41.51282051282051,-120.65384615384616	1479.0,5.0,26.0,51.0,41.51282051282051,-120.3974358974359	1374.0,5.0,27.0,51.0,41.51282051282051,-120.14102564102564	1977.0,5.0,21.0,47.0,41.51282051282051,-119.88461538461539	2059.0,5.0,20.0,47.0,41.51282051282051,-119.62820512820512	1690.0,5.0,24.0,49.0,41.51282051282051,-119.37179487179488	1968.0,5.0,21.0,47.0,41.51282051282051,-119.11538461538461	1798.0,5.0,23.0,49.0,41.51282051282051,-118.85897435897436	1431.0,5.0,26.0,51.0,41.51282051282051,-118.6025641025641	1255.0,5.0,28.0,52.0,41.51282051282051,-118.34615384615384	1259.0,5.0,28.0,52.0,41.51282051282051,-118.08974358974359	1289.0,5.0,28.0,52.0,41.51282051282051,-117.83333333333333	1459.0,5.0,26.0,51.0,41.51282051282051,-117.57692307692308	1772.0,5.0,23.0,49.0,41.51282051282051,-117.32051282051282	1629.0,5.0,24.0,50.0,41.51282051282051,-117.06410256410257	1662.0,5.0,24.0,49.0,41.51282051282051,-116.8076923076923	1681.0,5.0,24.0,49.0,41.51282051282051,-116.55128205128206	1829.0,5.0,22.0,48.0,41.51282051282051,-116.2948717948718	2214.0,5.0,18.0,46.0,41.51282051282051,-116.03846153846153	2047.0,5.0,20.0,47.0,41.51282051282051,-115.78205128205128	1990.0,5.0,21.0,47.0,41.51282051282051,-115.52564102564102	1817.0,5.0,22.0,48.0,41.51282051282051,-115.26923076923077	2307.0,5.0,17.0,45.0,41.51282051282051,-115.01282051282051	1819.0,5.0,22.0,48.0,41.51282051282051,-114.75641025641026	1672.0,5.0,24.0,49.0,41.51282051282051,-114.5
0.0,3.0,40.0,60.0,41.26923076923077,-124.5	0.0,3.0,40.0,60.0,41.26923076923077,-124.24358974358974	708.0,4.0,33.0,56.0,41.26923076923077,-123.98717948717949	1042.0,5.0,30.0,54.0,41.26923076923077,-123.73076923076923	1130.0,5.0,29.0,53.0,41.26923076923077,-123.47435897435898	1460.0,5.0,26.0,51.0,41.26923076923077,-123.21794871794872	1811.0,5.0,22.0,48.0,41.26923076923077,-122.96153846153847	1715.0,5.0,23.0,49.0,41.26923076923077,-122.7051282051282	1710.0,5.0,23.0,49.0,41.26923076923077,-122.44871794871796	1260.0,5.0,28.0,52.0,41.26923076923077,-122.1923076923077	1127.0,5.0,29.0,53.0,41.26923076923077,-121.93589743589743	1256.0,5.0,28.0,52.0,41.26923076923077,-121.67948717948718	1423.0,5.0,26.0,51.0,41.26923076923077,-121.42307692307692	1301.0,5.0,27.0,52.0,41.26923076923077,-121.16666666666667	1406.0,5.0,26.0,51.0,41.26923076923077,-120.91025641025641	1584.0,5.0,25.0,50.0,41.26923076923077,-120.65384615384616	1594.0,5.0,25.0,50.0,41.26923076923077,-120.3974358974359	1874.0,5.0,22.0,48.0,41.26923076923077,-120.14102564102564	2049.0,5.0,20.0,47.0,41.26923076923077,-119.88461538461539	1796.0,5.0,23.0,49.0,41.26923076923077,-119.62820512820512	1727.0,5.0,23.0,49.0,41.26923076923077,-119.37179487179488	1484.0,5.0,26.0,51.0,41.26923076923077,-119.11538461538461	1259.0,5.0,28.0,52.0,41.26923076923077,-118.85897435897436	1215.0,5.0,28.0,52.0,41.26923076923077,-118.6025641025641	1538.0,5.0,25.0,50.0,41.26923076923077,-118.34615384615384	1281.0,5.0,28.0,52.0,41.26923076923077,-118.08974358974359	1332.0,5.0,27.0,52.0,41.26923076923077,-117.83333333333333	1323.0,5.0,27.0,52.0,41.26923076923077,-117.57692307692308	1415.0,5.0,26.0,51.0,41.26923076923077,-117.32051282051282	1617.0,5.0,24.0,50.0,41.26923076923077,-117.06410256410257	2010.0,5.0,20.0,47.0,41.26923076923077,-116.8076923076923	1796.0,5.0,23.0,49.0,41.26923076923077,-116.55128205128206	1973.0,5.0,21.0,47.0,41.26923076923077,-116.2948717948718	2075.0,5.0,20.0,47.0,41.26923076923077,-116.03846153846153	1796.0,5.0,23.0,49.0,41.26923076923077,-115.78205128205128	1713.0,5.0,23.0,49.0,41.26923076923077,-115.52564102564102	1729.0,5.0,23.0,49.0,41.26923076923077,-115.26923076923077	1762.0,5.0,23.0,49.0,41.26923076923077,-115.01282051282051	2049.0,5.0,20.0,47.0,41.26923076923077,-114.75641025641026	1782.0,5.0,23.0,49.0,41.26923076923077,-114.5
0.0,3.0,40.0,60.0,41.02564102564103,-124.5	0.0,3.0,40.0,60.0,41.02564102564103,-124.24358974358974	279.0,3.0,38.0,59.0,41.02564102564103,-123.98717948717949	560.0,4.0,35.0,57.0,41.02564102564103,-123.73076923076923	1230.0,5.0,28.0,52.0,41.02564102564103,-123.47435897435898	1225.0,5.0,28.0,52.0,41.02564102564103,-123.21794871794872	2512.0,5.0,15.0,44.0,41.02564102564103,-122.96153846153847	987.0,4.0,31.0,54.0,41.02564102564103,-122.7051282051282	1125.0,5.0,29.0,53.0,41.02564102564103,-122.44871794871796	1001.0,5.0,30.0,54.0,41.02564102564103,-122.1923076923077	511.0,4.0,35.0,57.0,41.02564102564103,-121.93589743589743	909.0,4.0,31.0,54.0,41.02564102564103,-121.67948717948718	1014.0,5.0,30.0,54.0,41.02564102564103,-121.42307692307692	1336.0,5.0,27.0,52.0,41.02564102564103,-121.16666666666667	1637.0,5.0,24.0,50.0,41.02564102564103,-120.91025641025641	1621.0,5.0,24.0,50.0,41.02564102564103,-120.65384615384616	1857.0,5.0,22.0,48.0,41.02564102564103,-120.3974358974359	1889.0,5.0,22.0,48.0,41.02564102564103,-120.14102564102564	1435.0,5.0,26.0,51.0,41.02564102564103,-119.88461538461539	1694.0,5.0,24.0,49.0,41.02564102564103,-119.62820512820512	1553.0,5.0,25.0,50.0,41.02564102564103,-119.37179487179488	1191.0,5.0,29.0,53.0,41.02564102564103,-119.11538461538461	1199.0,5.0,29.0,53.0,41.02564102564103,-118.85897435897436	1671.0,5.0,24.0,49.0,41.02564102564103,-118.6025641025641	1326.0,5.0,27.0,52.0,41.02564102564103,-118.34615384615384	1419.0,5.0,26.0,51.0,41.02564102564103,-118.08974358974359	1522.0,5.0,25.0,50.0,41.02564102564103,-117.83333333333333	1314.0,5.0,27.0,52.0,41.02564102564103,-117.57692307692308	1332.0,5.0,27.0,52.0,41.02564102564103,-117.32051282051282	1380.0,5.0,27.0,51.0,41.02564102564103,-117.06410256410257	1695.0,5.0,24.0,49.0,41.02564102564103,-116.8076923076923	1609.0,5.0,24.0,50.0,41.02564102564103,-116.55128205128206	2194.0,5.0,19.0,46.0,41.02564102564103,-116.2948717948718	2098.0,5.0,20.0,47.0,41.02564102564103,-116.03846153846153	2080.0,5.0,20.0,47.0,41.02564102564103,-115.78205128205128	1603.0,5.0,24.0,50.0,41.02564102564103,-115.52564102564102	1642.0,5.0,24.0,50.0,41.02564102564103,-115.26923076923077	2061.0,5.0,20.0,47.0,41.02564102564103,-115.01282051282051	1745.0,5.0,23.0,49.0,41.02564102564103,-114.75641025641026	1817.0,5.0,22.0,48.0,41.02564102564103,-114.5
0.0,3.0,40.0,60.0,40.782051282051285,-124.5	0.0,3.0,40.0,60.0,40.782051282051285,-124.24358974358974	363.0,3.0,37.0,58.0,40.782051282051285,-123.98717948717949	751.0,4.0,33.0,55.0,40.782051282051285,-123.73076923076923	889.0,4.0,32.0,55.0,40.782051282051285,-123.47435897435898	750.0,4.0,33.0,55.0,40.782051282051285,-123.21794871794872	1339.0,5.0,27.0,52.0,40.782051282051285,-122.96153846153847	1254.0,5.0,28.0,52.0,40.782051282051285,-122.7051282051282	963.0,4.0,31.0,54.0,40.782051282051285,-122.44871794871796	326.0,3.0,37.0,58.0,40.782051282051285,-122.1923076923077	738.0,4.0,33.0,56.0,40.782051282051285,-121.93589743589743	1411.0,5.0,26.0,51.0,40.782051282051285,-121.67948717948718	1281.0,5.0,28.0,52.0,40.782051282051285,-121.42307692307692	2015.0,5.0,20.0,47.0,40.782051282051285,-121.16666666666667	1918.0,5.0,21.0,48.0,40.782051282051285,-120.91025641025641	1901.0,5.0,21.0,48.0,40.782051282051285,-120.65384615384616	1752.0,5.0,23.0,49.0,40.782051282051285,-120.3974358974359	1915.0,5.0,21.0,48.0,40.782051282051285,-120.14102564102564	1674.0,5.0,24.0,49.0,40.782051282051285,-119.88461538461539	1784.0,5.0,23.0,49.0,40.782051282051285,-119.62820512820512	1436.0,5.0,26.0,51.0,40.782051282051285,-119.37179487179488	1193.0,5.0,29.0,53.0,40.782051282051285,-119.11538461538461	1290.0,5.0,28.0,52.0,40.782051282051285,-118.85897435897436	1526.0,5.0,25.0,50.0,40.782051282051285,-118.6025641025641	1298.0,5.0,28.0,52.0,40.782051282051285,-118.34615384615384	1307.0,5.0,27.0,52.0,40.782051282051285,-118.08974358974359	1404.0,5.0,26.0,51.0,40.782051282051285,-117.83333333333333	2120.0,5.0,19.0,46.0,40.782051282051285,-117.57692307692308	1806.0,5.0,22.0,48.0,40.782051282051285,-117.32051282051282	1359.0,5.0,27.0,51.0,40.782051282051285,-117.06410256410257	1895.0,5.0,22.0,48.0,40.782051282051285,-116.8076923076923	1414.0,5.0,26.0,51.0,40.782051282051285,-116.55128205128206	1851.0,5.0,22.0,48.0,40.782051282051285,-116.2948717948718	1658.0,5.0,24.0,49.0,40.782051282051285,-116.03846153846153	1683.0,5.0,24.0,49.0,40.782051282051285,-115.78205128205128	1698.0,5.0,24.0,49.0,40.782051282051285,-115.52564102564102	2757.0,5.0,13.0,42.0,40.782051282051285,-115.26923076923077	1716.0,5.0,23.0,49.0,40.782051282051285,-115.01282051282051	1705.0,5.0,23.0,49.0,40.782051282051285,-114.75641025641026	1705.0,5.0,23.0,49.0,40.782051282051285,-114.5
0.0,3.0,40.0,60.0,40.53846153846154,-124.5	172.0,3.0,39.0,59.0,40.53846153846154,-124.24358974358974	446.0,3.0,36.0,58.0,40.53846153846154,-123.98717948717949	668.0,4.0,34.0,56.0,40.53846153846154,-123.73076923076923	1028.0,5.0,30.0,54.0,40.53846153846154,-123.47435897435898	723.0,4.0,33.0,56.0,40.53846153846154,-123.21794871794872	1174.0,5.0,29.0,53.0,40.53846153846154,-122.96153846153847	921.0,4.0,31.0,54.0,40.53846153846154,-122.7051282051282	221.0,3.0,38.0,59.0,40.53846153846154,-122.44871794871796	186.0,3.0,39.0,59.0,40.53846153846154,-122.1923076923077	675.0,4.0,34.0,56.0,40.53846153846154,-121.93589743589743	1343.0,5.0,27.0,52.0,40.53846153846154,-121.67948717948718	2064.0,5.0,20.0,47.0,40.53846153846154,-121.42307692307692	1970.0,5.0,21.0,47.0,40.53846153846154,-121.16666666666667	1846.0,5.0,22.0,48.0,40.53846153846154,-120.91025641025641	1504.0,5.0,25.0,50.0,40.53846153846154,-120.65384615384616	1430.0,5.0,26.0,51.0,40.53846153846154,-120.3974358974359	1465.0,5.0,26.0,51.0,40.53846153846154,-120.14102564102564	1514.0,5.0,25.0,50.0,40.53846153846154,-119.88461538461539	1176.0,5.0,29.0,53.0,40.53846153846154,-119.62820512820512	1235.0,5.0,28.0,52.0,40.53846153846154,-119.37179487179488	1508.0,5.0,25.0,50.0,40.53846153846154,-119.11538461538461	1690.0,5.0,24.0,49.0,40.53846153846154,-118.85897435897436	1528.0,5.0,25.0,50.0,40.53846153846154,-118.6025641025641	1291.0,5.0,28.0,52.0,40.53846153846154,-118.34615384615384	1489.0,5.0,26.0,51.0,40.53846153846154,-118.08974358974359	1742.0,5.0,23.0,49.0,40.53846153846154,-117.83333333333333	1538.0,5.0,25.0,50.0,40.53846153846154,-117.57692307692308	1442.0,5.0,26.0,51.0,40.53846153846154,-117.32051282051282	1489.0,5.0,26.0,51.0,40.53846153846154,-117.06410256410257	1405.0,5.0,26.0,51.0,40.53846153846154,-116.8076923076923	1563.0,5.0,25.0,50.0,40.53846153846154,-116.55128205128206	1636.0,5.0,24.0,50.0,40.53846153846154,-116.2948717948718	2238.0,5.0,18.0,46.0,40.53846153846154,-116.03846153846153	1816.0,5.0,22.0,48.0,40.53846153846154,-115.78205128205128	2186.0,5.0,19.0,46.0,40.53846153846154,-115.52564102564102	1820.0,5.0,22.0,48.0,40.53846153846154,-115.26923076923077	2079.0,5.0,20.0,47.0,40.53846153846154,-115.01282051282051	2431.0,5.0,16.0,44.0,40.53846153846154,-114.75641025641026	1711.0,5.0,23.0,49.0,40.53846153846154,-114.5
0.0,3.0,40.0,60.0,40.294871794871796,-124.5	151.0,3.0,39.0,59.0,40.294871794871796,-124.24358974358974	706.0,4.0,33.0,56.0,40.294871794871796,-123.98717948717949	59.0,3.0,40.0,60.0,40.294871794871796,-123.73076923076923	1157.0,5.0,29.0,53.0,40.294871794871796,-123.47435897435898	1114.0,5.0,29.0,53.0,40.294871794871796,-123.21794871794872	1285.0,5.0,28.0,52.0,40.294871794871796,-122.96153846153847	322.0,3.0,37.0,58.0,40.294871794871796,-122.7051282051282	207.0,3.0,38.0,59.0,40.294871794871796,-122.44871794871796	130.0,3.0,39.0,60.0,40.294871794871796,-122.1923076923077	526.0,4.0,35.0,57.0,40.294871794871796,-121.93589743589743	1528.0,5.0,25.0,50.0,40.294871794871796,-121.67948717948718	1452.0,5.0,26.0,51.0,40.294871794871796,-121.42307692307692	1370.0,5.0,27.0,51.0,40.294871794871796,-121.16666666666667	1606.0,5.0,24.0,50.0,40.294871794871796,-120.91025641025641	2202.0,5.0,18.0,46.0,40.294871794871796,-120.65384615384616	1220.0,5.0,28.0,52.0,40.294871794871796,-120.3974358974359	1256.0,5.0,28.0,52.0,40.294871794871796,-120.14102564102564	1394.0,5.0,27.0,51.0,40.294871794871796,-119.88461538461539	1280.0,5.0,28.0,52.0,40.294871794871796,-119.62820512820512	1277.0,5.0,28.0,52.0,40.294871794871796,-119.37179487179488	1456.0,5.0,26.0,51.0,40.294871794871796,-119.11538461538461	1229.0,5.0,28.0,52.0,40.294871794871796,-118.85897435897436	1763.0,5.0,23.0,49.0,40.294871794871796,-118.6025641025641	1273.0,5.0,28.0,52.0,40.294871794871796,-118.34615384615384	1570.0,5.0,25.0,50.0,40.294871794871796,-118.08974358974359	1803.0,5.0,22.0,48.0,40.294871794871796,-117.83333333333333	1959.0,5.0,21.0,47.0,40.294871794871796,-117.57692307692308	1703.0,5.0,23.0,49.0,40.294871794871796,-117.32051282051282	1553.0,5.0,25.0,50.0,40.294871794871796,-117.06410256410257	1982.0,5.0,21.0,47.0,40.294871794871796,-116.8076923076923	1447.0,5.0,26.0,51.0,40.294871794871796,-116.55128205128206	1932.0,5.0,21.0,48.0,40.294871794871796,-116.2948717948718	1867.0,5.0,22.0,48.0,40.294871794871796,-116.03846153846153	1684.0,5.0,24.0,49.0,40.294871794871796,-115.78205128205128	2194.0,5.0,19.0,46.0,40.294871794871796,-115.52564102564102	2015.0,5.0,20.0,47.0,40.294871794871796,-115.26923076923077	1850.0,5.0,22.0,48.0,40.294871794871796,-115.01282051282051	1770.0,5.0,23.0,49.0,40.294871794871796,-114.75641025641026	2084.0,5.0,20.0,47.0,40.294871794871796,-114.5
0.0,3.0,40.0,60.0,40.05128205128205,-124.5	0.0,3.0,40.0,60.0,40.05128205128205,-124.24358974358974	327.0,3.0,37.0,58.0,40.05128205128205,-123.98717948717949	365.0,3.0,37.0,58.0,40.05128205128205,-123.73076923076923	601.0,4.0,34.0,56.0,40.05128205128205,-123.47435897435898	1114.0,5.0,29.0,53.0,40.05128205128205,-123.21794871794872	2010.0,5.0,20.0,47.0,40.05128205128205,-122.96153846153847	1284.0,5.0,28.0,52.0,40.05128205128205,-122.7051282051282	212.0,3.0,38.0,59.0,40.05128205128205,-122.44871794871796	83.0,3.0,40.0,60.0,40.05128205128205,-122.1923076923077	327.0,3.0,37.0,58.0,40.05128205128205,-121.93589743589743	1131.0,5.0,29.0,53.0,40.05128205128205,-121.67948717948718	1809.0,5.0,22.0,48.0,40.05128205128205,-121.42307692307692	1535.0,5.0,25.0,50.0,40.05128205128205,-121.16666666666667	1856.0,5.0,22.0,48.0,40.05128205128205,-120.91025641025641	1528.0,5.0,25.0,50.0,40.05128205128205,-120.65384615384616	1929.0,5.0,21.0,48.0,40.05128205128205,-120.3974358974359	1282.0,5.0,28.0,52.0,40.05128205128205,-120.14102564102564	1690.0,5.0,24.0,49.0,40.05128205128205,-119.88461538461539	1165.0,5.0,29.0,53.0,40.05128205128205,-119.62820512820512	1160.0,5.0,29.0,53.0,40.05128205128205,-119.37179487179488	1751.0,5.0,23.0,49.0,40.05128205128205,-119.11538461538461	1302.0,5.0,27.0,52.0,40.05128205128205,-118.85897435897436	1192.0,5.0,29.0,53.0,40.05128205128205,-118.6025641025641	1524.0,5.0,25.0,50.0,40.05128205128205,-118.34615384615384	1274.0,5.0,28.0,52.0,40.05128205128205,-118.08974358974359	2222.0,5.0,18.0,46.0,40.05128205128205,-117.83333333333333	1318.0,5.0,27.0,52.0,40.05128205128205,-117.57692307692308	1505.0,5.0,25.0,50.0,40.05128205128205,-117.32051282051282	1923.0,5.0,21.0,48.0,40.05128205128205,-117.06410256410257	1997.0,5.0,21.0,47.0,40.05128205128205,-116.8076923076923	1769.0,5.0,23.0,49.0,40.05128205128205,-116.55128205128206	1772.0,5.0,23.0,49.0,40.05128205128205,-116.2948717948718	1899.0,5.0,22.0,48.0,40.05128205128205,-116.03846153846153	1821.0,5.0,22.0,48.0,40.05128205128205,-115.78205128205128	1853.0,5.0,22.0,48.0,40.05128205128205,-115.52564102564102	2155.0,5.0,19.0,46.0,40.05128205128205,-115.26923076923077	1909.0,5.0,21.0,48.0,40.05128205128205,-115.01282051282051	1802.0,5.0,22.0,48.0,40.05128205128205,-114.75641025641026	2051.0,5.0,20.0,47.0,40.05128205128205,-114.5
0.0,3.0,40.0,60.0,39.80769230769231,-124.5	0.0,3.0,40.0,60.0,39.80769230769231,-124.24358974358974	0.0,3.0,40.0,60.0,39.80769230769231,-123.98717948717949	521.0,4.0,35.0,57.0,39.80769230769231,-123.73076923076923	1162.0,5.0,29.0,53.0,39.80769230769231,-123.47435897435898	420.0,3.0,36.0,58.0,39.80769230769231,-123.21794871794872	1137.0,5.0,29.0,53.0,39.80769230769231,-122.96153846153847	1526.0,5.0,25.0,50.0,39.80769230769231,-122.7051282051282	175.0,3.0,39.0,59.0,39.80769230769231,-122.44871794871796	80.0,3.0,40.0,60.0,39.80769230769231,-122.1923076923077	49.0,3.0,40.0,60.0,39.80769230769231,-121.93589743589743	442.0,3.0,36.0,58.0,39.80769230769231,-121.67948717948718	696.0,4.0,34.0,56.0,39.80769230769231,-121.42307692307692	1681.0,5.0,24.0,49.0,39.80769230769231,-121.16666666666667	1826.0,5.0,22.0,48.0,39.80769230769231,-120.91025641025641	1359.0,5.0,27.0,51.0,39.80769230769231,-120.65384615384616	1537.0,5.0,25.0,50.0,39.80769230769231,-120.3974358974359	1563.0,5.0,25.0,50.0,39.80769230769231,-120.14102564102564	1658.0,5.0,24.0,49.0,39.80769230769231,-119.88461538461539	1315.0,5.0,27.0,52.0,39.80769230769231,-119.62820512820512	1221.0,5.0,28.0,52.0,39.80769230769231,-119.37179487179488	1723.0,5.0,23.0,49.0,39.80769230769231,-119.11538461538461	1226.0,5.0,28.0,52.0,39.80769230769231,-118.85897435897436	1178.0,5.0,29.0,53.0,39.80769230769231,-118.6025641025641	1180.0,5.0,29.0,53.0,39.80769230769231,-118.34615384615384	1461.0,5.0,26.0,51.0,39.80769230769231,-118.08974358974359	1159.0,5.0,29.0,53.0,39.80769230769231,-117.83333333333333	2101.0,5.0,19.0,46.0,39.80769230769231,-117.57692307692308	1737.0,5.0,23.0,49.0,39.80769230769231,-117.32051282051282	1868.0,5.0,22.0,48.0,39.80769230769231,-117.06410256410257	2183.0,5.0,19.0,46.0,39.80769230769231,-116.8076923076923	2344.0,5.0,17.0,45.0,39.80769230769231,-116.55128205128206	2282.0,5.0,18.0,45.0,39.80769230769231,-116.2948717948718	1783.0,5.0,23.0,49.0,39.80769230769231,-116.03846153846153	2270.0,5.0,18.0,45.0,39.80769230769231,-115.78205128205128	2108.0,5.0,19.0,46.0,39.80769230769231,-115.52564102564102	2064.0,5.0,20.0,47.0,39.80769230769231,-115.26923076923077	2326.0,5.0,17.0,45.0,39.80769230769231,-115.01282051282051	1837.0,5.0,22.0,48.0,39.80769230769231,-114.75641025641026	2125.0,5.0,19.0,46.0,39.80769230769231,-114.5
