radius:10.0
size:80^100
path:/Users/arthurconner/code/HowGen/grand_canyon.txt
+data:
1669.0,5,24,49	1398.0,5,27,51	1543.0,5,25,50	1866.0,5,22,48	1961.0,5,21,47	2207.0,5,18,46	2298.0,5,18,45	2288.0,5,18,45	1831.0,5,22,48	1639.0,5,24,50	1578.0,5,25,50	1740.0,5,23,49	1926.0,5,21,48	1966.0,5,21,47	1917.0,5,21,48	1721.0,5,23,49	1936.0,5,21,48	2000.0,5,20,47	2218.0,5,18,46	2080.0,5,20,47	2053.0,5,20,47	1972.0,5,21,47	1856.0,5,22,48	2138.0,5,19,46	2478.0,5,16,44	2452.0,5,16,44	2512.0,5,15,44	2533.0,5,15,44	2544.0,5,15,44	2534.0,5,15,44	2536.0,5,15,44	2565.0,5,15,43	2576.0,5,15,43	2572.0,5,15,43	2591.0,5,15,43	2608.0,5,14,43	2599.0,5,15,43	2558.0,5,15,43	2634.0,5,14,43	2621.0,5,14,43	2617.0,5,14,43	2607.0,5,14,43	2655.0,5,14,43	2661.0,5,14,43	2628.0,5,14,43	2664.0,5,14,43	2695.0,5,14,43	2703.0,5,13,42	2679.0,5,14,43	2672.0,5,14,43	2605.0,5,14,43	2679.0,5,14,43	2678.0,5,14,43	2692.0,5,14,43	2675.0,5,14,43	2683.0,5,14,43	2710.0,5,13,42	2725.0,5,13,42	2738.0,5,13,42	2728.0,5,13,42	2734.0,5,13,42	2712.0,5,13,42	2715.0,5,13,42	2740.0,5,13,42	2735.0,5,13,42	2725.0,5,13,42	2691.0,5,14,43	2693.0,5,14,43	2699.0,5,14,43	2702.0,5,13,42	2721.0,5,13,42	2393.0,5,17,45	2281.0,5,18,45	2256.0,5,18,45	2314.0,5,17,45	2352.0,5,17,45	2367.0,5,17,45	2269.0,5,18,45	1895.0,5,22,48	1647.0,5,24,50	1680.0,5,24,49	1828.0,5,22,48	1990.0,5,21,47	1612.0,5,24,50	1550.0,5,25,50	1618.0,5,24,50	1743.0,5,23,49	1810.0,5,22,48	1735.0,5,23,49	1710.0,5,23,49	1551.0,5,25,50	1504.0,5,25,50	1311.0,5,27,52	1392.0,5,27,51	1300.0,5,27,52	1226.0,5,28,52	1198.0,5,29,53	921.0,4,31,54	1160.0,5,29,53	1277.0,5,28,52
1623.0,5,24,50	1280.0,5,28,52	1535.0,5,25,50	1580.0,5,25,50	1836.0,5,22,48	1754.0,5,23,49	2050.0,5,20,47	2128.0,5,19,46	2089.0,5,20,47	1820.0,5,22,48	1369.0,5,27,51	1439.0,5,26,51	1863.0,5,22,48	1675.0,5,24,49	1799.0,5,23,49	1757.0,5,23,49	1523.0,5,25,50	1784.0,5,23,49	2047.0,5,20,47	1812.0,5,22,48	1808.0,5,22,48	1776.0,5,23,49	1986.0,5,21,47	2082.0,5,20,47	2356.0,5,17,45	2449.0,5,16,44	2475.0,5,16,44	2531.0,5,15,44	2542.0,5,15,44	2503.0,5,15,44	2505.0,5,15,44	2541.0,5,15,44	2588.0,5,15,43	2577.0,5,15,43	2600.0,5,14,43	2599.0,5,15,43	2539.0,5,15,44	2616.0,5,14,43	2625.0,5,14,43	2564.0,5,15,43	2601.0,5,14,43	2628.0,5,14,43	2645.0,5,14,43	2580.0,5,15,43	2605.0,5,14,43	2660.0,5,14,43	2674.0,5,14,43	2683.0,5,14,43	2704.0,5,13,42	2653.0,5,14,43	2606.0,5,14,43	2597.0,5,15,43	2695.0,5,14,43	2726.0,5,13,42	2696.0,5,14,43	2692.0,5,14,43	2649.0,5,14,43	2722.0,5,13,42	2708.0,5,13,42	2715.0,5,13,42	2733.0,5,13,42	2727.0,5,13,42	2721.0,5,13,42	2731.0,5,13,42	2734.0,5,13,42	2710.0,5,13,42	2697.0,5,14,43	2676.0,5,14,43	2694.0,5,14,43	2695.0,5,14,43	2630.0,5,14,43	2265.0,5,18,45	2164.0,5,19,46	2078.0,5,20,47	1783.0,5,23,49	1756.0,5,23,49	1843.0,5,22,48	2015.0,5,20,47	2086.0,5,20,47	1818.0,5,22,48	1676.0,5,24,49	1529.0,5,25,50	1704.0,5,23,49	1716.0,5,23,49	1585.0,5,25,50	1418.0,5,26,51	1430.0,5,26,51	1543.0,5,25,50	1730.0,5,23,49	1760.0,5,23,49	1469.0,5,26,51	1438.0,5,26,51	1329.0,5,27,52	1289.0,5,28,52	1274.0,5,28,52	1257.0,5,28,52	1277.0,5,28,52	854.0,4,32,55	1063.0,5,30,53	1404.0,5,26,51
1629.0,5,24,50	1337.0,5,27,52	1230.0,5,28,52	1607.0,5,24,50	1373.0,5,27,51	1527.0,5,25,50	1891.0,5,22,48	1958.0,5,21,47	1968.0,5,21,47	1871.0,5,22,48	1279.0,5,28,52	1572.0,5,25,50	1695.0,5,24,49	1529.0,5,25,50	1764.0,5,23,49	1799.0,5,23,49	1763.0,5,23,49	1481.0,5,26,51	1641.0,5,24,50	1531.0,5,25,50	1583.0,5,25,50	1661.0,5,24,49	1769.0,5,23,49	1885.0,5,22,48	2248.0,5,18,46	2468.0,5,16,44	2465.0,5,16,44	2521.0,5,15,44	2474.0,5,16,44	2510.0,5,15,44	2531.0,5,15,44	2548.0,5,15,44	2571.0,5,15,43	2563.0,5,15,43	2583.0,5,15,43	2591.0,5,15,43	2547.0,5,15,44	2606.0,5,14,43	2564.0,5,15,43	2609.0,5,14,43	2623.0,5,14,43	2627.0,5,14,43	2565.0,5,15,43	2628.0,5,14,43	2600.0,5,14,43	2659.0,5,14,43	2669.0,5,14,43	2604.0,5,14,43	2657.0,5,14,43	2692.0,5,14,43	2602.0,5,14,43	2580.0,5,15,43	2701.0,5,13,42	2718.0,5,13,42	2702.0,5,13,42	2675.0,5,14,43	2689.0,5,14,43	2687.0,5,14,43	2713.0,5,13,42	2709.0,5,13,42	2721.0,5,13,42	2666.0,5,14,43	2716.0,5,13,42	2714.0,5,13,42	2718.0,5,13,42	2708.0,5,13,42	2694.0,5,14,43	2680.0,5,14,43	2683.0,5,14,43	2693.0,5,14,43	2704.0,5,13,42	2479.0,5,16,44	2521.0,5,15,44	2393.0,5,17,45	2197.0,5,19,46	1827.0,5,22,48	1620.0,5,24,50	1614.0,5,24,50	1758.0,5,23,49	1749.0,5,23,49	1700.0,5,23,49	1510.0,5,25,50	1486.0,5,26,51	1716.0,5,23,49	1762.0,5,23,49	1485.0,5,26,51	1331.0,5,27,52	1334.0,5,27,52	1431.0,5,26,51	1485.0,5,26,51	1257.0,5,28,52	1292.0,5,28,52	1261.0,5,28,52	1298.0,5,28,52	1275.0,5,28,52	1478.0,5,26,51	1284.0,5,28,52	933.0,4,31,54	847.0,4,32,55	1044.0,5,30,54
1687.0,5,24,49	1314.0,5,27,52	1195.0,5,29,53	1210.0,5,28,52	1265.0,5,28,52	1825.0,5,22,48	1883.0,5,22,48	1865.0,5,22,48	1657.0,5,24,49	1568.0,5,25,50	1321.0,5,27,52	1436.0,5,26,51	1371.0,5,27,51	1732.0,5,23,49	1923.0,5,21,48	1658.0,5,24,49	1418.0,5,26,51	1522.0,5,25,50	1535.0,5,25,50	1725.0,5,23,49	1911.0,5,21,48	2015.0,5,20,47	1997.0,5,21,47	1936.0,5,21,48	2183.0,5,19,46	2424.0,5,16,44	2469.0,5,16,44	2500.0,5,15,44	2452.0,5,16,44	2486.0,5,16,44	2525.0,5,15,44	2542.0,5,15,44	2540.0,5,15,44	2571.0,5,15,43	2579.0,5,15,43	2577.0,5,15,43	2535.0,5,15,44	2535.0,5,15,44	2615.0,5,14,43	2600.0,5,14,43	2615.0,5,14,43	2573.0,5,15,43	2614.0,5,14,43	2616.0,5,14,43	2643.0,5,14,43	2657.0,5,14,43	2619.0,5,14,43	2617.0,5,14,43	2590.0,5,15,43	2611.0,5,14,43	2577.0,5,15,43	2556.0,5,15,43	2672.0,5,14,43	2692.0,5,14,43	2703.0,5,13,42	2677.0,5,14,43	2696.0,5,14,43	2683.0,5,14,43	2691.0,5,14,43	2665.0,5,14,43	2696.0,5,14,43	2681.0,5,14,43	2709.0,5,13,42	2681.0,5,14,43	2701.0,5,13,42	2709.0,5,13,42	2699.0,5,14,43	2667.0,5,14,43	2668.0,5,14,43	2673.0,5,14,43	2676.0,5,14,43	2703.0,5,13,42	2707.0,5,13,42	2498.0,5,16,44	2398.0,5,17,45	2252.0,5,18,45	1837.0,5,22,48	1681.0,5,24,49	1539.0,5,25,50	1500.0,5,25,50	1455.0,5,26,51	1412.0,5,26,51	1382.0,5,27,51	1415.0,5,26,51	1467.0,5,26,51	1592.0,5,25,50	1421.0,5,26,51	1247.0,5,28,52	1306.0,5,27,52	1240.0,5,28,52	1224.0,5,28,52	1123.0,5,29,53	1081.0,5,30,53	1326.0,5,27,52	1491.0,5,26,51	1517.0,5,25,50	1278.0,5,28,52	1328.0,5,27,52	996.0,4,31,54	848.0,4,32,55
1553.0,5,25,50	1292.0,5,28,52	1229.0,5,28,52	1121.0,5,29,53	1220.0,5,28,52	1591.0,5,25,50	1746.0,5,23,49	1547.0,5,25,50	1303.0,5,27,52	1650.0,5,24,49	1408.0,5,26,51	1221.0,5,28,52	1492.0,5,26,51	1924.0,5,21,48	1854.0,5,22,48	1406.0,5,26,51	1334.0,5,27,52	1432.0,5,26,51	1756.0,5,23,49	1819.0,5,22,48	2035.0,5,20,47	2281.0,5,18,45	2253.0,5,18,45	2226.0,5,18,46	2331.0,5,17,45	2408.0,5,16,44	2461.0,5,16,44	2439.0,5,16,44	2495.0,5,16,44	2506.0,5,15,44	2511.0,5,15,44	2537.0,5,15,44	2544.0,5,15,44	2564.0,5,15,43	2553.0,5,15,43	2505.0,5,15,44	2565.0,5,15,43	2594.0,5,15,43	2590.0,5,15,43	2595.0,5,15,43	2547.0,5,15,44	2596.0,5,15,43	2619.0,5,14,43	2583.0,5,15,43	2627.0,5,14,43	2654.0,5,14,43	2601.0,5,14,43	2590.0,5,15,43	2562.0,5,15,43	2573.0,5,15,43	2556.0,5,15,43	2546.0,5,15,44	2611.0,5,14,43	2669.0,5,14,43	2702.0,5,13,42	2691.0,5,14,43	2673.0,5,14,43	2651.0,5,14,43	2605.0,5,14,43	2668.0,5,14,43	2600.0,5,14,43	2686.0,5,14,43	2685.0,5,14,43	2680.0,5,14,43	2696.0,5,14,43	2705.0,5,13,42	2672.0,5,14,43	2645.0,5,14,43	2674.0,5,14,43	2639.0,5,14,43	2665.0,5,14,43	2692.0,5,14,43	2707.0,5,13,42	2707.0,5,13,42	2506.0,5,15,44	2268.0,5,18,45	2037.0,5,20,47	1927.0,5,21,48	1873.0,5,22,48	1818.0,5,22,48	1733.0,5,23,49	1582.0,5,25,50	1595.0,5,25,50	1373.0,5,27,51	1304.0,5,27,52	1414.0,5,26,51	1424.0,5,26,51	1308.0,5,27,52	1191.0,5,29,53	1177.0,5,29,53	1166.0,5,29,53	1113.0,5,29,53	1271.0,5,28,52	1339.0,5,27,52	1502.0,5,25,50	1668.0,5,24,49	1642.0,5,24,50	1548.0,5,25,50	1292.0,5,28,52	1008.0,5,30,54
1896.0,5,22,48	1601.0,5,24,50	1374.0,5,27,51	1129.0,5,29,53	1096.0,5,30,53	1284.0,5,28,52	1335.0,5,27,52	1218.0,5,28,52	1530.0,5,25,50	1837.0,5,22,48	1519.0,5,25,50	1222.0,5,28,52	1364.0,5,27,51	1689.0,5,24,49	1420.0,5,26,51	1282.0,5,28,52	1441.0,5,26,51	1647.0,5,24,50	1655.0,5,24,49	2050.0,5,20,47	2127.0,5,19,46	2267.0,5,18,45	2415.0,5,16,44	2363.0,5,17,45	2384.0,5,17,45	2437.0,5,16,44	2439.0,5,16,44	2469.0,5,16,44	2469.0,5,16,44	2478.0,5,16,44	2498.0,5,16,44	2520.0,5,15,44	2539.0,5,15,44	2535.0,5,15,44	2499.0,5,16,44	2525.0,5,15,44	2530.0,5,15,44	2587.0,5,15,43	2560.0,5,15,43	2560.0,5,15,43	2590.0,5,15,43	2592.0,5,15,43	2577.0,5,15,43	2612.0,5,14,43	2593.0,5,15,43	2618.0,5,14,43	2576.0,5,15,43	2554.0,5,15,43	2559.0,5,15,43	2551.0,5,15,43	2559.0,5,15,43	2532.0,5,15,44	2556.0,5,15,43	2645.0,5,14,43	2637.0,5,14,43	2678.0,5,14,43	2687.0,5,14,43	2668.0,5,14,43	2656.0,5,14,43	2673.0,5,14,43	2586.0,5,15,43	2673.0,5,14,43	2666.0,5,14,43	2670.0,5,14,43	2679.0,5,14,43	2695.0,5,14,43	2678.0,5,14,43	2659.0,5,14,43	2653.0,5,14,43	2649.0,5,14,43	2657.0,5,14,43	2667.0,5,14,43	2680.0,5,14,43	2699.0,5,14,43	2557.0,5,15,43	2377.0,5,17,45	1996.0,5,21,47	1813.0,5,22,48	1888.0,5,22,48	1873.0,5,22,48	1776.0,5,23,49	1818.0,5,22,48	1744.0,5,23,49	1415.0,5,26,51	1332.0,5,27,52	1256.0,5,28,52	1268.0,5,28,52	1263.0,5,28,52	1189.0,5,29,53	1176.0,5,29,53	1097.0,5,30,53	1068.0,5,30,53	1272.0,5,28,52	1285.0,5,28,52	1416.0,5,26,51	1716.0,5,23,49	1832.0,5,22,48	1661.0,5,24,49	1488.0,5,26,51	1313.0,5,27,52
1901.0,5,21,48	1782.0,5,23,49	1423.0,5,26,51	1131.0,5,29,53	1058.0,5,30,53	1134.0,5,29,53	1171.0,5,29,53	1158.0,5,29,53	1673.0,5,24,49	1903.0,5,21,48	1627.0,5,24,50	1252.0,5,28,52	1275.0,5,28,52	1453.0,5,26,51	1267.0,5,28,52	1259.0,5,28,52	1361.0,5,27,51	1703.0,5,23,49	1721.0,5,23,49	1955.0,5,21,47	2048.0,5,20,47	2136.0,5,19,46	2322.0,5,17,45	2400.0,5,16,44	2425.0,5,16,44	2433.0,5,16,44	2438.0,5,16,44	2474.0,5,16,44	2455.0,5,16,44	2504.0,5,15,44	2508.0,5,15,44	2529.0,5,15,44	2517.0,5,15,44	2496.0,5,16,44	2539.0,5,15,44	2532.0,5,15,44	2558.0,5,15,43	2586.0,5,15,43	2544.0,5,15,44	2579.0,5,15,43	2576.0,5,15,43	2576.0,5,15,43	2549.0,5,15,44	2598.0,5,15,43	2574.0,5,15,43	2599.0,5,15,43	2567.0,5,15,43	2550.0,5,15,43	2549.0,5,15,44	2544.0,5,15,44	2554.0,5,15,43	2519.0,5,15,44	2561.0,5,15,43	2630.0,5,14,43	2622.0,5,14,43	2689.0,5,14,43	2666.0,5,14,43	2672.0,5,14,43	2651.0,5,14,43	2619.0,5,14,43	2596.0,5,15,43	2694.0,5,14,43	2634.0,5,14,43	2689.0,5,14,43	2660.0,5,14,43	2686.0,5,14,43	2681.0,5,14,43	2637.0,5,14,43	2633.0,5,14,43	2626.0,5,14,43	2668.0,5,14,43	2668.0,5,14,43	2665.0,5,14,43	2668.0,5,14,43	2515.0,5,15,44	2366.0,5,17,45	2072.0,5,20,47	1751.0,5,23,49	1743.0,5,23,49	1724.0,5,23,49	1629.0,5,24,50	1731.0,5,23,49	1720.0,5,23,49	1544.0,5,25,50	1391.0,5,27,51	1278.0,5,28,52	1224.0,5,28,52	1199.0,5,29,53	1160.0,5,29,53	1121.0,5,29,53	1089.0,5,30,53	1148.0,5,29,53	1198.0,5,29,53	1346.0,5,27,52	1336.0,5,27,52	1503.0,5,25,50	1709.0,5,23,49	1815.0,5,22,48	1531.0,5,25,50	1415.0,5,26,51
1889.0,5,22,48	1730.0,5,23,49	1556.0,5,25,50	1162.0,5,29,53	1077.0,5,30,53	1064.0,5,30,53	1144.0,5,29,53	1300.0,5,27,52	1698.0,5,24,49	1922.0,5,21,48	1555.0,5,25,50	1269.0,5,28,52	1188.0,5,29,53	1156.0,5,29,53	1284.0,5,28,52	1486.0,5,26,51	1512.0,5,25,50	1367.0,5,27,51	1666.0,5,24,49	2063.0,5,20,47	2333.0,5,17,45	2403.0,5,16,44	2418.0,5,16,44	2443.0,5,16,44	2452.0,5,16,44	2429.0,5,16,44	2432.0,5,16,44	2455.0,5,16,44	2449.0,5,16,44	2518.0,5,15,44	2518.0,5,15,44	2521.0,5,15,44	2492.0,5,16,44	2520.0,5,15,44	2519.0,5,15,44	2531.0,5,15,44	2563.0,5,15,43	2525.0,5,15,44	2570.0,5,15,43	2570.0,5,15,43	2563.0,5,15,43	2532.0,5,15,44	2563.0,5,15,43	2590.0,5,15,43	2610.0,5,14,43	2597.0,5,15,43	2542.0,5,15,44	2539.0,5,15,44	2540.0,5,15,44	2528.0,5,15,44	2535.0,5,15,44	2531.0,5,15,44	2575.0,5,15,43	2638.0,5,14,43	2654.0,5,14,43	2610.0,5,14,43	2652.0,5,14,43	2655.0,5,14,43	2634.0,5,14,43	2656.0,5,14,43	2563.0,5,15,43	2665.0,5,14,43	2645.0,5,14,43	2680.0,5,14,43	2659.0,5,14,43	2686.0,5,14,43	2681.0,5,14,43	2640.0,5,14,43	2591.0,5,15,43	2652.0,5,14,43	2624.0,5,14,43	2574.0,5,15,43	2393.0,5,17,45	2217.0,5,18,46	2184.0,5,19,46	2267.0,5,18,45	2292.0,5,18,45	1963.0,5,21,47	1792.0,5,23,49	1689.0,5,24,49	1573.0,5,25,50	1477.0,5,26,51	1545.0,5,25,50	1490.0,5,26,51	1501.0,5,25,50	1331.0,5,27,52	1248.0,5,28,52	1218.0,5,28,52	1147.0,5,29,53	1227.0,5,28,52	1128.0,5,29,53	1227.0,5,28,52	1318.0,5,27,52	1372.0,5,27,51	1441.0,5,26,51	1448.0,5,26,51	1550.0,5,25,50	1903.0,5,21,48	1606.0,5,24,50	1452.0,5,26,51
1608.0,5,24,50	1246.0,5,28,52	1410.0,5,26,51	1205.0,5,28,52	1064.0,5,30,53	1051.0,5,30,53	1185.0,5,29,53	1292.0,5,28,52	1767.0,5,23,49	1723.0,5,23,49	1187.0,5,29,53	1090.0,5,30,53	1247.0,5,28,52	1367.0,5,27,51	1623.0,5,24,50	1868.0,5,22,48	1822.0,5,22,48	1580.0,5,25,50	1471.0,5,26,51	1939.0,5,21,48	2206.0,5,18,46	2422.0,5,16,44	2377.0,5,17,45	2428.0,5,16,44	2447.0,5,16,44	2404.0,5,16,44	2455.0,5,16,44	2470.0,5,16,44	2477.0,5,16,44	2499.0,5,16,44	2512.0,5,15,44	2513.0,5,15,44	2514.0,5,15,44	2510.0,5,15,44	2522.0,5,15,44	2545.0,5,15,44	2529.0,5,15,44	2540.0,5,15,44	2546.0,5,15,44	2551.0,5,15,43	2543.0,5,15,44	2553.0,5,15,43	2581.0,5,15,43	2574.0,5,15,43	2593.0,5,15,43	2575.0,5,15,43	2541.0,5,15,44	2515.0,5,15,44	2538.0,5,15,44	2524.0,5,15,44	2529.0,5,15,44	2525.0,5,15,44	2599.0,5,15,43	2624.0,5,14,43	2671.0,5,14,43	2663.0,5,14,43	2640.0,5,14,43	2601.0,5,14,43	2644.0,5,14,43	2579.0,5,15,43	2594.0,5,15,43	2650.0,5,14,43	2643.0,5,14,43	2616.0,5,14,43	2670.0,5,14,43	2681.0,5,14,43	2682.0,5,14,43	2638.0,5,14,43	2587.0,5,15,43	2599.0,5,15,43	2574.0,5,15,43	2442.0,5,16,44	2415.0,5,16,44	2273.0,5,18,45	1820.0,5,22,48	1907.0,5,21,48	2199.0,5,19,46	1842.0,5,22,48	1822.0,5,22,48	1694.0,5,24,49	1619.0,5,24,50	1426.0,5,26,51	1394.0,5,27,51	1424.0,5,26,51	1433.0,5,26,51	1292.0,5,28,52	1253.0,5,28,52	1193.0,5,29,53	1355.0,5,27,51	1384.0,5,27,51	1189.0,5,29,53	1247.0,5,28,52	1381.0,5,27,51	1359.0,5,27,51	1477.0,5,26,51	1612.0,5,24,50	1666.0,5,24,49	1916.0,5,21,48	1899.0,5,22,48	1811.0,5,22,48
1303.0,5,27,52	1322.0,5,27,52	1084.0,5,30,53	1266.0,5,28,52	1096.0,5,30,53	1010.0,5,30,54	1002.0,5,30,54	1095.0,5,30,53	1579.0,5,25,50	1424.0,5,26,51	1121.0,5,29,53	1199.0,5,29,53	1277.0,5,28,52	1535.0,5,25,50	1863.0,5,22,48	2093.0,5,20,47	2136.0,5,19,46	1694.0,5,24,49	1816.0,5,22,48	1911.0,5,21,48	2103.0,5,19,46	2154.0,5,19,46	2192.0,5,19,46	2419.0,5,16,44	2428.0,5,16,44	2405.0,5,16,44	2441.0,5,16,44	2468.0,5,16,44	2477.0,5,16,44	2454.0,5,16,44	2493.0,5,16,44	2488.0,5,16,44	2499.0,5,16,44	2480.0,5,16,44	2535.0,5,15,44	2536.0,5,15,44	2502.0,5,15,44	2553.0,5,15,43	2548.0,5,15,44	2517.0,5,15,44	2531.0,5,15,44	2563.0,5,15,43	2558.0,5,15,43	2574.0,5,15,43	2569.0,5,15,43	2557.0,5,15,43	2547.0,5,15,44	2514.0,5,15,44	2507.0,5,15,44	2517.0,5,15,44	2500.0,5,15,44	2511.0,5,15,44	2556.0,5,15,43	2600.0,5,14,43	2622.0,5,14,43	2660.0,5,14,43	2658.0,5,14,43	2658.0,5,14,43	2583.0,5,15,43	2632.0,5,14,43	2561.0,5,15,43	2604.0,5,14,43	2633.0,5,14,43	2619.0,5,14,43	2654.0,5,14,43	2667.0,5,14,43	2677.0,5,14,43	2623.0,5,14,43	2558.0,5,15,43	2624.0,5,14,43	2537.0,5,15,44	2090.0,5,20,47	2228.0,5,18,46	2332.0,5,17,45	2207.0,5,18,46	1806.0,5,22,48	1782.0,5,23,49	1841.0,5,22,48	1620.0,5,24,50	1492.0,5,26,51	1411.0,5,26,51	1418.0,5,26,51	1401.0,5,26,51	1300.0,5,27,52	1302.0,5,27,52	1232.0,5,28,52	1250.0,5,28,52	1273.0,5,28,52	1475.0,5,26,51	1370.0,5,27,51	1236.0,5,28,52	1335.0,5,27,52	1518.0,5,25,50	1445.0,5,26,51	1347.0,5,27,52	1340.0,5,27,52	1533.0,5,25,50	1703.0,5,23,49	1877.0,5,22,48	1797.0,5,23,49
