radius:18.0
size:80^70
path:hundred_years_80x70.txt
+data:
22.0,3,40,60	279.0,3,38,59	125.0,3,39,60	98.0,3,40,60	197.0,3,39,59	293.0,3,38,59	225.0,3,38,59	210.0,3,38,59	155.0,3,39,59	407.0,3,36,58	274.0,3,38,59	116.0,3,39,60	669.0,4,34,56	177.0,3,39,59	88.0,3,40,60	72.0,3,40,60	55.0,3,40,60	17.0,3,40,60	14.0,3,40,60	73.0,3,40,60	257.0,3,38,59	132.0,3,39,60	169.0,3,39,59	109.0,3,39,60	121.0,3,39,60	88.0,3,40,60	111.0,3,39,60	79.0,3,40,60	113.0,3,39,60	48.0,3,40,60	65.0,3,40,60	144.0,3,39,60	139.0,3,39,60	93.0,3,40,60	95.0,3,40,60	62.0,3,40,60	41.0,3,40,60	28.0,3,40,60	47.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-2.0,3,40,60	-4.0,3,40,60	-7.0,3,40,60	-3.0,3,40,60	-2.0,3,40,60	-2.0,3,40,60	1.0,3,40,60	2.0,3,40,60	59.0,3,40,60	20.0,3,40,60	59.0,3,40,60	9.0,3,40,60
96.0,3,40,60	124.0,3,39,60	163.0,3,39,59	147.0,3,39,60	127.0,3,39,60	62.0,3,40,60	68.0,3,40,60	300.0,3,37,58	564.0,4,35,57	363.0,3,37,58	433.0,3,36,58	254.0,3,38,59	467.0,3,36,57	204.0,3,38,59	128.0,3,39,60	41.0,3,40,60	222.0,3,38,59	32.0,3,40,60	50.0,3,40,60	233.0,3,38,59	208.0,3,38,59	123.0,3,39,60	107.0,3,39,60	107.0,3,39,60	67.0,3,40,60	72.0,3,40,60	158.0,3,39,59	89.0,3,40,60	153.0,3,39,59	152.0,3,39,59	110.0,3,39,60	110.0,3,39,60	83.0,3,40,60	105.0,3,39,60	80.0,3,40,60	55.0,3,40,60	41.0,3,40,60	27.0,3,40,60	33.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	5.0,3,40,60	0.0,3,40,60	-1.0,3,40,60	-1.0,3,40,60	-2.0,3,40,60	0.0,3,40,60	3.0,3,40,60	3.0,3,40,60	9.0,3,40,60	8.0,3,40,60	7.0,3,40,60	11.0,3,40,60
66.0,3,40,60	80.0,3,40,60	182.0,3,39,59	115.0,3,39,60	8.0,3,40,60	92.0,3,40,60	125.0,3,39,60	164.0,3,39,59	241.0,3,38,59	185.0,3,39,59	334.0,3,37,58	321.0,3,37,58	308.0,3,37,58	33.0,3,40,60	51.0,3,40,60	214.0,3,38,59	34.0,3,40,60	39.0,3,40,60	257.0,3,38,59	150.0,3,39,59	144.0,3,39,60	125.0,3,39,60	79.0,3,40,60	160.0,3,39,59	86.0,3,40,60	75.0,3,40,60	82.0,3,40,60	246.0,3,38,59	170.0,3,39,59	93.0,3,40,60	76.0,3,40,60	88.0,3,40,60	72.0,3,40,60	82.0,3,40,60	56.0,3,40,60	26.0,3,40,60	22.0,3,40,60	2.0,3,40,60	1.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-1.0,3,40,60	-1.0,3,40,60	-1.0,3,40,60	-2.0,3,40,60	-2.0,3,40,60	-1.0,3,40,60	-1.0,3,40,60	0.0,3,40,60	1.0,3,40,60	7.0,3,40,60	9.0,3,40,60	10.0,3,40,60	58.0,3,40,60
66.0,3,40,60	25.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	7.0,3,40,60	78.0,3,40,60	293.0,3,38,59	531.0,4,35,57	297.0,3,38,59	189.0,3,39,59	427.0,3,36,58	72.0,3,40,60	113.0,3,39,60	0.0,3,40,60	16.0,3,40,60	201.0,3,38,59	128.0,3,39,60	94.0,3,40,60	78.0,3,40,60	93.0,3,40,60	79.0,3,40,60	54.0,3,40,60	50.0,3,40,60	94.0,3,40,60	187.0,3,39,59	166.0,3,39,59	114.0,3,39,60	69.0,3,40,60	111.0,3,39,60	27.0,3,40,60	33.0,3,40,60	101.0,3,39,60	63.0,3,40,60	32.0,3,40,60	40.0,3,40,60	1.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-2.0,3,40,60	-2.0,3,40,60	0.0,3,40,60	-1.0,3,40,60	6.0,3,40,60	-1.0,3,40,60	-1.0,3,40,60	7.0,3,40,60	12.0,3,40,60	5.0,3,40,60	8.0,3,40,60	23.0,3,40,60	13.0,3,40,60	21.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	16.0,3,40,60	74.0,3,40,60	250.0,3,38,59	177.0,3,39,59	47.0,3,40,60	6.0,3,40,60	0.0,3,40,60	8.0,3,40,60	68.0,3,40,60	135.0,3,39,60	88.0,3,40,60	69.0,3,40,60	100.0,3,39,60	164.0,3,39,59	189.0,3,39,59	150.0,3,39,59	80.0,3,40,60	181.0,3,39,59	37.0,3,40,60	27.0,3,40,60	68.0,3,40,60	43.0,3,40,60	64.0,3,40,60	18.0,3,40,60	7.0,3,40,60	17.0,3,40,60	59.0,3,40,60	39.0,3,40,60	28.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.0,3,40,60	1.0,3,40,60	-2.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-2.0,3,40,60	0.0,3,40,60	5.0,3,40,60	7.0,3,40,60	12.0,3,40,60	15.0,3,40,60	11.0,3,40,60	13.0,3,40,60	21.0,3,40,60	15.0,3,40,60	27.0,3,40,60	26.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	80.0,3,40,60	16.0,3,40,60	30.0,3,40,60	0.0,3,40,60	0.0,3,40,60	22.0,3,40,60	50.0,3,40,60	49.0,3,40,60	183.0,3,39,59	56.0,3,40,60	92.0,3,40,60	212.0,3,38,59	118.0,3,39,60	141.0,3,39,60	134.0,3,39,60	88.0,3,40,60	39.0,3,40,60	46.0,3,40,60	68.0,3,40,60	17.0,3,40,60	20.0,3,40,60	44.0,3,40,60	61.0,3,40,60	46.0,3,40,60	72.0,3,40,60	12.0,3,40,60	24.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	4.0,3,40,60	12.0,3,40,60	12.0,3,40,60	13.0,3,40,60	21.0,3,40,60	24.0,3,40,60	32.0,3,40,60	21.0,3,40,60	24.0,3,40,60	28.0,3,40,60	28.0,3,40,60	27.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	136.0,3,39,60	245.0,3,38,59	61.0,3,40,60	103.0,3,39,60	79.0,3,40,60	68.0,3,40,60	91.0,3,40,60	96.0,3,40,60	141.0,3,39,60	158.0,3,39,59	137.0,3,39,60	102.0,3,39,60	56.0,3,40,60	101.0,3,39,60	117.0,3,39,60	43.0,3,40,60	42.0,3,40,60	175.0,3,39,59	177.0,3,39,59	181.0,3,39,59	213.0,3,38,59	11.0,3,40,60	163.0,3,39,59	44.0,3,40,60	7.0,3,40,60	73.0,3,40,60	1.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	11.0,3,40,60	1.0,3,40,60	0.0,3,40,60	-2.0,3,40,60	-2.0,3,40,60	-1.0,3,40,60	-1.0,3,40,60	0.0,3,40,60	6.0,3,40,60	23.0,3,40,60	25.0,3,40,60	25.0,3,40,60	23.0,3,40,60	36.0,3,40,60	30.0,3,40,60	32.0,3,40,60	38.0,3,40,60	29.0,3,40,60	34.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	41.0,3,40,60	312.0,3,37,58	307.0,3,37,58	37.0,3,40,60	0.0,3,40,60	0.0,3,40,60	7.0,3,40,60	6.0,3,40,60	3.0,3,40,60	63.0,3,40,60	229.0,3,38,59	99.0,3,40,60	160.0,3,39,59	119.0,3,39,60	134.0,3,39,60	152.0,3,39,59	60.0,3,40,60	89.0,3,40,60	138.0,3,39,60	137.0,3,39,60	115.0,3,39,60	63.0,3,40,60	102.0,3,39,60	167.0,3,39,59	52.0,3,40,60	69.0,3,40,60	55.0,3,40,60	23.0,3,40,60	13.0,3,40,60	34.0,3,40,60	81.0,3,40,60	141.0,3,39,60	135.0,3,39,60	94.0,3,40,60	18.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	3.0,3,40,60	5.0,3,40,60	9.0,3,40,60	2.0,3,40,60	2.0,3,40,60	1.0,3,40,60	6.0,3,40,60	9.0,3,40,60	10.0,3,40,60	18.0,3,40,60	17.0,3,40,60	23.0,3,40,60	31.0,3,40,60	32.0,3,40,60	56.0,3,40,60	48.0,3,40,60	28.0,3,40,60	28.0,3,40,60	26.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	9.0,3,40,60	20.0,3,40,60	259.0,3,38,59	400.0,3,36,58	304.0,3,37,58	373.0,3,37,58	130.0,3,39,60	203.0,3,38,59	4.0,3,40,60	6.0,3,40,60	26.0,3,40,60	89.0,3,40,60	120.0,3,39,60	133.0,3,39,60	113.0,3,39,60	52.0,3,40,60	137.0,3,39,60	51.0,3,40,60	58.0,3,40,60	75.0,3,40,60	181.0,3,39,59	79.0,3,40,60	122.0,3,39,60	36.0,3,40,60	34.0,3,40,60	121.0,3,39,60	113.0,3,39,60	71.0,3,40,60	123.0,3,39,60	101.0,3,39,60	75.0,3,40,60	37.0,3,40,60	39.0,3,40,60	71.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	0.0,3,40,60	14.0,3,40,60	21.0,3,40,60	22.0,3,40,60	20.0,3,40,60	10.0,3,40,60	7.0,3,40,60	3.0,3,40,60	2.0,3,40,60	0.0,3,40,60	7.0,3,40,60	8.0,3,40,60	11.0,3,40,60	13.0,3,40,60	19.0,3,40,60	40.0,3,40,60	63.0,3,40,60	72.0,3,40,60	43.0,3,40,60	25.0,3,40,60	60.0,3,40,60
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	120.0,3,39,60	187.0,3,39,59	90.0,3,40,60	122.0,3,39,60	144.0,3,39,60	171.0,3,39,59	199.0,3,39,59	237.0,3,38,59	75.0,3,40,60	61.0,3,40,60	23.0,3,40,60	20.0,3,40,60	38.0,3,40,60	113.0,3,39,60	56.0,3,40,60	228.0,3,38,59	124.0,3,39,60	87.0,3,40,60	34.0,3,40,60	15.0,3,40,60	32.0,3,40,60	88.0,3,40,60	145.0,3,39,60	80.0,3,40,60	37.0,3,40,60	48.0,3,40,60	12.0,3,40,60	19.0,3,40,60	36.0,3,40,60	47.0,3,40,60	181.0,3,39,59	90.0,3,40,60	63.0,3,40,60	28.0,3,40,60	2.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	1.0,3,40,60	0.0,3,40,60	7.0,3,40,60	9.0,3,40,60	3.0,3,40,60	18.0,3,40,60	22.0,3,40,60	21.0,3,40,60	6.0,3,40,60	9.0,3,40,60	31.0,3,40,60	23.0,3,40,60	6.0,3,40,60	16.0,3,40,60	11.0,3,40,60	8.0,3,40,60	10.0,3,40,60	36.0,3,40,60	24.0,3,40,60	35.0,3,40,60	40.0,3,40,60	81.0,3,40,60	47.0,3,40,60	58.0,3,40,60	63.0,3,40,60
