radius:18.0
size:80^70
path:japan_korea_80x70.txt
+data:
122.0,3,39,60	136.0,3,39,60	139.0,3,39,60	176.0,3,39,59	276.0,3,38,59	229.0,3,38,59	367.0,3,37,58	276.0,3,38,59	281.0,3,38,59	274.0,3,38,59	351.0,3,37,58	385.0,3,37,58	327.0,3,37,58	407.0,3,36,58	373.0,3,37,58	345.0,3,37,58	372.0,3,37,58	354.0,3,37,58	341.0,3,37,58	328.0,3,37,58	422.0,3,36,58	322.0,3,37,58	309.0,3,37,58	308.0,3,37,58	259.0,3,38,59	326.0,3,37,58	357.0,3,37,58	557.0,4,35,57	517.0,4,35,57	535.0,4,35,57	737.0,4,33,56	737.0,4,33,56	582.0,4,35,57	664.0,4,34,56	868.0,4,32,55	738.0,4,33,56	871.0,4,32,55	650.0,4,34,56	666.0,4,34,56	674.0,4,34,56	602.0,4,34,56	622.0,4,34,56	602.0,4,34,56	534.0,4,35,57	446.0,3,36,58	531.0,4,35,57	344.0,3,37,58	392.0,3,37,58	255.0,3,38,59	256.0,3,38,59	95.0,3,40,60	89.0,3,40,60	142.0,3,39,60	127.0,3,39,60	485.0,3,36,57	390.0,3,37,58	172.0,3,39,59	307.0,3,37,58	213.0,3,38,59	553.0,4,35,57	205.0,3,38,59	330.0,3,37,58	408.0,3,36,58	143.0,3,39,60	107.0,3,39,60	0.0,3,40,60	0.0,3,40,60	-2.0,3,40,60	0.0,3,40,60	0.0,3,40,60
142.0,3,39,60	150.0,3,39,59	222.0,3,38,59	229.0,3,38,59	207.0,3,38,59	464.0,3,36,57	289.0,3,38,59	284.0,3,38,59	307.0,3,37,58	293.0,3,38,59	284.0,3,38,59	383.0,3,37,58	295.0,3,38,59	396.0,3,37,58	391.0,3,37,58	328.0,3,37,58	344.0,3,37,58	361.0,3,37,58	431.0,3,36,58	331.0,3,37,58	349.0,3,37,58	321.0,3,37,58	326.0,3,37,58	341.0,3,37,58	369.0,3,37,58	381.0,3,37,58	518.0,4,35,57	409.0,3,36,58	406.0,3,36,58	451.0,3,36,57	584.0,4,35,57	617.0,4,34,56	789.0,4,33,55	714.0,4,33,56	654.0,4,34,56	734.0,4,33,56	681.0,4,34,56	561.0,4,35,57	679.0,4,34,56	758.0,4,33,55	650.0,4,34,56	812.0,4,32,55	709.0,4,33,56	663.0,4,34,56	487.0,3,36,57	257.0,3,38,59	205.0,3,38,59	197.0,3,39,59	281.0,3,38,59	519.0,4,35,57	226.0,3,38,59	367.0,3,37,58	305.0,3,37,58	305.0,3,37,58	33.0,3,40,60	42.0,3,40,60	75.0,3,40,60	198.0,3,39,59	394.0,3,37,58	456.0,3,36,57	336.0,3,37,58	223.0,3,38,59	115.0,3,39,60	76.0,3,40,60	76.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
139.0,3,39,60	147.0,3,39,60	235.0,3,38,59	190.0,3,39,59	263.0,3,38,59	220.0,3,38,59	229.0,3,38,59	249.0,3,38,59	264.0,3,38,59	327.0,3,37,58	357.0,3,37,58	352.0,3,37,58	371.0,3,37,58	372.0,3,37,58	390.0,3,37,58	353.0,3,37,58	312.0,3,37,58	358.0,3,37,58	315.0,3,37,58	289.0,3,38,59	315.0,3,37,58	340.0,3,37,58	340.0,3,37,58	671.0,4,34,56	585.0,4,35,57	511.0,4,35,57	512.0,4,35,57	470.0,3,36,57	512.0,4,35,57	502.0,4,35,57	667.0,4,34,56	611.0,4,34,56	1053.0,5,30,53	545.0,4,35,57	670.0,4,34,56	692.0,4,34,56	594.0,4,35,57	585.0,4,35,57	760.0,4,33,55	1072.0,5,30,53	1112.0,5,29,53	824.0,4,32,55	537.0,4,35,57	845.0,4,32,55	379.0,3,37,58	286.0,3,38,59	259.0,3,38,59	298.0,3,38,59	381.0,3,37,58	369.0,3,37,58	220.0,3,38,59	257.0,3,38,59	626.0,4,34,56	172.0,3,39,59	23.0,3,40,60	152.0,3,39,59	65.0,3,40,60	66.0,3,40,60	77.0,3,40,60	165.0,3,39,59	20.0,3,40,60	32.0,3,40,60	294.0,3,38,59	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
95.0,3,40,60	97.0,3,40,60	155.0,3,39,59	289.0,3,38,59	222.0,3,38,59	260.0,3,38,59	414.0,3,36,58	344.0,3,37,58	355.0,3,37,58	443.0,3,36,58	410.0,3,36,58	365.0,3,37,58	367.0,3,37,58	334.0,3,37,58	338.0,3,37,58	346.0,3,37,58	310.0,3,37,58	328.0,3,37,58	300.0,3,37,58	343.0,3,37,58	407.0,3,36,58	428.0,3,36,58	383.0,3,37,58	643.0,4,34,56	644.0,4,34,56	554.0,4,35,57	561.0,4,35,57	404.0,3,36,58	544.0,4,35,57	513.0,4,35,57	404.0,3,36,58	605.0,4,34,56	936.0,4,31,54	781.0,4,33,55	629.0,4,34,56	615.0,4,34,56	675.0,4,34,56	628.0,4,34,56	778.0,4,33,55	898.0,4,32,55	1284.0,5,28,52	956.0,4,31,54	835.0,4,32,55	569.0,4,35,57	443.0,3,36,58	690.0,4,34,56	696.0,4,34,56	897.0,4,32,55	471.0,3,36,57	859.0,4,32,55	378.0,3,37,58	619.0,4,34,56	333.0,3,37,58	294.0,3,38,59	86.0,3,40,60	59.0,3,40,60	5.0,3,40,60	17.0,3,40,60	12.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	77.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
102.0,3,39,60	163.0,3,39,59	172.0,3,39,59	170.0,3,39,59	211.0,3,38,59	284.0,3,38,59	492.0,3,36,57	452.0,3,36,57	580.0,4,35,57	371.0,3,37,58	508.0,4,35,57	478.0,3,36,57	381.0,3,37,58	354.0,3,37,58	350.0,3,37,58	358.0,3,37,58	322.0,3,37,58	335.0,3,37,58	327.0,3,37,58	380.0,3,37,58	391.0,3,37,58	482.0,3,36,57	715.0,4,33,56	684.0,4,34,56	635.0,4,34,56	663.0,4,34,56	580.0,4,35,57	614.0,4,34,56	607.0,4,34,56	627.0,4,34,56	687.0,4,34,56	727.0,4,33,56	850.0,4,32,55	730.0,4,33,56	758.0,4,33,55	658.0,4,34,56	646.0,4,34,56	647.0,4,34,56	724.0,4,33,56	796.0,4,33,55	1394.0,5,27,51	1349.0,5,27,52	1070.0,5,30,53	521.0,4,35,57	870.0,4,32,55	611.0,4,34,56	707.0,4,33,56	558.0,4,35,57	729.0,4,33,56	540.0,4,35,57	340.0,3,37,58	355.0,3,37,58	211.0,3,38,59	446.0,3,36,58	132.0,3,39,60	62.0,3,40,60	115.0,3,39,60	18.0,3,40,60	1.0,3,40,60	64.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
93.0,3,40,60	172.0,3,39,59	210.0,3,38,59	472.0,3,36,57	361.0,3,37,58	210.0,3,38,59	187.0,3,39,59	244.0,3,38,59	234.0,3,38,59	421.0,3,36,58	656.0,4,34,56	447.0,3,36,58	373.0,3,37,58	354.0,3,37,58	379.0,3,37,58	370.0,3,37,58	399.0,3,37,58	458.0,3,36,57	360.0,3,37,58	412.0,3,36,58	473.0,3,36,57	702.0,4,33,56	734.0,4,33,56	776.0,4,33,55	555.0,4,35,57	595.0,4,35,57	555.0,4,35,57	902.0,4,31,54	591.0,4,35,57	654.0,4,34,56	749.0,4,33,56	832.0,4,32,55	931.0,4,31,54	1015.0,5,30,54	900.0,4,31,54	813.0,4,32,55	780.0,4,33,55	820.0,4,32,55	797.0,4,33,55	896.0,4,32,55	1070.0,5,30,53	967.0,4,31,54	1319.0,5,27,52	887.0,4,32,55	654.0,4,34,56	574.0,4,35,57	923.0,4,31,54	557.0,4,35,57	403.0,3,36,58	419.0,3,36,58	286.0,3,38,59	680.0,4,34,56	267.0,3,38,59	339.0,3,37,58	399.0,3,37,58	48.0,3,40,60	170.0,3,39,59	13.0,3,40,60	4.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
119.0,3,39,60	230.0,3,38,59	142.0,3,39,60	248.0,3,38,59	323.0,3,37,58	325.0,3,37,58	319.0,3,37,58	445.0,3,36,58	658.0,4,34,56	452.0,3,36,57	363.0,3,37,58	500.0,4,35,57	430.0,3,36,58	447.0,3,36,58	469.0,3,36,57	488.0,3,36,57	516.0,4,35,57	410.0,3,36,58	376.0,3,37,58	406.0,3,36,58	557.0,4,35,57	952.0,4,31,54	913.0,4,31,54	969.0,4,31,54	776.0,4,33,55	812.0,4,32,55	697.0,4,34,56	697.0,4,34,56	460.0,3,36,57	840.0,4,32,55	739.0,4,33,56	818.0,4,32,55	822.0,4,32,55	1012.0,5,30,54	986.0,4,31,54	992.0,4,31,54	1017.0,5,30,54	934.0,4,31,54	1095.0,5,30,53	903.0,4,31,54	903.0,4,31,54	770.0,4,33,55	1027.0,5,30,54	1087.0,5,30,53	998.0,4,31,54	591.0,4,35,57	788.0,4,33,55	1104.0,5,29,53	884.0,4,32,55	760.0,4,33,55	697.0,4,34,56	580.0,4,35,57	366.0,3,37,58	124.0,3,39,60	235.0,3,38,59	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
329.0,3,37,58	232.0,3,38,59	261.0,3,38,59	254.0,3,38,59	503.0,4,35,57	585.0,4,35,57	449.0,3,36,58	428.0,3,36,58	385.0,3,37,58	497.0,3,36,57	488.0,3,36,57	404.0,3,36,58	555.0,4,35,57	505.0,4,35,57	590.0,4,35,57	427.0,3,36,58	389.0,3,37,58	520.0,4,35,57	616.0,4,34,56	844.0,4,32,55	953.0,4,31,54	1021.0,5,30,54	827.0,4,32,55	876.0,4,32,55	835.0,4,32,55	1013.0,5,30,54	929.0,4,31,54	641.0,4,34,56	738.0,4,33,56	753.0,4,33,55	825.0,4,32,55	831.0,4,32,55	891.0,4,32,55	1021.0,5,30,54	1305.0,5,27,52	1454.0,5,26,51	1368.0,5,27,51	1267.0,5,28,52	1224.0,5,28,52	1255.0,5,28,52	1034.0,5,30,54	1119.0,5,29,53	912.0,4,31,54	808.0,4,32,55	805.0,4,32,55	1138.0,5,29,53	969.0,4,31,54	915.0,4,31,54	694.0,4,34,56	424.0,3,36,58	342.0,3,37,58	217.0,3,38,59	43.0,3,40,60	14.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
294.0,3,38,59	211.0,3,38,59	224.0,3,38,59	266.0,3,38,59	220.0,3,38,59	214.0,3,38,59	219.0,3,38,59	406.0,3,36,58	502.0,4,35,57	427.0,3,36,58	600.0,4,34,56	861.0,4,32,55	498.0,3,36,57	662.0,4,34,56	543.0,4,35,57	500.0,4,35,57	929.0,4,31,54	605.0,4,34,56	736.0,4,33,56	858.0,4,32,55	803.0,4,32,55	575.0,4,35,57	653.0,4,34,56	670.0,4,34,56	868.0,4,32,55	744.0,4,33,56	830.0,4,32,55	951.0,4,31,54	767.0,4,33,55	891.0,4,32,55	942.0,4,31,54	867.0,4,32,55	955.0,4,31,54	1131.0,5,29,53	1590.0,5,25,50	2188.0,5,19,46	1992.0,5,21,47	1522.0,5,25,50	1313.0,5,27,52	1171.0,5,29,53	1143.0,5,29,53	985.0,4,31,54	953.0,4,31,54	1004.0,5,30,54	818.0,4,32,55	1143.0,5,29,53	1111.0,5,29,53	940.0,4,31,54	761.0,4,33,55	468.0,3,36,57	480.0,3,36,57	18.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
96.0,3,40,60	162.0,3,39,59	186.0,3,39,59	240.0,3,38,59	260.0,3,38,59	502.0,4,35,57	587.0,4,35,57	660.0,4,34,56	581.0,4,35,57	742.0,4,33,56	572.0,4,35,57	499.0,3,36,57	619.0,4,34,56	764.0,4,33,55	742.0,4,33,56	573.0,4,35,57	631.0,4,34,56	479.0,3,36,57	595.0,4,35,57	513.0,4,35,57	502.0,4,35,57	652.0,4,34,56	656.0,4,34,56	1344.0,5,27,52	1007.0,5,30,54	595.0,4,35,57	907.0,4,31,54	875.0,4,32,55	833.0,4,32,55	825.0,4,32,55	872.0,4,32,55	918.0,4,31,54	964.0,4,31,54	1088.0,5,30,53	1409.0,5,26,51	1720.0,5,23,49	1731.0,5,23,49	1425.0,5,26,51	1370.0,5,27,51	1351.0,5,27,51	1172.0,5,29,53	1097.0,5,30,53	883.0,4,32,55	978.0,4,31,54	1073.0,5,30,53	1299.0,5,28,52	1428.0,5,26,51	999.0,4,31,54	780.0,4,33,55	125.0,3,39,60	207.0,3,38,59	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
