radius:15.0
size:60^60
path:kathmandu_60x60.txt
+data:
953.0,4,31,54	960.0,4,31,54	717.0,4,33,56	625.0,4,34,56	529.0,4,35,57	571.0,4,35,57	635.0,4,34,56	719.0,4,33,56	637.0,4,34,56	552.0,4,35,57	521.0,4,35,57	525.0,4,35,57	539.0,4,35,57	540.0,4,35,57	543.0,4,35,57	561.0,4,35,57	583.0,4,35,57	621.0,4,34,56	680.0,4,34,56	642.0,4,34,56	756.0,4,33,55	923.0,4,31,54	840.0,4,32,55	1227.0,5,28,52	1094.0,5,30,53	1214.0,5,28,52	1106.0,5,29,53	984.0,4,31,54	1518.0,5,25,50	1628.0,5,24,50	1522.0,5,25,50	1309.0,5,27,52	1347.0,5,27,52	1782.0,5,23,49	1629.0,5,24,50	1442.0,5,26,51	1531.0,5,25,50	1354.0,5,27,51	1433.0,5,26,51	1744.0,5,23,49	1825.0,5,22,48	1691.0,5,24,49	1708.0,5,23,49	1744.0,5,23,49	1887.0,5,22,48	2020.0,5,20,47	1936.0,5,21,48	1777.0,5,23,49	2085.0,5,20,47	1880.0,5,22,48	1460.0,5,26,51	1234.0,5,28,52	1135.0,5,29,53	1131.0,5,29,53	1441.0,5,26,51	1662.0,5,24,49	1805.0,5,22,48	2031.0,5,20,47	1943.0,5,21,48	1503.0,5,25,50
852.0,4,32,55	904.0,4,31,54	991.0,4,31,54	972.0,4,31,54	559.0,4,35,57	571.0,4,35,57	591.0,4,35,57	514.0,4,35,57	512.0,4,35,57	553.0,4,35,57	611.0,4,34,56	623.0,4,34,56	801.0,4,32,55	722.0,4,33,56	724.0,4,33,56	778.0,4,33,55	556.0,4,35,57	561.0,4,35,57	685.0,4,34,56	888.0,4,32,55	1263.0,5,28,52	1104.0,5,29,53	1151.0,5,29,53	1356.0,5,27,51	1389.0,5,27,51	1488.0,5,26,51	1329.0,5,27,52	1324.0,5,27,52	1430.0,5,26,51	1853.0,5,22,48	1742.0,5,23,49	1546.0,5,25,50	1724.0,5,23,49	1929.0,5,21,48	1820.0,5,22,48	1596.0,5,25,50	1710.0,5,23,49	1700.0,5,23,49	1618.0,5,24,50	1850.0,5,22,48	2162.0,5,19,46	2049.0,5,20,47	1913.0,5,21,48	2089.0,5,20,47	2036.0,5,20,47	1928.0,5,21,48	1723.0,5,23,49	1503.0,5,25,50	1470.0,5,26,51	1534.0,5,25,50	1488.0,5,26,51	1438.0,5,26,51	1010.0,5,30,54	1213.0,5,28,52	1447.0,5,26,51	1676.0,5,24,49	1921.0,5,21,48	1726.0,5,23,49	1519.0,5,25,50	1569.0,5,25,50
735.0,4,33,56	642.0,4,34,56	747.0,4,33,56	592.0,4,35,57	504.0,4,35,57	548.0,4,35,57	595.0,4,35,57	506.0,4,35,57	677.0,4,34,56	515.0,4,35,57	578.0,4,35,57	606.0,4,34,56	663.0,4,34,56	883.0,4,32,55	1086.0,5,30,53	798.0,4,33,55	616.0,4,34,56	581.0,4,35,57	576.0,4,35,57	655.0,4,34,56	751.0,4,33,55	1021.0,5,30,54	1046.0,5,30,54	1122.0,5,29,53	1248.0,5,28,52	1335.0,5,27,52	1534.0,5,25,50	1561.0,5,25,50	1611.0,5,24,50	1626.0,5,24,50	1690.0,5,24,49	1839.0,5,22,48	1890.0,5,22,48	1914.0,5,21,48	1688.0,5,24,49	1928.0,5,21,48	1941.0,5,21,48	1880.0,5,22,48	1706.0,5,23,49	2183.0,5,19,46	2325.0,5,17,45	2319.0,5,17,45	2146.0,5,19,46	2275.0,5,18,45	2310.0,5,17,45	2190.0,5,19,46	1726.0,5,23,49	1783.0,5,23,49	1638.0,5,24,50	1298.0,5,28,52	1133.0,5,29,53	1055.0,5,30,53	1000.0,5,30,54	1328.0,5,27,52	1572.0,5,25,50	1812.0,5,22,48	1933.0,5,21,48	1662.0,5,24,49	1396.0,5,27,51	1401.0,5,26,51
757.0,4,33,55	657.0,4,34,56	538.0,4,35,57	491.0,3,36,57	511.0,4,35,57	571.0,4,35,57	587.0,4,35,57	540.0,4,35,57	665.0,4,34,56	562.0,4,35,57	577.0,4,35,57	631.0,4,34,56	546.0,4,35,57	700.0,4,33,56	754.0,4,33,55	823.0,4,32,55	866.0,4,32,55	717.0,4,33,56	592.0,4,35,57	587.0,4,35,57	596.0,4,35,57	789.0,4,33,55	852.0,4,32,55	1087.0,5,30,53	1088.0,5,30,53	1117.0,5,29,53	1178.0,5,29,53	1425.0,5,26,51	1458.0,5,26,51	1476.0,5,26,51	1267.0,5,28,52	1561.0,5,25,50	1465.0,5,26,51	1451.0,5,26,51	1595.0,5,25,50	1751.0,5,23,49	2004.0,5,20,47	1843.0,5,22,48	2013.0,5,20,47	2269.0,5,18,45	2394.0,5,17,45	2406.0,5,16,44	2435.0,5,16,44	2472.0,5,16,44	2324.0,5,17,45	2056.0,5,20,47	1979.0,5,21,47	1935.0,5,21,48	1574.0,5,25,50	1451.0,5,26,51	1384.0,5,27,51	1278.0,5,28,52	971.0,4,31,54	1262.0,5,28,52	1515.0,5,25,50	1683.0,5,24,49	1678.0,5,24,49	1562.0,5,25,50	1427.0,5,26,51	1260.0,5,28,52
681.0,4,34,56	567.0,4,35,57	473.0,3,36,57	536.0,4,35,57	602.0,4,34,56	511.0,4,35,57	565.0,4,35,57	739.0,4,33,56	856.0,4,32,55	799.0,4,33,55	584.0,4,35,57	776.0,4,33,55	658.0,4,34,56	809.0,4,32,55	821.0,4,32,55	759.0,4,33,55	641.0,4,34,56	835.0,4,32,55	793.0,4,33,55	682.0,4,34,56	604.0,4,34,56	613.0,4,34,56	705.0,4,33,56	880.0,4,32,55	780.0,4,33,55	963.0,4,31,54	964.0,4,31,54	997.0,4,31,54	1192.0,5,29,53	1105.0,5,29,53	1250.0,5,28,52	1254.0,5,28,52	1159.0,5,29,53	1379.0,5,27,51	1247.0,5,28,52	1489.0,5,26,51	1703.0,5,23,49	1480.0,5,26,51	1822.0,5,22,48	2126.0,5,19,46	1970.0,5,21,47	2058.0,5,20,47	2242.0,5,18,46	2046.0,5,20,47	1867.0,5,22,48	1879.0,5,22,48	2035.0,5,20,47	1836.0,5,22,48	1752.0,5,23,49	1520.0,5,25,50	1282.0,5,28,52	1174.0,5,29,53	934.0,4,31,54	1075.0,5,30,53	1203.0,5,28,52	1433.0,5,26,51	1439.0,5,26,51	1285.0,5,28,52	1278.0,5,28,52	892.0,4,32,55
488.0,3,36,57	522.0,4,35,57	536.0,4,35,57	598.0,4,35,57	521.0,4,35,57	506.0,4,35,57	587.0,4,35,57	572.0,4,35,57	732.0,4,33,56	878.0,4,32,55	708.0,4,33,56	996.0,4,31,54	746.0,4,33,56	755.0,4,33,55	878.0,4,32,55	783.0,4,33,55	851.0,4,32,55	672.0,4,34,56	737.0,4,33,56	832.0,4,32,55	679.0,4,34,56	669.0,4,34,56	643.0,4,34,56	685.0,4,34,56	684.0,4,34,56	768.0,4,33,55	905.0,4,31,54	818.0,4,32,55	919.0,4,31,54	875.0,4,32,55	949.0,4,31,54	983.0,4,31,54	987.0,4,31,54	1087.0,5,30,53	1055.0,5,30,53	1279.0,5,28,52	1372.0,5,27,51	1282.0,5,28,52	1599.0,5,25,50	1825.0,5,22,48	1665.0,5,24,49	1817.0,5,22,48	2180.0,5,19,46	1972.0,5,21,47	1750.0,5,23,49	1749.0,5,23,49	1716.0,5,23,49	1543.0,5,25,50	1332.0,5,27,52	1112.0,5,29,53	1202.0,5,28,52	1065.0,5,30,53	975.0,4,31,54	1106.0,5,29,53	1264.0,5,28,52	1529.0,5,25,50	1371.0,5,27,51	1137.0,5,29,53	1086.0,5,30,53	1039.0,5,30,54
469.0,3,36,57	481.0,3,36,57	517.0,4,35,57	483.0,3,36,57	488.0,3,36,57	773.0,4,33,55	806.0,4,32,55	622.0,4,34,56	628.0,4,34,56	721.0,4,33,56	970.0,4,31,54	1022.0,5,30,54	834.0,4,32,55	745.0,4,33,56	997.0,4,31,54	968.0,4,31,54	934.0,4,31,54	914.0,4,31,54	994.0,4,31,54	874.0,4,32,55	875.0,4,32,55	842.0,4,32,55	751.0,4,33,55	726.0,4,33,56	710.0,4,33,56	708.0,4,33,56	717.0,4,33,56	759.0,4,33,55	776.0,4,33,55	782.0,4,33,55	876.0,4,32,55	879.0,4,32,55	878.0,4,32,55	976.0,4,31,54	944.0,4,31,54	1074.0,5,30,53	1125.0,5,29,53	1349.0,5,27,52	1650.0,5,24,49	1636.0,5,24,50	1518.0,5,25,50	1890.0,5,22,48	2034.0,5,20,47	1844.0,5,22,48	1724.0,5,23,49	1657.0,5,24,49	1436.0,5,26,51	1298.0,5,28,52	1287.0,5,28,52	1390.0,5,27,51	1424.0,5,26,51	1306.0,5,27,52	1059.0,5,30,53	1095.0,5,30,53	1294.0,5,28,52	1483.0,5,26,51	1361.0,5,27,51	1153.0,5,29,53	889.0,4,32,55	1181.0,5,29,53
631.0,4,34,56	732.0,4,33,56	691.0,4,34,56	747.0,4,33,56	742.0,4,33,56	875.0,4,32,55	899.0,4,32,55	649.0,4,34,56	787.0,4,33,55	773.0,4,33,55	1042.0,5,30,54	1213.0,5,28,52	1106.0,5,29,53	804.0,4,32,55	927.0,4,31,54	1268.0,5,28,52	1253.0,5,28,52	1197.0,5,29,53	1055.0,5,30,53	1044.0,5,30,54	942.0,4,31,54	771.0,4,33,55	879.0,4,32,55	858.0,4,32,55	788.0,4,33,55	859.0,4,32,55	888.0,4,32,55	846.0,4,32,55	924.0,4,31,54	937.0,4,31,54	1169.0,5,29,53	977.0,4,31,54	1140.0,5,29,53	1293.0,5,28,52	1181.0,5,29,53	1276.0,5,28,52	1171.0,5,29,53	1125.0,5,29,53	1307.0,5,27,52	1399.0,5,27,51	1578.0,5,25,50	1536.0,5,25,50	1691.0,5,24,49	1898.0,5,22,48	1748.0,5,23,49	1551.0,5,25,50	1624.0,5,24,50	1615.0,5,24,50	1618.0,5,24,50	1575.0,5,25,50	1576.0,5,25,50	1330.0,5,27,52	1177.0,5,29,53	902.0,4,31,54	1137.0,5,29,53	1431.0,5,26,51	1307.0,5,27,52	1044.0,5,30,54	947.0,4,31,54	1291.0,5,28,52
994.0,4,31,54	927.0,4,31,54	921.0,4,31,54	916.0,4,31,54	1008.0,5,30,54	1074.0,5,30,53	814.0,4,32,55	787.0,4,33,55	954.0,4,31,54	828.0,4,32,55	973.0,4,31,54	1353.0,5,27,51	1151.0,5,29,53	1126.0,5,29,53	870.0,4,32,55	1336.0,5,27,52	1513.0,5,25,50	1382.0,5,27,51	1257.0,5,28,52	1122.0,5,29,53	1093.0,5,30,53	883.0,4,32,55	1062.0,5,30,53	1040.0,5,30,54	1044.0,5,30,54	985.0,4,31,54	996.0,4,31,54	1112.0,5,29,53	871.0,4,32,55	1097.0,5,30,53	1287.0,5,28,52	1272.0,5,28,52	1465.0,5,26,51	1348.0,5,27,52	1358.0,5,27,51	1541.0,5,25,50	1523.0,5,25,50	1290.0,5,28,52	1393.0,5,27,51	1501.0,5,25,50	1497.0,5,26,51	1809.0,5,22,48	1705.0,5,23,49	1892.0,5,22,48	1935.0,5,21,48	1791.0,5,23,49	1834.0,5,22,48	1788.0,5,23,49	1814.0,5,22,48	1662.0,5,24,49	1806.0,5,22,48	1467.0,5,26,51	1160.0,5,29,53	1080.0,5,30,53	863.0,4,32,55	1187.0,5,29,53	1235.0,5,28,52	829.0,4,32,55	1076.0,5,30,53	1412.0,5,26,51
1218.0,5,28,52	1153.0,5,29,53	1211.0,5,28,52	1157.0,5,29,53	1233.0,5,28,52	1148.0,5,29,53	888.0,4,32,55	888.0,4,32,55	1078.0,5,30,53	896.0,4,32,55	1062.0,5,30,53	1326.0,5,27,52	1418.0,5,26,51	1070.0,5,30,53	917.0,4,31,54	1211.0,5,28,52	1608.0,5,24,50	1491.0,5,26,51	1487.0,5,26,51	1259.0,5,28,52	1157.0,5,29,53	1065.0,5,30,53	1122.0,5,29,53	1270.0,5,28,52	1192.0,5,29,53	1151.0,5,29,53	1090.0,5,30,53	1265.0,5,28,52	964.0,4,31,54	1163.0,5,29,53	1369.0,5,27,51	1566.0,5,25,50	1484.0,5,26,51	1571.0,5,25,50	1554.0,5,25,50	1832.0,5,22,48	1512.0,5,25,50	1496.0,5,26,51	1448.0,5,26,51	1555.0,5,25,50	1798.0,5,23,49	1945.0,5,21,48	1885.0,5,22,48	1638.0,5,24,50	1598.0,5,25,50	1624.0,5,24,50	1704.0,5,23,49	1817.0,5,22,48	1965.0,5,21,47	1836.0,5,22,48	1868.0,5,22,48	1543.0,5,25,50	1326.0,5,27,52	1254.0,5,28,52	1033.0,5,30,54	885.0,4,32,55	1033.0,5,30,54	907.0,4,31,54	1185.0,5,29,53	1424.0,5,26,51
