radius:18.0
size:70^80
path:mongol_europe_70x80.txt
+data:
109.0,3,39,60	90.0,3,40,60	111.0,3,39,60	92.0,3,40,60	100.0,3,39,60	81.0,3,40,60	101.0,3,39,60	108.0,3,39,60	125.0,3,39,60	122.0,3,39,60	103.0,3,39,60	108.0,3,39,60	104.0,3,39,60	114.0,3,39,60	111.0,3,39,60	126.0,3,39,60	120.0,3,39,60	122.0,3,39,60	111.0,3,39,60	119.0,3,39,60	116.0,3,39,60	148.0,3,39,60	156.0,3,39,59	158.0,3,39,59	111.0,3,39,60	105.0,3,39,60	88.0,3,40,60	150.0,3,39,59	154.0,3,39,59	134.0,3,39,60	151.0,3,39,59	184.0,3,39,59	191.0,3,39,59	167.0,3,39,59	149.0,3,39,60	147.0,3,39,60	140.0,3,39,60	157.0,3,39,59	144.0,3,39,60	144.0,3,39,60	135.0,3,39,60	143.0,3,39,60	154.0,3,39,59	147.0,3,39,60	151.0,3,39,59	145.0,3,39,60	147.0,3,39,60	143.0,3,39,60	143.0,3,39,60	142.0,3,39,60	141.0,3,39,60	143.0,3,39,60	146.0,3,39,60	139.0,3,39,60	145.0,3,39,60	133.0,3,39,60	133.0,3,39,60	132.0,3,39,60	130.0,3,39,60	130.0,3,39,60	132.0,3,39,60	128.0,3,39,60	127.0,3,39,60	126.0,3,39,60	123.0,3,39,60	122.0,3,39,60	137.0,3,39,60	127.0,3,39,60	126.0,3,39,60	119.0,3,39,60	137.0,3,39,60	150.0,3,39,59	157.0,3,39,59	161.0,3,39,59	170.0,3,39,59	113.0,3,39,60	114.0,3,39,60	119.0,3,39,60	122.0,3,39,60	134.0,3,39,60
81.0,3,40,60	110.0,3,39,60	115.0,3,39,60	130.0,3,39,60	130.0,3,39,60	100.0,3,39,60	110.0,3,39,60	130.0,3,39,60	135.0,3,39,60	139.0,3,39,60	135.0,3,39,60	107.0,3,39,60	111.0,3,39,60	126.0,3,39,60	139.0,3,39,60	139.0,3,39,60	170.0,3,39,59	147.0,3,39,60	174.0,3,39,59	130.0,3,39,60	111.0,3,39,60	199.0,3,39,59	206.0,3,38,59	153.0,3,39,59	125.0,3,39,60	121.0,3,39,60	92.0,3,40,60	133.0,3,39,60	144.0,3,39,60	146.0,3,39,60	183.0,3,39,59	174.0,3,39,59	165.0,3,39,59	159.0,3,39,59	152.0,3,39,59	144.0,3,39,60	145.0,3,39,60	144.0,3,39,60	142.0,3,39,60	156.0,3,39,59	143.0,3,39,60	150.0,3,39,59	157.0,3,39,59	143.0,3,39,60	159.0,3,39,59	146.0,3,39,60	150.0,3,39,59	146.0,3,39,60	149.0,3,39,60	152.0,3,39,59	146.0,3,39,60	140.0,3,39,60	149.0,3,39,60	146.0,3,39,60	138.0,3,39,60	135.0,3,39,60	135.0,3,39,60	135.0,3,39,60	133.0,3,39,60	134.0,3,39,60	147.0,3,39,60	134.0,3,39,60	128.0,3,39,60	137.0,3,39,60	132.0,3,39,60	138.0,3,39,60	132.0,3,39,60	130.0,3,39,60	138.0,3,39,60	136.0,3,39,60	139.0,3,39,60	151.0,3,39,59	149.0,3,39,60	144.0,3,39,60	152.0,3,39,59	134.0,3,39,60	112.0,3,39,60	120.0,3,39,60	115.0,3,39,60	126.0,3,39,60
117.0,3,39,60	127.0,3,39,60	128.0,3,39,60	141.0,3,39,60	141.0,3,39,60	131.0,3,39,60	93.0,3,40,60	124.0,3,39,60	128.0,3,39,60	136.0,3,39,60	135.0,3,39,60	148.0,3,39,60	129.0,3,39,60	139.0,3,39,60	183.0,3,39,59	203.0,3,38,59	189.0,3,39,59	186.0,3,39,59	176.0,3,39,59	156.0,3,39,59	120.0,3,39,60	190.0,3,39,59	191.0,3,39,59	172.0,3,39,59	135.0,3,39,60	123.0,3,39,60	93.0,3,40,60	115.0,3,39,60	123.0,3,39,60	181.0,3,39,59	189.0,3,39,59	177.0,3,39,59	159.0,3,39,59	156.0,3,39,59	151.0,3,39,59	146.0,3,39,60	147.0,3,39,60	146.0,3,39,60	154.0,3,39,59	152.0,3,39,59	141.0,3,39,60	146.0,3,39,60	157.0,3,39,59	164.0,3,39,59	150.0,3,39,59	150.0,3,39,59	149.0,3,39,60	146.0,3,39,60	146.0,3,39,60	147.0,3,39,60	142.0,3,39,60	140.0,3,39,60	134.0,3,39,60	143.0,3,39,60	137.0,3,39,60	139.0,3,39,60	136.0,3,39,60	141.0,3,39,60	164.0,3,39,59	156.0,3,39,59	132.0,3,39,60	132.0,3,39,60	134.0,3,39,60	132.0,3,39,60	133.0,3,39,60	144.0,3,39,60	156.0,3,39,59	148.0,3,39,60	145.0,3,39,60	133.0,3,39,60	133.0,3,39,60	147.0,3,39,60	142.0,3,39,60	139.0,3,39,60	159.0,3,39,59	144.0,3,39,60	111.0,3,39,60	115.0,3,39,60	132.0,3,39,60	140.0,3,39,60
119.0,3,39,60	124.0,3,39,60	130.0,3,39,60	150.0,3,39,59	165.0,3,39,59	149.0,3,39,60	129.0,3,39,60	128.0,3,39,60	146.0,3,39,60	134.0,3,39,60	117.0,3,39,60	125.0,3,39,60	147.0,3,39,60	140.0,3,39,60	176.0,3,39,59	210.0,3,38,59	237.0,3,38,59	193.0,3,39,59	170.0,3,39,59	158.0,3,39,59	154.0,3,39,59	172.0,3,39,59	185.0,3,39,59	172.0,3,39,59	138.0,3,39,60	125.0,3,39,60	98.0,3,40,60	97.0,3,40,60	142.0,3,39,60	185.0,3,39,59	193.0,3,39,59	180.0,3,39,59	151.0,3,39,59	149.0,3,39,60	146.0,3,39,60	143.0,3,39,60	154.0,3,39,59	155.0,3,39,59	151.0,3,39,59	164.0,3,39,59	145.0,3,39,60	158.0,3,39,59	154.0,3,39,59	151.0,3,39,59	155.0,3,39,59	165.0,3,39,59	158.0,3,39,59	146.0,3,39,60	146.0,3,39,60	150.0,3,39,59	147.0,3,39,60	140.0,3,39,60	142.0,3,39,60	140.0,3,39,60	154.0,3,39,59	151.0,3,39,59	145.0,3,39,60	160.0,3,39,59	147.0,3,39,60	133.0,3,39,60	139.0,3,39,60	135.0,3,39,60	135.0,3,39,60	135.0,3,39,60	143.0,3,39,60	156.0,3,39,59	156.0,3,39,59	161.0,3,39,59	147.0,3,39,60	132.0,3,39,60	139.0,3,39,60	132.0,3,39,60	129.0,3,39,60	139.0,3,39,60	134.0,3,39,60	144.0,3,39,60	115.0,3,39,60	111.0,3,39,60	112.0,3,39,60	118.0,3,39,60
102.0,3,39,60	109.0,3,39,60	105.0,3,39,60	136.0,3,39,60	143.0,3,39,60	152.0,3,39,59	137.0,3,39,60	141.0,3,39,60	129.0,3,39,60	144.0,3,39,60	121.0,3,39,60	157.0,3,39,59	154.0,3,39,59	166.0,3,39,59	175.0,3,39,59	183.0,3,39,59	217.0,3,38,59	208.0,3,38,59	207.0,3,38,59	191.0,3,39,59	159.0,3,39,59	155.0,3,39,59	167.0,3,39,59	140.0,3,39,60	145.0,3,39,60	109.0,3,39,60	126.0,3,39,60	102.0,3,39,60	126.0,3,39,60	146.0,3,39,60	156.0,3,39,59	181.0,3,39,59	156.0,3,39,59	156.0,3,39,59	131.0,3,39,60	156.0,3,39,59	150.0,3,39,59	155.0,3,39,59	162.0,3,39,59	151.0,3,39,59	146.0,3,39,60	164.0,3,39,59	157.0,3,39,59	165.0,3,39,59	156.0,3,39,59	152.0,3,39,59	157.0,3,39,59	159.0,3,39,59	152.0,3,39,59	152.0,3,39,59	157.0,3,39,59	144.0,3,39,60	143.0,3,39,60	157.0,3,39,59	151.0,3,39,59	149.0,3,39,60	152.0,3,39,59	147.0,3,39,60	151.0,3,39,59	134.0,3,39,60	139.0,3,39,60	137.0,3,39,60	138.0,3,39,60	136.0,3,39,60	137.0,3,39,60	145.0,3,39,60	141.0,3,39,60	145.0,3,39,60	149.0,3,39,60	142.0,3,39,60	144.0,3,39,60	140.0,3,39,60	130.0,3,39,60	130.0,3,39,60	140.0,3,39,60	127.0,3,39,60	121.0,3,39,60	106.0,3,39,60	113.0,3,39,60	111.0,3,39,60
108.0,3,39,60	105.0,3,39,60	120.0,3,39,60	136.0,3,39,60	130.0,3,39,60	134.0,3,39,60	150.0,3,39,59	121.0,3,39,60	134.0,3,39,60	155.0,3,39,59	138.0,3,39,60	168.0,3,39,59	181.0,3,39,59	177.0,3,39,59	204.0,3,38,59	194.0,3,39,59	207.0,3,38,59	196.0,3,39,59	206.0,3,38,59	191.0,3,39,59	157.0,3,39,59	144.0,3,39,60	151.0,3,39,59	116.0,3,39,60	130.0,3,39,60	134.0,3,39,60	136.0,3,39,60	119.0,3,39,60	106.0,3,39,60	140.0,3,39,60	146.0,3,39,60	161.0,3,39,59	157.0,3,39,59	134.0,3,39,60	149.0,3,39,60	136.0,3,39,60	149.0,3,39,60	149.0,3,39,60	150.0,3,39,59	161.0,3,39,59	167.0,3,39,59	156.0,3,39,59	164.0,3,39,59	161.0,3,39,59	154.0,3,39,59	157.0,3,39,59	159.0,3,39,59	164.0,3,39,59	157.0,3,39,59	163.0,3,39,59	164.0,3,39,59	152.0,3,39,59	164.0,3,39,59	150.0,3,39,59	146.0,3,39,60	147.0,3,39,60	146.0,3,39,60	165.0,3,39,59	153.0,3,39,59	139.0,3,39,60	142.0,3,39,60	142.0,3,39,60	144.0,3,39,60	144.0,3,39,60	140.0,3,39,60	147.0,3,39,60	150.0,3,39,59	148.0,3,39,60	145.0,3,39,60	146.0,3,39,60	147.0,3,39,60	143.0,3,39,60	137.0,3,39,60	135.0,3,39,60	133.0,3,39,60	118.0,3,39,60	116.0,3,39,60	111.0,3,39,60	114.0,3,39,60	109.0,3,39,60
88.0,3,40,60	107.0,3,39,60	110.0,3,39,60	123.0,3,39,60	113.0,3,39,60	130.0,3,39,60	158.0,3,39,59	138.0,3,39,60	141.0,3,39,60	206.0,3,38,59	136.0,3,39,60	130.0,3,39,60	175.0,3,39,59	175.0,3,39,59	189.0,3,39,59	225.0,3,38,59	215.0,3,38,59	204.0,3,38,59	170.0,3,39,59	178.0,3,39,59	157.0,3,39,59	137.0,3,39,60	148.0,3,39,60	176.0,3,39,59	162.0,3,39,59	138.0,3,39,60	144.0,3,39,60	155.0,3,39,59	115.0,3,39,60	104.0,3,39,60	117.0,3,39,60	119.0,3,39,60	141.0,3,39,60	149.0,3,39,60	143.0,3,39,60	156.0,3,39,59	157.0,3,39,59	171.0,3,39,59	190.0,3,39,59	163.0,3,39,59	153.0,3,39,59	175.0,3,39,59	157.0,3,39,59	172.0,3,39,59	158.0,3,39,59	173.0,3,39,59	160.0,3,39,59	158.0,3,39,59	162.0,3,39,59	181.0,3,39,59	160.0,3,39,59	151.0,3,39,59	156.0,3,39,59	164.0,3,39,59	152.0,3,39,59	161.0,3,39,59	154.0,3,39,59	170.0,3,39,59	151.0,3,39,59	141.0,3,39,60	149.0,3,39,60	141.0,3,39,60	151.0,3,39,59	156.0,3,39,59	147.0,3,39,60	156.0,3,39,59	157.0,3,39,59	156.0,3,39,59	147.0,3,39,60	162.0,3,39,59	155.0,3,39,59	142.0,3,39,60	146.0,3,39,60	140.0,3,39,60	130.0,3,39,60	130.0,3,39,60	126.0,3,39,60	111.0,3,39,60	105.0,3,39,60	108.0,3,39,60
88.0,3,40,60	97.0,3,40,60	198.0,3,39,59	111.0,3,39,60	125.0,3,39,60	147.0,3,39,60	201.0,3,38,59	133.0,3,39,60	144.0,3,39,60	166.0,3,39,59	159.0,3,39,59	165.0,3,39,59	152.0,3,39,59	182.0,3,39,59	192.0,3,39,59	206.0,3,38,59	219.0,3,38,59	192.0,3,39,59	180.0,3,39,59	174.0,3,39,59	186.0,3,39,59	190.0,3,39,59	166.0,3,39,59	157.0,3,39,59	150.0,3,39,59	131.0,3,39,60	157.0,3,39,59	167.0,3,39,59	167.0,3,39,59	115.0,3,39,60	125.0,3,39,60	155.0,3,39,59	176.0,3,39,59	142.0,3,39,60	158.0,3,39,59	171.0,3,39,59	156.0,3,39,59	176.0,3,39,59	172.0,3,39,59	158.0,3,39,59	170.0,3,39,59	164.0,3,39,59	166.0,3,39,59	160.0,3,39,59	160.0,3,39,59	189.0,3,39,59	160.0,3,39,59	164.0,3,39,59	182.0,3,39,59	194.0,3,39,59	164.0,3,39,59	153.0,3,39,59	167.0,3,39,59	166.0,3,39,59	151.0,3,39,59	156.0,3,39,59	155.0,3,39,59	168.0,3,39,59	148.0,3,39,60	144.0,3,39,60	150.0,3,39,59	144.0,3,39,60	154.0,3,39,59	157.0,3,39,59	159.0,3,39,59	171.0,3,39,59	163.0,3,39,59	163.0,3,39,59	173.0,3,39,59	171.0,3,39,59	166.0,3,39,59	166.0,3,39,59	154.0,3,39,59	159.0,3,39,59	149.0,3,39,60	142.0,3,39,60	148.0,3,39,60	149.0,3,39,60	114.0,3,39,60	109.0,3,39,60
93.0,3,40,60	108.0,3,39,60	221.0,3,38,59	140.0,3,39,60	158.0,3,39,59	174.0,3,39,59	196.0,3,39,59	145.0,3,39,60	161.0,3,39,59	176.0,3,39,59	184.0,3,39,59	141.0,3,39,60	160.0,3,39,59	170.0,3,39,59	223.0,3,38,59	217.0,3,38,59	215.0,3,38,59	210.0,3,38,59	197.0,3,39,59	203.0,3,38,59	195.0,3,39,59	188.0,3,39,59	181.0,3,39,59	178.0,3,39,59	169.0,3,39,59	176.0,3,39,59	166.0,3,39,59	166.0,3,39,59	172.0,3,39,59	164.0,3,39,59	116.0,3,39,60	140.0,3,39,60	148.0,3,39,60	156.0,3,39,59	174.0,3,39,59	175.0,3,39,59	159.0,3,39,59	171.0,3,39,59	163.0,3,39,59	170.0,3,39,59	181.0,3,39,59	176.0,3,39,59	164.0,3,39,59	167.0,3,39,59	186.0,3,39,59	174.0,3,39,59	171.0,3,39,59	161.0,3,39,59	167.0,3,39,59	169.0,3,39,59	152.0,3,39,59	169.0,3,39,59	166.0,3,39,59	176.0,3,39,59	159.0,3,39,59	157.0,3,39,59	159.0,3,39,59	161.0,3,39,59	149.0,3,39,60	146.0,3,39,60	150.0,3,39,59	151.0,3,39,59	163.0,3,39,59	150.0,3,39,59	168.0,3,39,59	182.0,3,39,59	178.0,3,39,59	169.0,3,39,59	205.0,3,38,59	208.0,3,38,59	188.0,3,39,59	173.0,3,39,59	180.0,3,39,59	170.0,3,39,59	150.0,3,39,59	161.0,3,39,59	155.0,3,39,59	153.0,3,39,59	120.0,3,39,60	118.0,3,39,60
145.0,3,39,60	131.0,3,39,60	185.0,3,39,59	250.0,3,38,59	175.0,3,39,59	244.0,3,38,59	197.0,3,39,59	165.0,3,39,59	162.0,3,39,59	175.0,3,39,59	178.0,3,39,59	157.0,3,39,59	166.0,3,39,59	165.0,3,39,59	227.0,3,38,59	215.0,3,38,59	212.0,3,38,59	186.0,3,39,59	215.0,3,38,59	194.0,3,39,59	179.0,3,39,59	240.0,3,38,59	242.0,3,38,59	165.0,3,39,59	176.0,3,39,59	193.0,3,39,59	181.0,3,39,59	169.0,3,39,59	144.0,3,39,60	159.0,3,39,59	167.0,3,39,59	193.0,3,39,59	206.0,3,38,59	196.0,3,39,59	201.0,3,38,59	151.0,3,39,59	164.0,3,39,59	169.0,3,39,59	175.0,3,39,59	180.0,3,39,59	198.0,3,39,59	170.0,3,39,59	174.0,3,39,59	205.0,3,38,59	188.0,3,39,59	173.0,3,39,59	176.0,3,39,59	167.0,3,39,59	159.0,3,39,59	168.0,3,39,59	158.0,3,39,59	170.0,3,39,59	206.0,3,38,59	192.0,3,39,59	166.0,3,39,59	175.0,3,39,59	163.0,3,39,59	156.0,3,39,59	151.0,3,39,59	162.0,3,39,59	159.0,3,39,59	172.0,3,39,59	174.0,3,39,59	167.0,3,39,59	185.0,3,39,59	198.0,3,39,59	182.0,3,39,59	193.0,3,39,59	278.0,3,38,59	221.0,3,38,59	222.0,3,38,59	211.0,3,38,59	155.0,3,39,59	140.0,3,39,60	145.0,3,39,60	141.0,3,39,60	146.0,3,39,60	142.0,3,39,60	127.0,3,39,60	144.0,3,39,60
