radius:12.0
size:50^50
path:/Users/arthurconner/code/HowGen/pompeii.txt
+data:
101.0,3,39,60	116.0,3,39,60	119.0,3,39,60	125.0,3,39,60	128.0,3,39,60	141.0,3,39,60	157.0,3,39,59	168.0,3,39,59	186.0,3,39,59	189.0,3,39,59	210.0,3,38,59	231.0,3,38,59	241.0,3,38,59	240.0,3,38,59	240.0,3,38,59	231.0,3,38,59	250.0,3,38,59	254.0,3,38,59	260.0,3,38,59	266.0,3,38,59	270.0,3,38,59	267.0,3,38,59	285.0,3,38,59	285.0,3,38,59	253.0,3,38,59	249.0,3,38,59	228.0,3,38,59	233.0,3,38,59	227.0,3,38,59	218.0,3,38,59	206.0,3,38,59	166.0,3,39,59	164.0,3,39,59	152.0,3,39,59	147.0,3,39,60	135.0,3,39,60	127.0,3,39,60	122.0,3,39,60	110.0,3,39,60	103.0,3,39,60	94.0,3,40,60	90.0,3,40,60	82.0,3,40,60	77.0,3,40,60	69.0,3,40,60	64.0,3,40,60	62.0,3,40,60	60.0,3,40,60	59.0,3,40,60	57.0,3,40,60
107.0,3,39,60	120.0,3,39,60	131.0,3,39,60	140.0,3,39,60	144.0,3,39,60	156.0,3,39,59	165.0,3,39,59	171.0,3,39,59	188.0,3,39,59	200.0,3,38,59	228.0,3,38,59	253.0,3,38,59	282.0,3,38,59	274.0,3,38,59	270.0,3,38,59	276.0,3,38,59	294.0,3,38,59	292.0,3,38,59	301.0,3,37,58	293.0,3,38,59	300.0,3,37,58	301.0,3,37,58	323.0,3,37,58	318.0,3,37,58	282.0,3,38,59	274.0,3,38,59	263.0,3,38,59	256.0,3,38,59	249.0,3,38,59	240.0,3,38,59	223.0,3,38,59	183.0,3,39,59	176.0,3,39,59	160.0,3,39,59	157.0,3,39,59	142.0,3,39,60	135.0,3,39,60	126.0,3,39,60	115.0,3,39,60	109.0,3,39,60	97.0,3,40,60	92.0,3,40,60	84.0,3,40,60	77.0,3,40,60	72.0,3,40,60	67.0,3,40,60	65.0,3,40,60	60.0,3,40,60	57.0,3,40,60	54.0,3,40,60
112.0,3,39,60	127.0,3,39,60	134.0,3,39,60	152.0,3,39,59	159.0,3,39,59	171.0,3,39,59	176.0,3,39,59	183.0,3,39,59	193.0,3,39,59	200.0,3,38,59	227.0,3,38,59	255.0,3,38,59	305.0,3,37,58	307.0,3,37,58	312.0,3,37,58	322.0,3,37,58	328.0,3,37,58	330.0,3,37,58	345.0,3,37,58	335.0,3,37,58	333.0,3,37,58	340.0,3,37,58	356.0,3,37,58	338.0,3,37,58	315.0,3,37,58	298.0,3,38,59	287.0,3,38,59	302.0,3,37,58	277.0,3,38,59	260.0,3,38,59	235.0,3,38,59	194.0,3,39,59	185.0,3,39,59	178.0,3,39,59	167.0,3,39,59	150.0,3,39,59	140.0,3,39,60	133.0,3,39,60	119.0,3,39,60	113.0,3,39,60	99.0,3,40,60	94.0,3,40,60	85.0,3,40,60	78.0,3,40,60	74.0,3,40,60	68.0,3,40,60	66.0,3,40,60	60.0,3,40,60	59.0,3,40,60	54.0,3,40,60
121.0,3,39,60	137.0,3,39,60	146.0,3,39,60	165.0,3,39,59	177.0,3,39,59	187.0,3,39,59	191.0,3,39,59	198.0,3,39,59	217.0,3,38,59	227.0,3,38,59	274.0,3,38,59	293.0,3,38,59	320.0,3,37,58	320.0,3,37,58	381.0,3,37,58	379.0,3,37,58	385.0,3,37,58	378.0,3,37,58	408.0,3,36,58	376.0,3,37,58	383.0,3,37,58	377.0,3,37,58	386.0,3,37,58	375.0,3,37,58	360.0,3,37,58	335.0,3,37,58	330.0,3,37,58	319.0,3,37,58	303.0,3,37,58	249.0,3,38,59	235.0,3,38,59	214.0,3,38,59	198.0,3,39,59	183.0,3,39,59	171.0,3,39,59	158.0,3,39,59	144.0,3,39,60	136.0,3,39,60	125.0,3,39,60	113.0,3,39,60	105.0,3,39,60	101.0,3,39,60	87.0,3,40,60	80.0,3,40,60	75.0,3,40,60	69.0,3,40,60	67.0,3,40,60	62.0,3,40,60	60.0,3,40,60	59.0,3,40,60
133.0,3,39,60	146.0,3,39,60	155.0,3,39,59	178.0,3,39,59	190.0,3,39,59	201.0,3,38,59	215.0,3,38,59	221.0,3,38,59	243.0,3,38,59	267.0,3,38,59	324.0,3,37,58	342.0,3,37,58	382.0,3,37,58	404.0,3,36,58	407.0,3,36,58	442.0,3,36,58	449.0,3,36,58	437.0,3,36,58	442.0,3,36,58	424.0,3,36,58	424.0,3,36,58	434.0,3,36,58	425.0,3,36,58	428.0,3,36,58	418.0,3,36,58	376.0,3,37,58	367.0,3,37,58	346.0,3,37,58	337.0,3,37,58	282.0,3,38,59	251.0,3,38,59	213.0,3,38,59	210.0,3,38,59	188.0,3,39,59	178.0,3,39,59	163.0,3,39,59	146.0,3,39,60	139.0,3,39,60	124.0,3,39,60	119.0,3,39,60	105.0,3,39,60	97.0,3,40,60	88.0,3,40,60	83.0,3,40,60	76.0,3,40,60	71.0,3,40,60	68.0,3,40,60	61.0,3,40,60	61.0,3,40,60	58.0,3,40,60
155.0,3,39,59	175.0,3,39,59	178.0,3,39,59	195.0,3,39,59	198.0,3,39,59	229.0,3,38,59	238.0,3,38,59	284.0,3,38,59	316.0,3,37,58	349.0,3,37,58	454.0,3,36,57	495.0,3,36,57	523.0,4,35,57	543.0,4,35,57	569.0,4,35,57	615.0,4,34,56	613.0,4,34,56	616.0,4,34,56	601.0,4,34,56	591.0,4,35,57	558.0,4,35,57	577.0,4,35,57	555.0,4,35,57	525.0,4,35,57	510.0,4,35,57	504.0,4,35,57	463.0,3,36,57	421.0,3,36,58	343.0,3,37,58	297.0,3,38,59	287.0,3,38,59	242.0,3,38,59	232.0,3,38,59	204.0,3,38,59	184.0,3,39,59	164.0,3,39,59	147.0,3,39,60	134.0,3,39,60	123.0,3,39,60	116.0,3,39,60	106.0,3,39,60	101.0,3,39,60	91.0,3,40,60	87.0,3,40,60	79.0,3,40,60	71.0,3,40,60	70.0,3,40,60	66.0,3,40,60	61.0,3,40,60	59.0,3,40,60
165.0,3,39,59	192.0,3,39,59	193.0,3,39,59	208.0,3,38,59	214.0,3,38,59	245.0,3,38,59	256.0,3,38,59	263.0,3,38,59	361.0,3,37,58	389.0,3,37,58	484.0,3,36,57	531.0,4,35,57	585.0,4,35,57	608.0,4,34,56	645.0,4,34,56	655.0,4,34,56	725.0,4,33,56	740.0,4,33,56	708.0,4,33,56	699.0,4,34,56	640.0,4,34,56	650.0,4,34,56	615.0,4,34,56	603.0,4,34,56	579.0,4,35,57	571.0,4,35,57	519.0,4,35,57	471.0,3,36,57	342.0,3,37,58	294.0,3,38,59	287.0,3,38,59	249.0,3,38,59	230.0,3,38,59	207.0,3,38,59	193.0,3,39,59	186.0,3,39,59	146.0,3,39,60	136.0,3,39,60	123.0,3,39,60	115.0,3,39,60	105.0,3,39,60	99.0,3,40,60	92.0,3,40,60	87.0,3,40,60	79.0,3,40,60	66.0,3,40,60	71.0,3,40,60	63.0,3,40,60	62.0,3,40,60	62.0,3,40,60
171.0,3,39,59	193.0,3,39,59	202.0,3,38,59	228.0,3,38,59	234.0,3,38,59	255.0,3,38,59	291.0,3,38,59	302.0,3,37,58	379.0,3,37,58	427.0,3,36,58	489.0,3,36,57	557.0,4,35,57	643.0,4,34,56	660.0,4,34,56	715.0,4,33,56	758.0,4,33,55	772.0,4,33,55	848.0,4,32,55	816.0,4,32,55	779.0,4,33,55	708.0,4,33,56	710.0,4,33,56	648.0,4,34,56	643.0,4,34,56	648.0,4,34,56	606.0,4,34,56	511.0,4,35,57	483.0,3,36,57	370.0,3,37,58	337.0,3,37,58	290.0,3,38,59	280.0,3,38,59	252.0,3,38,59	221.0,3,38,59	208.0,3,38,59	183.0,3,39,59	144.0,3,39,60	141.0,3,39,60	124.0,3,39,60	117.0,3,39,60	106.0,3,39,60	102.0,3,39,60	92.0,3,40,60	87.0,3,40,60	78.0,3,40,60	71.0,3,40,60	69.0,3,40,60	65.0,3,40,60	62.0,3,40,60	64.0,3,40,60
170.0,3,39,59	196.0,3,39,59	211.0,3,38,59	235.0,3,38,59	250.0,3,38,59	263.0,3,38,59	315.0,3,37,58	357.0,3,37,58	387.0,3,37,58	450.0,3,36,57	524.0,4,35,57	572.0,4,35,57	691.0,4,34,56	724.0,4,33,56	806.0,4,32,55	874.0,4,32,55	894.0,4,32,55	965.0,4,31,54	983.0,4,31,54	806.0,4,32,55	829.0,4,32,55	816.0,4,32,55	767.0,4,33,55	750.0,4,33,55	663.0,4,34,56	618.0,4,34,56	543.0,4,35,57	496.0,3,36,57	393.0,3,37,58	347.0,3,37,58	334.0,3,37,58	301.0,3,37,58	269.0,3,38,59	225.0,3,38,59	198.0,3,39,59	167.0,3,39,59	146.0,3,39,60	139.0,3,39,60	125.0,3,39,60	118.0,3,39,60	112.0,3,39,60	103.0,3,39,60	97.0,3,40,60	91.0,3,40,60	80.0,3,40,60	75.0,3,40,60	70.0,3,40,60	63.0,3,40,60	63.0,3,40,60	54.0,3,40,60
168.0,3,39,59	200.0,3,38,59	214.0,3,38,59	240.0,3,38,59	250.0,3,38,59	281.0,3,38,59	342.0,3,37,58	391.0,3,37,58	451.0,3,36,57	456.0,3,36,57	580.0,4,35,57	614.0,4,34,56	714.0,4,33,56	781.0,4,33,55	917.0,4,31,54	963.0,4,31,54	1031.0,5,30,54	1057.0,5,30,53	1076.0,5,30,53	946.0,4,31,54	898.0,4,32,55	898.0,4,32,55	819.0,4,32,55	786.0,4,33,55	708.0,4,33,56	666.0,4,34,56	531.0,4,35,57	468.0,3,36,57	438.0,3,36,58	391.0,3,37,58	343.0,3,37,58	284.0,3,38,59	245.0,3,38,59	217.0,3,38,59	192.0,3,39,59	165.0,3,39,59	150.0,3,39,59	142.0,3,39,60	130.0,3,39,60	122.0,3,39,60	108.0,3,39,60	103.0,3,39,60	94.0,3,40,60	90.0,3,40,60	81.0,3,40,60	71.0,3,40,60	66.0,3,40,60	59.0,3,40,60	57.0,3,40,60	50.0,3,40,60
