radius:15.0
size:60^60
path:rio_60x60.txt
+data:
58.0,3,40,60	61.0,3,40,60	73.0,3,40,60	36.0,3,40,60	27.0,3,40,60	57.0,3,40,60	69.0,3,40,60	42.0,3,40,60	29.0,3,40,60	21.0,3,40,60	12.0,3,40,60	44.0,3,40,60	14.0,3,40,60	30.0,3,40,60	7.0,3,40,60	65.0,3,40,60	5.0,3,40,60	6.0,3,40,60	14.0,3,40,60	3.0,3,40,60	0.0,3,40,60	4.0,3,40,60	2.0,3,40,60	9.0,3,40,60	8.0,3,40,60	48.0,3,40,60	9.0,3,40,60	17.0,3,40,60	10.0,3,40,60	44.0,3,40,60	14.0,3,40,60	6.0,3,40,60	7.0,3,40,60	6.0,3,40,60	16.0,3,40,60	13.0,3,40,60	16.0,3,40,60	38.0,3,40,60	24.0,3,40,60	37.0,3,40,60	21.0,3,40,60	24.0,3,40,60	15.0,3,40,60	22.0,3,40,60	32.0,3,40,60	4.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	8.0,3,40,60	9.0,3,40,60	9.0,3,40,60	8.0,3,40,60	5.0,3,40,60
196.0,3,39,59	170.0,3,39,59	39.0,3,40,60	41.0,3,40,60	51.0,3,40,60	33.0,3,40,60	25.0,3,40,60	29.0,3,40,60	21.0,3,40,60	16.0,3,40,60	36.0,3,40,60	62.0,3,40,60	48.0,3,40,60	46.0,3,40,60	47.0,3,40,60	18.0,3,40,60	55.0,3,40,60	65.0,3,40,60	40.0,3,40,60	5.0,3,40,60	1.0,3,40,60	2.0,3,40,60	6.0,3,40,60	6.0,3,40,60	4.0,3,40,60	7.0,3,40,60	2.0,3,40,60	5.0,3,40,60	16.0,3,40,60	7.0,3,40,60	69.0,3,40,60	4.0,3,40,60	2.0,3,40,60	3.0,3,40,60	7.0,3,40,60	36.0,3,40,60	20.0,3,40,60	7.0,3,40,60	19.0,3,40,60	9.0,3,40,60	5.0,3,40,60	6.0,3,40,60	9.0,3,40,60	15.0,3,40,60	58.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	7.0,3,40,60	9.0,3,40,60	8.0,3,40,60	4.0,3,40,60
246.0,3,38,59	46.0,3,40,60	44.0,3,40,60	193.0,3,39,59	37.0,3,40,60	32.0,3,40,60	38.0,3,40,60	40.0,3,40,60	43.0,3,40,60	46.0,3,40,60	29.0,3,40,60	66.0,3,40,60	13.0,3,40,60	26.0,3,40,60	5.0,3,40,60	12.0,3,40,60	50.0,3,40,60	35.0,3,40,60	5.0,3,40,60	7.0,3,40,60	5.0,3,40,60	4.0,3,40,60	4.0,3,40,60	3.0,3,40,60	4.0,3,40,60	5.0,3,40,60	6.0,3,40,60	8.0,3,40,60	6.0,3,40,60	4.0,3,40,60	5.0,3,40,60	3.0,3,40,60	5.0,3,40,60	2.0,3,40,60	6.0,3,40,60	8.0,3,40,60	6.0,3,40,60	4.0,3,40,60	14.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	59.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	3.0,3,40,60	9.0,3,40,60	9.0,3,40,60	4.0,3,40,60	6.0,3,40,60
54.0,3,40,60	55.0,3,40,60	59.0,3,40,60	103.0,3,39,60	38.0,3,40,60	45.0,3,40,60	50.0,3,40,60	26.0,3,40,60	26.0,3,40,60	68.0,3,40,60	24.0,3,40,60	33.0,3,40,60	14.0,3,40,60	34.0,3,40,60	9.0,3,40,60	52.0,3,40,60	15.0,3,40,60	31.0,3,40,60	54.0,3,40,60	8.0,3,40,60	23.0,3,40,60	7.0,3,40,60	3.0,3,40,60	2.0,3,40,60	3.0,3,40,60	3.0,3,40,60	4.0,3,40,60	8.0,3,40,60	4.0,3,40,60	3.0,3,40,60	15.0,3,40,60	8.0,3,40,60	4.0,3,40,60	19.0,3,40,60	17.0,3,40,60	4.0,3,40,60	6.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	8.0,3,40,60	8.0,3,40,60	5.0,3,40,60	5.0,3,40,60
63.0,3,40,60	85.0,3,40,60	45.0,3,40,60	36.0,3,40,60	32.0,3,40,60	31.0,3,40,60	25.0,3,40,60	48.0,3,40,60	21.0,3,40,60	39.0,3,40,60	24.0,3,40,60	32.0,3,40,60	47.0,3,40,60	2.0,3,40,60	7.0,3,40,60	29.0,3,40,60	49.0,3,40,60	8.0,3,40,60	55.0,3,40,60	49.0,3,40,60	15.0,3,40,60	12.0,3,40,60	22.0,3,40,60	7.0,3,40,60	3.0,3,40,60	4.0,3,40,60	2.0,3,40,60	3.0,3,40,60	8.0,3,40,60	9.0,3,40,60	6.0,3,40,60	3.0,3,40,60	6.0,3,40,60	16.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	4.0,3,40,60	9.0,3,40,60	8.0,3,40,60	5.0,3,40,60
46.0,3,40,60	121.0,3,39,60	38.0,3,40,60	28.0,3,40,60	34.0,3,40,60	46.0,3,40,60	26.0,3,40,60	11.0,3,40,60	12.0,3,40,60	10.0,3,40,60	11.0,3,40,60	21.0,3,40,60	11.0,3,40,60	7.0,3,40,60	14.0,3,40,60	50.0,3,40,60	11.0,3,40,60	44.0,3,40,60	50.0,3,40,60	43.0,3,40,60	24.0,3,40,60	39.0,3,40,60	7.0,3,40,60	22.0,3,40,60	3.0,3,40,60	2.0,3,40,60	3.0,3,40,60	3.0,3,40,60	3.0,3,40,60	3.0,3,40,60	7.0,3,40,60	3.0,3,40,60	4.0,3,40,60	11.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	7.0,3,40,60	9.0,3,40,60	5.0,3,40,60	4.0,3,40,60
53.0,3,40,60	35.0,3,40,60	32.0,3,40,60	29.0,3,40,60	24.0,3,40,60	21.0,3,40,60	17.0,3,40,60	26.0,3,40,60	18.0,3,40,60	15.0,3,40,60	11.0,3,40,60	10.0,3,40,60	11.0,3,40,60	12.0,3,40,60	38.0,3,40,60	26.0,3,40,60	46.0,3,40,60	70.0,3,40,60	43.0,3,40,60	17.0,3,40,60	45.0,3,40,60	11.0,3,40,60	6.0,3,40,60	5.0,3,40,60	1.0,3,40,60	4.0,3,40,60	3.0,3,40,60	4.0,3,40,60	3.0,3,40,60	0.0,3,40,60	6.0,3,40,60	3.0,3,40,60	4.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	7.0,3,40,60	8.0,3,40,60	7.0,3,40,60	5.0,3,40,60
33.0,3,40,60	30.0,3,40,60	24.0,3,40,60	22.0,3,40,60	18.0,3,40,60	18.0,3,40,60	35.0,3,40,60	20.0,3,40,60	15.0,3,40,60	13.0,3,40,60	14.0,3,40,60	10.0,3,40,60	23.0,3,40,60	28.0,3,40,60	34.0,3,40,60	46.0,3,40,60	47.0,3,40,60	27.0,3,40,60	40.0,3,40,60	49.0,3,40,60	41.0,3,40,60	9.0,3,40,60	2.0,3,40,60	2.0,3,40,60	0.0,3,40,60	5.0,3,40,60	-1.0,3,40,60	2.0,3,40,60	14.0,3,40,60	16.0,3,40,60	6.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	4.0,3,40,60	4.0,3,40,60	6.0,3,40,60	5.0,3,40,60
28.0,3,40,60	28.0,3,40,60	28.0,3,40,60	27.0,3,40,60	22.0,3,40,60	23.0,3,40,60	26.0,3,40,60	23.0,3,40,60	18.0,3,40,60	16.0,3,40,60	18.0,3,40,60	20.0,3,40,60	23.0,3,40,60	32.0,3,40,60	36.0,3,40,60	15.0,3,40,60	34.0,3,40,60	12.0,3,40,60	4.0,3,40,60	2.0,3,40,60	5.0,3,40,60	3.0,3,40,60	4.0,3,40,60	22.0,3,40,60	8.0,3,40,60	6.0,3,40,60	20.0,3,40,60	6.0,3,40,60	5.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	5.0,3,40,60	9.0,3,40,60	7.0,3,40,60	43.0,3,40,60	66.0,3,40,60	8.0,3,40,60
34.0,3,40,60	51.0,3,40,60	34.0,3,40,60	41.0,3,40,60	26.0,3,40,60	37.0,3,40,60	30.0,3,40,60	26.0,3,40,60	31.0,3,40,60	21.0,3,40,60	26.0,3,40,60	24.0,3,40,60	46.0,3,40,60	33.0,3,40,60	8.0,3,40,60	4.0,3,40,60	8.0,3,40,60	5.0,3,40,60	6.0,3,40,60	16.0,3,40,60	5.0,3,40,60	7.0,3,40,60	36.0,3,40,60	34.0,3,40,60	5.0,3,40,60	12.0,3,40,60	23.0,3,40,60	6.0,3,40,60	3.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	8.0,3,40,60	27.0,3,40,60	73.0,3,40,60	119.0,3,39,60	7.0,3,40,60	18.0,3,40,60	5.0,3,40,60
