radius:25.0
size:94^55
path:sample.svg
fields:latitude	longitude
geo:37.68,37.88,-122.55,-122.38
+data:
96.777923584,37.88,-122.55011527698241	38.34834671,37.88,-122.5469628593164	25.751634598,37.88,-122.54381044165038	13.975764275,37.88,-122.54065802398436	9.558024406,37.88,-122.53750560631835	7.83169651,37.88,-122.53435318865233	14.513936043,37.88,-122.53120077098632	9.128165245,37.88,-122.5280483533203	2.155032396,37.88,-122.52489593565429	6.397540092,37.88,-122.52174351798827	4.162231922,37.88,-122.51859110032225	1.897056818,37.88,-122.51543868265624	0.257055223,37.88,-122.51228626499022	-0.300000012,37.88,-122.50913384732421	-0.300000012,37.88,-122.50598142965819	-0.300000012,37.88,-122.50282901199218	26.103467941,37.88,-122.49967659432616	0.318340361,37.88,-122.49652417666015	-0.300000012,37.88,-122.49337175899413	-0.300000012,37.88,-122.49021934132811	-0.300000012,37.88,-122.4870669236621	-0.300000012,37.88,-122.48391450599608	-0.300000012,37.88,-122.48076208833007	-0.300000012,37.88,-122.47760967066405	-0.300000012,37.88,-122.47445725299804	1.713012338,37.88,-122.47130483533202	0.419999987,37.88,-122.468152417666	3.326738596,37.88,-122.46499999999999	81.254364014,37.88,-122.46184758233397	10.543737411,37.88,-122.45869516466796	73.816398621,37.88,-122.45554274700194	130.781387329,37.88,-122.45239032933593	124.094261169,37.88,-122.44923791166991	80.538246155,37.88,-122.4460854940039	-0.300000012,37.88,-122.44293307633788	-0.300000012,37.88,-122.43978065867186	-0.300000012,37.88,-122.43662824100585	-0.300000012,37.88,-122.43347582333983	-0.300000012,37.88,-122.43032340567382	-21.246519089,37.88,-122.4271709880078	-14.91710186,37.88,-122.42401857034179	-12.892368317,37.88,-122.42086615267577	-14.156079292,37.88,-122.41771373500976	-13.612002373,37.88,-122.41456131734374	-11.821124077,37.88,-122.41140889967772	-11.378911018,37.88,-122.40825648201171	-10.089219093,37.88,-122.4051040643457	-6.734382629,37.88,-122.40195164667968	-6.215072155,37.88,-122.39879922901366	-6.270145893,37.88,-122.39564681134765	-5.035065651,37.88,-122.39249439368163	-3.294994354,37.88,-122.38934197601561	-2.725344181,37.88,-122.3861895583496	-2.30170393,37.88,-122.38303714068358	-2.279990673,37.88,-122.37988472301757
155.466629028,37.877849462365596,-122.55011279188874	42.825641632,37.877849462365596,-122.54696046626323	81.251609802,37.877849462365596,-122.54380814063772	60.411518097,37.877849462365596,-122.54065581501222	26.739871979,37.877849462365596,-122.5375034893867	4.532969475,37.877849462365596,-122.53435116376119	2.874296904,37.877849462365596,-122.53119883813568	2.452105761,37.877849462365596,-122.52804651251017	1.797191262,37.877849462365596,-122.52489418688467	20.87231636,37.877849462365596,-122.52174186125916	68.480422974,37.877849462365596,-122.51858953563365	29.679523468,37.877849462365596,-122.51543721000813	0.752832174,37.877849462365596,-122.51228488438262	-0.043263916,37.877849462365596,-122.50913255875712	-0.300000012,37.877849462365596,-122.50598023313161	-0.300000012,37.877849462365596,-122.5028279075061	-0.300000012,37.877849462365596,-122.4996755818806	2.387262344,37.877849462365596,-122.49652325625507	-0.300000012,37.877849462365596,-122.49337093062957	-0.300000012,37.877849462365596,-122.49021860500406	-0.300000012,37.877849462365596,-122.48706627937855	-0.300000012,37.877849462365596,-122.48391395375305	-0.300000012,37.877849462365596,-122.48076162812754	-0.300000012,37.877849462365596,-122.47760930250203	-0.300000012,37.877849462365596,-122.47445697687651	2.88634634,37.877849462365596,-122.471304651251	0.419999987,37.877849462365596,-122.4681523256255	0.419999987,37.877849462365596,-122.46499999999999	7.521430016,37.877849462365596,-122.46184767437448	3.226219177,37.877849462365596,-122.45869534874898	46.018489838,37.877849462365596,-122.45554302312347	95.364265442,37.877849462365596,-122.45239069749795	57.371074677,37.877849462365596,-122.44923837187244	53.734008789,37.877849462365596,-122.44608604624693	-0.300000012,37.877849462365596,-122.44293372062143	-0.300000012,37.877849462365596,-122.43978139499592	-0.300000012,37.877849462365596,-122.43662906937041	-0.300000012,37.877849462365596,-122.4334767437449	-0.300000012,37.877849462365596,-122.43032441811938	-0.300000012,37.877849462365596,-122.42717209249388	-14.251734734,37.877849462365596,-122.42401976686837	-0.300000012,37.877849462365596,-122.42086744124286	-0.300000012,37.877849462365596,-122.41771511561736	-14.381524086,37.877849462365596,-122.41456278999185	-12.604870796,37.877849462365596,-122.41141046436633	-12.108865738,37.877849462365596,-122.40825813874082	-11.575343132,37.877849462365596,-122.40510581311531	-8.77350235,37.877849462365596,-122.4019534874898	-7.054944992,37.877849462365596,-122.3988011618643	-6.364305496,37.877849462365596,-122.39564883623879	-5.231469631,37.877849462365596,-122.39249651061328	-3.613984108,37.877849462365596,-122.38934418498776	-2.925914288,37.877849462365596,-122.38619185936226	-2.579676628,37.877849462365596,-122.38303953373675	-2.479244232,37.877849462365596,-122.37988720811124
158.522506714,37.87569892473118,-122.55011030706008	99.313331604,37.87569892473118,-122.54695807346526	124.672485352,37.87569892473118,-122.54380583987044	84.425697327,37.87569892473118,-122.54065360627563	49.478946686,37.87569892473118,-122.53750137268081	24.946653366,37.87569892473118,-122.53434913908599	42.852581024,37.87569892473118,-122.53119690549117	4.419835091,37.87569892473118,-122.52804467189635	31.958442688,37.87569892473118,-122.52489243830153	92.13874054,37.87569892473118,-122.52174020470672	77.872581482,37.87569892473118,-122.5185879711119	60.172012329,37.87569892473118,-122.51543573751708	33.523288727,37.87569892473118,-122.51228350392226	0.881477594,37.87569892473118,-122.50913127032744	2.341855526,37.87569892473118,-122.50597903673263	-0.300000012,37.87569892473118,-122.50282680313781	-0.300000012,37.87569892473118,-122.49967456954299	-0.300000012,37.87569892473118,-122.49652233594817	-0.300000012,37.87569892473118,-122.49337010235335	-0.300000012,37.87569892473118,-122.49021786875853	-0.300000012,37.87569892473118,-122.48706563516372	-0.300000012,37.87569892473118,-122.4839134015689	-0.300000012,37.87569892473118,-122.48076116797408	-0.300000012,37.87569892473118,-122.47760893437926	-0.300000012,37.87569892473118,-122.47445670078444	42.838863373,37.87569892473118,-122.47130446718963	2.761152506,37.87569892473118,-122.46815223359481	1.120000005,37.87569892473118,-122.46499999999999	1.582171917,37.87569892473118,-122.46184776640519	2.356622219,37.87569892473118,-122.45869553281037	3.72347641,37.87569892473118,-122.45554329921555	64.692520142,37.87569892473118,-122.45239106562073	27.96697998,37.87569892473118,-122.44923883202591	10.625664711,37.87569892473118,-122.4460865984311	-0.300000012,37.87569892473118,-122.44293436483628	-0.300000012,37.87569892473118,-122.43978213124146	-0.300000012,37.87569892473118,-122.43662989764664	-0.300000012,37.87569892473118,-122.43347766405182	-0.300000012,37.87569892473118,-122.430325430457	-0.300000012,37.87569892473118,-122.42717319686219	-0.300000012,37.87569892473118,-122.42402096326737	-0.300000012,37.87569892473118,-122.42086872967255	-0.300000012,37.87569892473118,-122.41771649607773	-0.300000012,37.87569892473118,-122.41456426248291	-13.675442696,37.87569892473118,-122.4114120288881	-12.963768959,37.87569892473118,-122.40825979529328	-12.94063282,37.87569892473118,-122.40510756169846	-10.121166229,37.87569892473118,-122.40195532810364	-8.29656601,37.87569892473118,-122.39880309450882	-6.793054581,37.87569892473118,-122.395650860914	-5.448317528,37.87569892473118,-122.39249862731918	-3.942120075,37.87569892473118,-122.38934639372437	-3.257387638,37.87569892473118,-122.38619416012955	-2.81248045,37.87569892473118,-122.38304192653473	-2.801435947,37.87569892473118,-122.37988969293991
176.000015259,37.873548387096776,-122.5501078224964	107.454620361,37.873548387096776,-122.54695568092247	178.77142334,37.873548387096776,-122.54380353934852	154.534423828,37.873548387096776,-122.54065139777458	148.723236084,37.873548387096776,-122.53749925620063	126.182167053,37.873548387096776,-122.5343471146267	57.469154358,37.873548387096776,-122.53119497305275	6.365133286,37.873548387096776,-122.52804283147881	16.842521667,37.873548387096776,-122.52489068990488	87.072891235,37.873548387096776,-122.52173854833093	95.104026794,37.873548387096776,-122.518586406757	28.159448624,37.873548387096776,-122.51543426518305	3.596885204,37.873548387096776,-122.51228212360911	3.568512201,37.873548387096776,-122.50912998203518	2.290949345,37.873548387096776,-122.50597784046123	-0.149172723,37.873548387096776,-122.50282569888729	-0.300000012,37.873548387096776,-122.49967355731334	-0.300000012,37.873548387096776,-122.49652141573941	-0.300000012,37.873548387096776,-122.49336927416546	-0.300000012,37.873548387096776,-122.49021713259152	-0.300000012,37.873548387096776,-122.48706499101759	-0.300000012,37.873548387096776,-122.48391284944364	-0.300000012,37.873548387096776,-122.4807607078697	-0.300000012,37.873548387096776,-122.47760856629576	-0.300000012,37.873548387096776,-122.47445642472182	39.967601776,37.873548387096776,-122.47130428314789	39.177429199,37.873548387096776,-122.46815214157394	5.701406956,37.873548387096776,-122.465	0.440810293,37.873548387096776,-122.46184785842605	21.473340988,37.873548387096776,-122.45869571685212	3.25998807,37.873548387096776,-122.45554357527817	5.064333916,37.873548387096776,-122.45239143370424	14.727872849,37.873548387096776,-122.4492392921303	-0.300000012,37.873548387096776,-122.44608715055635	-0.300000012,37.873548387096776,-122.44293500898242	-0.300000012,37.873548387096776,-122.43978286740847	-0.300000012,37.873548387096776,-122.43663072583453	-0.300000012,37.873548387096776,-122.4334785842606	-0.300000012,37.873548387096776,-122.43032644268665	-0.300000012,37.873548387096776,-122.42717430111271	-0.300000012,37.873548387096776,-122.42402215953877	-0.300000012,37.873548387096776,-122.42087001796483	-0.300000012,37.873548387096776,-122.41771787639088	-0.300000012,37.873548387096776,-122.41456573481695	-14.09346199,37.873548387096776,-122.41141359324301	-14.119187355,37.873548387096776,-122.40826145166906	-14.176165581,37.873548387096776,-122.40510931009513	-11.673977852,37.873548387096776,-122.40195716852118	-9.687294006,37.873548387096776,-122.39880502694724	-7.70965004,37.873548387096776,-122.39565288537331	-5.664563656,37.873548387096776,-122.39250074379936	-4.36457634,37.873548387096776,-122.38934860222543	-3.577050686,37.873548387096776,-122.38619646065148	-3.093198538,37.873548387096776,-122.38304431907754	-2.835208893,37.873548387096776,-122.37989217750359
200.684143066,37.87139784946237,-122.55010533819767	147.686569214,37.87139784946237,-122.5469532886348	230.870605469,37.87139784946237,-122.54380123907191	196.615570068,37.87139784946237,-122.54064918950904	172.42779541,37.87139784946237,-122.53749713994615	114.194976807,37.87139784946237,-122.53434509038328	95.031997681,37.87139784946237,-122.53119304082041	25.105588913,37.87139784946237,-122.52804099125753	40.352531433,37.87139784946237,-122.52488894169466	101.796310425,37.87139784946237,-122.52173689213178	100.914253235,37.87139784946237,-122.5185848425689	24.571855545,37.87139784946237,-122.51543279300603	3.732091188,37.87139784946237,-122.51228074344314	2.3564713,37.87139784946237,-122.50912869388027	35.314704895,37.87139784946237,-122.5059766443174	3.229147911,37.87139784946237,-122.50282459475451	0.054586679,37.87139784946237,-122.49967254519164	-0.300000012,37.87139784946237,-122.49652049562877	-0.300000012,37.87139784946237,-122.49336844606589	-0.300000012,37.87139784946237,-122.49021639650302	-0.300000012,37.87139784946237,-122.48706434694013	-0.300000012,37.87139784946237,-122.48391229737726	-0.300000012,37.87139784946237,-122.48076024781439	-0.300000012,37.87139784946237,-122.4776081982515	-0.300000012,37.87139784946237,-122.47445614868863	-0.300000012,37.87139784946237,-122.47130409912576	95.425231934,37.87139784946237,-122.46815204956287	69.253959656,37.87139784946237,-122.465	-0.300000012,37.87139784946237,-122.46184795043712	-0.300000012,37.87139784946237,-122.45869590087425	-0.300000012,37.87139784946237,-122.45554385131138	-0.300000012,37.87139784946237,-122.45239180174849	-0.300000012,37.87139784946237,-122.44923975218562	-0.300000012,37.87139784946237,-122.44608770262275	-0.300000012,37.87139784946237,-122.44293565305986	-0.300000012,37.87139784946237,-122.43978360349699	-0.300000012,37.87139784946237,-122.4366315539341	-0.300000012,37.87139784946237,-122.43347950437123	65.084373474,37.87139784946237,-122.43032745480836	-0.300000012,37.87139784946237,-122.42717540524548	-0.300000012,37.87139784946237,-122.4240233556826	-0.300000012,37.87139784946237,-122.42087130611974	-0.300000012,37.87139784946237,-122.41771925655685	-0.300000012,37.87139784946237,-122.41456720699398	-15.822967529,37.87139784946237,-122.4114151574311	-15.253495216,37.87139784946237,-122.40826310786822	-15.405977249,37.87139784946237,-122.40511105830535	-13.471737862,37.87139784946237,-122.40195900874247	-10.915304184,37.87139784946237,-122.3988069591796	-9.156558037,37.87139784946237,-122.39565490961672	-6.063253403,37.87139784946237,-122.39250286005384	-4.620822906,37.87139784946237,-122.38935081049097	-3.838905573,37.87139784946237,-122.38619876092808	-3.444670677,37.87139784946237,-122.38304671136521	-3.053573847,37.87139784946237,-122.37989466180234
271.803222656,37.86924731182796,-122.55010285416384	184.524917603,37.86924731182796,-122.54695089660221	201.25617981,37.86924731182796,-122.54379893904058	185.034744263,37.86924731182796,-122.54064698147897	205.803451538,37.86924731182796,-122.53749502391734	112.579185486,37.86924731182796,-122.53434306635572	71.530021667,37.86924731182796,-122.53119110879409	11.032840729,37.86924731182796,-122.52803915123248	50.013744354,37.86924731182796,-122.52488719367085	101.680992126,37.86924731182796,-122.52173523610922	108.090103149,37.86924731182796,-122.5185832785476	37.555362701,37.86924731182796,-122.51543132098597	17.794031143,37.86924731182796,-122.51227936342435	4.552191734,37.86924731182796,-122.50912740586273	10.815901756,37.86924731182796,-122.5059754483011	3.649092913,37.86924731182796,-122.50282349073947	1.606820464,37.86924731182796,-122.49967153317786	-0.300000012,37.86924731182796,-122.49651957561623	-0.300000012,37.86924731182796,-122.4933676180546	-0.300000012,37.86924731182796,-122.49021566049298	-0.300000012,37.86924731182796,-122.48706370293135	-0.300000012,37.86924731182796,-122.48391174536974	-0.300000012,37.86924731182796,-122.48075978780811	-0.300000012,37.86924731182796,-122.47760783024648	-0.300000012,37.86924731182796,-122.47445587268486	-0.300000012,37.86924731182796,-122.47130391512324	36.420536041,37.86924731182796,-122.46815195756162	97.04548645,37.86924731182796,-122.46499999999999	-0.300000012,37.86924731182796,-122.46184804243836	-0.300000012,37.86924731182796,-122.45869608487673	-0.300000012,37.86924731182796,-122.45554412731512	-0.300000012,37.86924731182796,-122.4523921697535	-0.300000012,37.86924731182796,-122.44924021219187	-0.300000012,37.86924731182796,-122.44608825463024	-0.300000012,37.86924731182796,-122.44293629706863	-0.300000012,37.86924731182796,-122.439784339507	-0.300000012,37.86924731182796,-122.43663238194537	39.681350708,37.86924731182796,-122.43348042438375	67.801521301,37.86924731182796,-122.43032846682212	34.674583435,37.86924731182796,-122.4271765092605	38.611095428,37.86924731182796,-122.42402455169888	-0.300000012,37.86924731182796,-122.42087259413725	-0.300000012,37.86924731182796,-122.41772063657562	-0.300000012,37.86924731182796,-122.41456867901401	-21.173078537,37.86924731182796,-122.41141672145238	-16.846511841,37.86924731182796,-122.40826476389076	-17.114200592,37.86924731182796,-122.40511280632913	-15.588815689,37.86924731182796,-122.4019608487675	-12.380260468,37.86924731182796,-122.39880889120589	-9.764940262,37.86924731182796,-122.39565693364426	-6.420864105,37.86924731182796,-122.39250497608263	-5.112024784,37.86924731182796,-122.389353018521	-4.261583805,37.86924731182796,-122.3862010609594	-3.656449556,37.86924731182796,-122.38304910339777	-3.326812506,37.86924731182796,-122.37989714583614
282.991546631,37.86709677419355,-122.55010037039492	253.2159729,37.86709677419355,-122.54694850482473	193.96194458,37.86709677419355,-122.54379663925455	145.900695801,37.86709677419355,-122.54064477368436	161.579177856,37.86709677419355,-122.53749290811419	108.445053101,37.86709677419355,-122.534341042544	28.022163391,37.86709677419355,-122.53118917697383	82.864837646,37.86709677419355,-122.52803731140364	25.797374725,37.86709677419355,-122.52488544583346	47.627677917,37.86709677419355,-122.52173358026327	107.601531982,37.86709677419355,-122.5185817146931	91.761749268,37.86709677419355,-122.51542984912291	78.121192932,37.86709677419355,-122.51227798355272	38.313777924,37.86709677419355,-122.50912611798255	13.360206604,37.86709677419355,-122.50597425241236	4.876560211,37.86709677419355,-122.50282238684218	4.24549675,37.86709677419355,-122.499670521272	-0.07289505,37.86709677419355,-122.49651865570182	-0.300000012,37.86709677419355,-122.49336679013163	-0.300000012,37.86709677419355,-122.49021492456146	-0.300000012,37.86709677419355,-122.48706305899127	-0.300000012,37.86709677419355,-122.4839111934211	-0.300000012,37.86709677419355,-122.4807593278509	-0.300000012,37.86709677419355,-122.47760746228072	-0.300000012,37.86709677419355,-122.47445559671054	-0.300000012,37.86709677419355,-122.47130373114035	-0.300000012,37.86709677419355,-122.46815186557018	31.229146957,37.86709677419355,-122.46499999999999	60.111724854,37.86709677419355,-122.46184813442981	-0.300000012,37.86709677419355,-122.45869626885963	-0.300000012,37.86709677419355,-122.45554440328945	-0.300000012,37.86709677419355,-122.45239253771926	-0.300000012,37.86709677419355,-122.44924067214909	-0.300000012,37.86709677419355,-122.4460888065789	-0.300000012,37.86709677419355,-122.44293694100872	-0.300000012,37.86709677419355,-122.43978507543854	-0.300000012,37.86709677419355,-122.43663320986835	24.099477768,37.86709677419355,-122.43348134429817	106.989891052,37.86709677419355,-122.43032947872798	107.418067932,37.86709677419355,-122.42717761315781	54.381233215,37.86709677419355,-122.42402574758762	-0.300000012,37.86709677419355,-122.42087388201745	-0.300000012,37.86709677419355,-122.41772201644726	-0.300000012,37.86709677419355,-122.41457015087708	-0.288073689,37.86709677419355,-122.4114182853069	-21.253852844,37.86709677419355,-122.40826641973672	-19.722803116,37.86709677419355,-122.40511455416653	-17.759052277,37.86709677419355,-122.40196268859634	-13.634554863,37.86709677419355,-122.39881082302617	-10.870426178,37.86709677419355,-122.39565895745598	-6.892760277,37.86709677419355,-122.3925070918858	-5.372894287,37.86709677419355,-122.38935522631562	-4.671844006,37.86709677419355,-122.38620336074544	-4.163944721,37.86709677419355,-122.38305149517525	-3.814356565,37.86709677419355,-122.37989962960508
217.783401489,37.86494623655914,-122.55009788689085	203.151504517,37.86494623655914,-122.5469461133023	189.319946289,37.86494623655914,-122.54379433971376	149.378799438,37.86494623655914,-122.5406425661252	127.588768005,37.86494623655914,-122.53749079253666	69.869766235,37.86494623655914,-122.5343390189481	91.839729309,37.86494623655914,-122.53118724535955	147.883804321,37.86494623655914,-122.528035471771	109.326927185,37.86494623655914,-122.52488369818245	68.876365662,37.86494623655914,-122.52173192459391	51.380264282,37.86494623655914,-122.51858015100535	126.273597717,37.86494623655914,-122.5154283774168	125.566757202,37.86494623655914,-122.51227660382825	94.386222839,37.86494623655914,-122.5091248302397	28.897029877,37.86494623655914,-122.50597305665116	25.661941528,37.86494623655914,-122.5028212830626	8.137001038,37.86494623655914,-122.49966950947405	3.65184617,37.86494623655914,-122.4965177358855	-0.300000012,37.86494623655914,-122.49336596229695	-0.300000012,37.86494623655914,-122.4902141887084	-0.300000012,37.86494623655914,-122.48706241511985	-0.300000012,37.86494623655914,-122.4839106415313	-0.300000012,37.86494623655914,-122.48075886794275	-0.300000012,37.86494623655914,-122.4776070943542	-0.300000012,37.86494623655914,-122.47445532076566	-0.300000012,37.86494623655914,-122.4713035471771	-0.300000012,37.86494623655914,-122.46815177358854	-0.300000012,37.86494623655914,-122.465	43.384124756,37.86494623655914,-122.46184822641145	35.229755402,37.86494623655914,-122.4586964528229	-0.300000012,37.86494623655914,-122.45554467923435	-0.300000012,37.86494623655914,-122.45239290564581	-0.300000012,37.86494623655914,-122.44924113205725	-0.300000012,37.86494623655914,-122.4460893584687	-0.300000012,37.86494623655914,-122.44293758488016	36.878662109,37.86494623655914,-122.4397858112916	46.928253174,37.86494623655914,-122.43663403770306	26.355014801,37.86494623655914,-122.4334822641145	125.12562561,37.86494623655914,-122.43033049052595	156.933502197,37.86494623655914,-122.4271787169374	72.017845154,37.86494623655914,-122.42402694334885	-0.300000012,37.86494623655914,-122.42087516976031	-0.300000012,37.86494623655914,-122.41772339617175	-0.292138726,37.86494623655914,-122.4145716225832	-0.281653643,37.86494623655914,-122.41141984899465	-22.104911804,37.86494623655914,-122.4082680754061	-22.53861618,37.86494623655914,-122.40511630181756	-19.920948029,37.86494623655914,-122.401964528229	-14.879911423,37.86494623655914,-122.39881275464045	-11.54400444,37.86494623655914,-122.3956609810519	-7.400177479,37.86494623655914,-122.39250920746335	-5.76403904,37.86494623655914,-122.3893574338748	-5.120512486,37.86494623655914,-122.38620566028625	-4.756953239,37.86494623655914,-122.3830538866977	-4.381936073,37.86494623655914,-122.37990211310915
198.69430542,37.862795698924735,-122.55009540365161	128.034835815,37.862795698924735,-122.54694372203488	104.934204102,37.862795698924735,-122.54379204041815	151.963546753,37.862795698924735,-122.54064035880143	77.812103271,37.862795698924735,-122.53748867718471	48.352581024,37.862795698924735,-122.53433699556798	120.429122925,37.862795698924735,-122.53118531395126	191.787872314,37.862795698924735,-122.52803363233453	170.750595093,37.862795698924735,-122.5248819507178	157.061523438,37.862795698924735,-122.52173026910107	113.716537476,37.862795698924735,-122.51857858748434	95.101226807,37.862795698924735,-122.51542690586763	145.263519287,37.862795698924735,-122.5122752242509	119.197319031,37.862795698924735,-122.50912354263417	68.72052002,37.862795698924735,-122.50597186101744	31.580192566,37.862795698924735,-122.50282017940071	59.464065552,37.862795698924735,-122.49966849778399	25.309551239,37.862795698924735,-122.49651681616726	3.786462545,37.862795698924735,-122.49336513455054	3.614948988,37.862795698924735,-122.49021345293382	-0.300000012,37.862795698924735,-122.48706177131709	-0.300000012,37.862795698924735,-122.48391008970036	-0.300000012,37.862795698924735,-122.48075840808363	-0.300000012,37.862795698924735,-122.4776067264669	-0.300000012,37.862795698924735,-122.47445504485017	-0.300000012,37.862795698924735,-122.47130336323346	-0.300000012,37.862795698924735,-122.46815168161673	-0.300000012,37.862795698924735,-122.465	-0.300000012,37.862795698924735,-122.46184831838328	33.66135025,37.862795698924735,-122.45869663676655	-0.300000012,37.862795698924735,-122.45554495514982	-0.300000012,37.862795698924735,-122.45239327353309	-0.300000012,37.862795698924735,-122.44924159191638	-0.300000012,37.862795698924735,-122.44608991029965	-0.300000012,37.862795698924735,-122.44293822868292	55.176822662,37.862795698924735,-122.43978654706619	170.847122192,37.862795698924735,-122.43663486544946	119.623626709,37.862795698924735,-122.43348318383273	178.699768066,37.862795698924735,-122.430331502216	160.379806519,37.862795698924735,-122.42717982059929	67.839408875,37.862795698924735,-122.42402813898256	9.972486496,37.862795698924735,-122.42087645736584	-0.297693223,37.862795698924735,-122.41772477574911	-0.289315462,37.862795698924735,-122.41457309413238	-0.28014645,37.862795698924735,-122.41142141251565	-23.220071793,37.862795698924735,-122.40826973089892	-24.082317352,37.862795698924735,-122.40511804928221	-21.904268265,37.862795698924735,-122.40196636766548	-15.956849098,37.862795698924735,-122.39881468604875	-11.855251312,37.862795698924735,-122.39566300443202	-7.979012489,37.862795698924735,-122.3925113228153	-6.263509274,37.862795698924735,-122.38935964119857	-5.965890408,37.862795698924735,-122.38620795958184	-5.213799953,37.862795698924735,-122.38305627796512	-4.787229538,37.862795698924735,-122.3799045963484
138.263534546,37.86064516129032,-122.55009292067716	90.876815796,37.86064516129032,-122.54694133102245	81.423240662,37.86064516129032,-122.54378974136775	133.983474731,37.86064516129032,-122.54063815171303	91.952606201,37.86064516129032,-122.53748656205832	82.498664856,37.86064516129032,-122.53433497240361	112.955345154,37.86064516129032,-122.5311833827489	167.52041626,37.86064516129032,-122.52803179309419	219.637512207,37.86064516129032,-122.52488020343948	223.878982544,37.86064516129032,-122.52172861378477	160.096069336,37.86064516129032,-122.51857702413007	142.316665649,37.86064516129032,-122.51542543447535	154.723999023,37.86064516129032,-122.51227384482064	177.980606079,37.86064516129032,-122.50912225516593	95.385726929,37.86064516129032,-122.50597066551123	91.182495117,37.86064516129032,-122.50281907585651	100.296211243,37.86064516129032,-122.4996674862018	30.135253906,37.86064516129032,-122.4965158965471	30.720975876,37.86064516129032,-122.49336430689239	17.464960098,37.86064516129032,-122.49021271723767	3.563237429,37.86064516129032,-122.48706112758296	-0.300000012,37.86064516129032,-122.48390953792826	-0.300000012,37.86064516129032,-122.48075794827355	-0.300000012,37.86064516129032,-122.47760635861883	-0.300000012,37.86064516129032,-122.47445476896412	-0.300000012,37.86064516129032,-122.47130317930942	-0.300000012,37.86064516129032,-122.46815158965471	-0.300000012,37.86064516129032,-122.46499999999999	-0.300000012,37.86064516129032,-122.46184841034528	-0.300000012,37.86064516129032,-122.45869682069058	-0.300000012,37.86064516129032,-122.45554523103587	-0.300000012,37.86064516129032,-122.45239364138115	-0.300000012,37.86064516129032,-122.44924205172644	-0.300000012,37.86064516129032,-122.44609046207174	48.262050629,37.86064516129032,-122.44293887241703	48.195472717,37.86064516129032,-122.43978728276231	140.495422363,37.86064516129032,-122.4366356931076	171.807769775,37.86064516129032,-122.4334841034529	193.912368774,37.86064516129032,-122.43033251379819	168.126678467,37.86064516129032,-122.42718092414347	65.931015015,37.86064516129032,-122.42402933448876	19.305240631,37.86064516129032,-122.42087774483406	-0.297179401,37.86064516129032,-122.41772615517935	-0.287810475,37.86064516129032,-122.41457456552463	-0.278641522,37.86064516129032,-122.41142297586993	-24.500463486,37.86064516129032,-122.40827138621522	-26.260988235,37.86064516129032,-122.40511979656051	-23.538274765,37.86064516129032,-122.40196820690579	-17.26322937,37.86064516129032,-122.39881661725109	-12.21596241,37.86064516129032,-122.39566502759638	-8.33197403,37.86064516129032,-122.39251343794167	-6.802310944,37.86064516129032,-122.38936184828695	-6.171565056,37.86064516129032,-122.38621025863225	-5.512442112,37.86064516129032,-122.38305866897754	-4.907043457,37.86064516129032,-122.37990707932283
