radius:18.0
size:80^60
path:thirteen_colonies_80x60.txt
+data:
175.0,3,39,59	198.0,3,39,59	230.0,3,38,59	240.0,3,38,59	267.0,3,38,59	303.0,3,37,58	304.0,3,37,58	363.0,3,37,58	343.0,3,37,58	358.0,3,37,58	438.0,3,36,58	406.0,3,36,58	358.0,3,37,58	357.0,3,37,58	349.0,3,37,58	373.0,3,37,58	361.0,3,37,58	306.0,3,37,58	336.0,3,37,58	292.0,3,38,59	250.0,3,38,59	189.0,3,39,59	156.0,3,39,59	137.0,3,39,60	125.0,3,39,60	89.0,3,40,60	106.0,3,39,60	69.0,3,40,60	78.0,3,40,60	87.0,3,40,60	69.0,3,40,60	61.0,3,40,60	45.0,3,40,60	54.0,3,40,60	77.0,3,40,60	136.0,3,39,60	310.0,3,37,58	165.0,3,39,59	82.0,3,40,60	42.0,3,40,60	40.0,3,40,60	86.0,3,40,60	202.0,3,38,59	245.0,3,38,59	399.0,3,37,58	215.0,3,38,59	205.0,3,38,59	341.0,3,37,58	484.0,3,36,57	523.0,4,35,57	331.0,3,37,58	496.0,3,36,57	689.0,4,34,56	505.0,4,35,57	441.0,3,36,58	507.0,4,35,57	575.0,4,35,57	1112.0,5,29,53	203.0,3,38,59	400.0,3,36,58
175.0,3,39,59	199.0,3,39,59	209.0,3,38,59	235.0,3,38,59	251.0,3,38,59	277.0,3,38,59	297.0,3,38,59	324.0,3,37,58	350.0,3,37,58	316.0,3,37,58	364.0,3,37,58	376.0,3,37,58	374.0,3,37,58	329.0,3,37,58	313.0,3,37,58	381.0,3,37,58	335.0,3,37,58	313.0,3,37,58	280.0,3,38,59	283.0,3,38,59	216.0,3,38,59	171.0,3,39,59	132.0,3,39,60	130.0,3,39,60	101.0,3,39,60	110.0,3,39,60	107.0,3,39,60	77.0,3,40,60	79.0,3,40,60	77.0,3,40,60	72.0,3,40,60	79.0,3,40,60	80.0,3,40,60	118.0,3,39,60	229.0,3,38,59	380.0,3,37,58	366.0,3,37,58	260.0,3,38,59	147.0,3,39,60	43.0,3,40,60	28.0,3,40,60	96.0,3,40,60	207.0,3,38,59	343.0,3,37,58	424.0,3,36,58	259.0,3,38,59	222.0,3,38,59	468.0,3,36,57	718.0,4,33,56	485.0,3,36,57	480.0,3,36,57	459.0,3,36,57	732.0,4,33,56	475.0,3,36,57	444.0,3,36,58	614.0,4,34,56	469.0,3,36,57	315.0,3,37,58	369.0,3,37,58	158.0,3,39,59
271.0,3,38,59	175.0,3,39,59	198.0,3,39,59	231.0,3,38,59	226.0,3,38,59	236.0,3,38,59	267.0,3,38,59	290.0,3,38,59	300.0,3,37,58	322.0,3,37,58	315.0,3,37,58	345.0,3,37,58	326.0,3,37,58	327.0,3,37,58	324.0,3,37,58	289.0,3,38,59	303.0,3,37,58	275.0,3,38,59	267.0,3,38,59	216.0,3,38,59	221.0,3,38,59	208.0,3,38,59	153.0,3,39,59	127.0,3,39,60	111.0,3,39,60	121.0,3,39,60	96.0,3,40,60	72.0,3,40,60	88.0,3,40,60	101.0,3,39,60	104.0,3,39,60	107.0,3,39,60	154.0,3,39,59	336.0,3,37,58	286.0,3,38,59	547.0,4,35,57	495.0,3,36,57	475.0,3,36,57	172.0,3,39,59	28.0,3,40,60	28.0,3,40,60	276.0,3,38,59	177.0,3,39,59	676.0,4,34,56	746.0,4,33,56	408.0,3,36,58	309.0,3,37,58	546.0,4,35,57	549.0,4,35,57	379.0,3,37,58	577.0,4,35,57	640.0,4,34,56	623.0,4,34,56	426.0,3,36,58	625.0,4,34,56	486.0,3,36,57	757.0,4,33,55	362.0,3,37,58	351.0,3,37,58	152.0,3,39,59
175.0,3,39,59	252.0,3,38,59	281.0,3,38,59	210.0,3,38,59	224.0,3,38,59	244.0,3,38,59	266.0,3,38,59	274.0,3,38,59	299.0,3,38,59	319.0,3,37,58	305.0,3,37,58	289.0,3,38,59	319.0,3,37,58	269.0,3,38,59	280.0,3,38,59	263.0,3,38,59	237.0,3,38,59	238.0,3,38,59	215.0,3,38,59	194.0,3,39,59	162.0,3,39,59	177.0,3,39,59	131.0,3,39,60	137.0,3,39,60	117.0,3,39,60	126.0,3,39,60	96.0,3,40,60	98.0,3,40,60	124.0,3,39,60	133.0,3,39,60	149.0,3,39,60	283.0,3,38,59	387.0,3,37,58	430.0,3,36,58	494.0,3,36,57	511.0,4,35,57	586.0,4,35,57	226.0,3,38,59	120.0,3,39,60	28.0,3,40,60	28.0,3,40,60	249.0,3,38,59	135.0,3,39,60	344.0,3,37,58	484.0,3,36,57	331.0,3,37,58	459.0,3,36,57	434.0,3,36,58	485.0,3,36,57	454.0,3,36,57	418.0,3,36,58	528.0,4,35,57	406.0,3,36,58	535.0,4,35,57	491.0,3,36,57	245.0,3,38,59	509.0,4,35,57	316.0,3,37,58	115.0,3,39,60	94.0,3,40,60
187.0,3,39,59	225.0,3,38,59	398.0,3,37,58	277.0,3,38,59	216.0,3,38,59	234.0,3,38,59	275.0,3,38,59	262.0,3,38,59	278.0,3,38,59	273.0,3,38,59	288.0,3,38,59	232.0,3,38,59	275.0,3,38,59	214.0,3,38,59	223.0,3,38,59	228.0,3,38,59	186.0,3,39,59	175.0,3,39,59	173.0,3,39,59	161.0,3,39,59	175.0,3,39,59	140.0,3,39,60	148.0,3,39,60	96.0,3,40,60	93.0,3,40,60	94.0,3,40,60	117.0,3,39,60	115.0,3,39,60	121.0,3,39,60	219.0,3,38,59	299.0,3,38,59	371.0,3,37,58	529.0,4,35,57	510.0,4,35,57	498.0,3,36,57	524.0,4,35,57	500.0,4,35,57	335.0,3,37,58	125.0,3,39,60	28.0,3,40,60	42.0,3,40,60	207.0,3,38,59	323.0,3,37,58	563.0,4,35,57	542.0,4,35,57	241.0,3,38,59	530.0,4,35,57	303.0,3,37,58	447.0,3,36,58	527.0,4,35,57	312.0,3,37,58	798.0,4,33,55	391.0,3,37,58	588.0,4,35,57	301.0,3,37,58	213.0,3,38,59	221.0,3,38,59	341.0,3,37,58	229.0,3,38,59	198.0,3,39,59
212.0,3,38,59	200.0,3,38,59	227.0,3,38,59	216.0,3,38,59	216.0,3,38,59	231.0,3,38,59	292.0,3,38,59	267.0,3,38,59	279.0,3,38,59	261.0,3,38,59	271.0,3,38,59	214.0,3,38,59	224.0,3,38,59	198.0,3,39,59	184.0,3,39,59	182.0,3,39,59	148.0,3,39,60	173.0,3,39,59	163.0,3,39,59	146.0,3,39,60	180.0,3,39,59	122.0,3,39,60	124.0,3,39,60	84.0,3,40,60	88.0,3,40,60	96.0,3,40,60	93.0,3,40,60	94.0,3,40,60	180.0,3,39,59	280.0,3,38,59	413.0,3,36,58	436.0,3,36,58	458.0,3,36,57	485.0,3,36,57	505.0,4,35,57	516.0,4,35,57	533.0,4,35,57	334.0,3,37,58	494.0,3,36,57	28.0,3,40,60	30.0,3,40,60	243.0,3,38,59	762.0,4,33,55	281.0,3,38,59	335.0,3,37,58	462.0,3,36,57	596.0,4,35,57	186.0,3,39,59	416.0,3,36,58	284.0,3,38,59	309.0,3,37,58	674.0,4,34,56	289.0,3,38,59	338.0,3,37,58	256.0,3,38,59	378.0,3,37,58	345.0,3,37,58	132.0,3,39,60	100.0,3,39,60	129.0,3,39,60
231.0,3,38,59	212.0,3,38,59	273.0,3,38,59	216.0,3,38,59	245.0,3,38,59	262.0,3,38,59	311.0,3,37,58	261.0,3,38,59	259.0,3,38,59	249.0,3,38,59	211.0,3,38,59	228.0,3,38,59	212.0,3,38,59	158.0,3,39,59	139.0,3,39,60	181.0,3,39,59	139.0,3,39,60	160.0,3,39,59	129.0,3,39,60	155.0,3,39,59	141.0,3,39,60	89.0,3,40,60	94.0,3,40,60	73.0,3,40,60	93.0,3,40,60	85.0,3,40,60	140.0,3,39,60	155.0,3,39,59	210.0,3,38,59	290.0,3,38,59	499.0,3,36,57	464.0,3,36,57	462.0,3,36,57	505.0,4,35,57	547.0,4,35,57	570.0,4,35,57	608.0,4,34,56	508.0,4,35,57	267.0,3,38,59	82.0,3,40,60	87.0,3,40,60	425.0,3,36,58	992.0,4,31,54	171.0,3,39,59	434.0,3,36,58	323.0,3,37,58	477.0,3,36,57	173.0,3,39,59	247.0,3,38,59	321.0,3,37,58	492.0,3,36,57	738.0,4,33,56	965.0,4,31,54	514.0,4,35,57	446.0,3,36,58	266.0,3,38,59	250.0,3,38,59	188.0,3,39,59	116.0,3,39,60	129.0,3,39,60
309.0,3,37,58	217.0,3,38,59	225.0,3,38,59	216.0,3,38,59	237.0,3,38,59	279.0,3,38,59	261.0,3,38,59	246.0,3,38,59	298.0,3,38,59	206.0,3,38,59	198.0,3,39,59	184.0,3,39,59	197.0,3,39,59	123.0,3,39,60	142.0,3,39,60	113.0,3,39,60	98.0,3,40,60	85.0,3,40,60	77.0,3,40,60	103.0,3,39,60	73.0,3,40,60	73.0,3,40,60	73.0,3,40,60	81.0,3,40,60	120.0,3,39,60	137.0,3,39,60	156.0,3,39,59	237.0,3,38,59	257.0,3,38,59	414.0,3,36,58	558.0,4,35,57	536.0,4,35,57	655.0,4,34,56	493.0,3,36,57	577.0,4,35,57	813.0,4,32,55	701.0,4,33,56	824.0,4,32,55	384.0,3,37,58	64.0,3,40,60	54.0,3,40,60	193.0,3,39,59	504.0,4,35,57	464.0,3,36,57	336.0,3,37,58	577.0,4,35,57	278.0,3,38,59	318.0,3,37,58	369.0,3,37,58	451.0,3,36,57	835.0,4,32,55	814.0,4,32,55	517.0,4,35,57	179.0,3,39,59	258.0,3,38,59	187.0,3,39,59	158.0,3,39,59	158.0,3,39,59	163.0,3,39,59	59.0,3,40,60
327.0,3,37,58	220.0,3,38,59	251.0,3,38,59	254.0,3,38,59	296.0,3,38,59	319.0,3,37,58	266.0,3,38,59	307.0,3,37,58	356.0,3,37,58	330.0,3,37,58	185.0,3,39,59	341.0,3,37,58	212.0,3,38,59	244.0,3,38,59	100.0,3,39,60	104.0,3,39,60	73.0,3,40,60	115.0,3,39,60	80.0,3,40,60	73.0,3,40,60	73.0,3,40,60	73.0,3,40,60	94.0,3,40,60	106.0,3,39,60	95.0,3,40,60	150.0,3,39,59	209.0,3,38,59	283.0,3,38,59	281.0,3,38,59	477.0,3,36,57	560.0,4,35,57	528.0,4,35,57	531.0,4,35,57	559.0,4,35,57	558.0,4,35,57	553.0,4,35,57	1103.0,5,29,53	591.0,4,35,57	500.0,4,35,57	41.0,3,40,60	53.0,3,40,60	566.0,4,35,57	608.0,4,34,56	523.0,4,35,57	415.0,3,36,58	496.0,3,36,57	397.0,3,37,58	124.0,3,39,60	476.0,3,36,57	478.0,3,36,57	681.0,4,34,56	301.0,3,37,58	395.0,3,37,58	162.0,3,39,59	167.0,3,39,59	101.0,3,39,60	99.0,3,40,60	80.0,3,40,60	111.0,3,39,60	112.0,3,39,60
431.0,3,36,58	325.0,3,37,58	264.0,3,38,59	309.0,3,37,58	265.0,3,38,59	258.0,3,38,59	210.0,3,38,59	213.0,3,38,59	159.0,3,39,59	166.0,3,39,59	135.0,3,39,60	106.0,3,39,60	73.0,3,40,60	73.0,3,40,60	73.0,3,40,60	85.0,3,40,60	85.0,3,40,60	121.0,3,39,60	73.0,3,40,60	73.0,3,40,60	73.0,3,40,60	73.0,3,40,60	85.0,3,40,60	73.0,3,40,60	119.0,3,39,60	329.0,3,37,58	226.0,3,38,59	308.0,3,37,58	423.0,3,36,58	599.0,4,35,57	554.0,4,35,57	530.0,4,35,57	557.0,4,35,57	591.0,4,35,57	497.0,3,36,57	625.0,4,34,56	614.0,4,34,56	298.0,3,38,59	367.0,3,37,58	47.0,3,40,60	118.0,3,39,60	307.0,3,37,58	780.0,4,33,55	407.0,3,36,58	345.0,3,37,58	597.0,4,35,57	389.0,3,37,58	286.0,3,38,59	669.0,4,34,56	383.0,3,37,58	555.0,4,35,57	508.0,4,35,57	280.0,3,38,59	205.0,3,38,59	131.0,3,39,60	144.0,3,39,60	132.0,3,39,60	123.0,3,39,60	50.0,3,40,60	44.0,3,40,60
