radius:15.0
size:80^60
path:three_gorges_80x60.txt
+data:
1024.0,5,30,54	1203.0,5,28,52	1213.0,5,28,52	1430.0,5,26,51	1488.0,5,26,51	1791.0,5,23,49	1718.0,5,23,49	1671.0,5,24,49	2027.0,5,20,47	2289.0,5,18,45	2224.0,5,18,46	2052.0,5,20,47	1896.0,5,22,48	1451.0,5,26,51	883.0,4,32,55	459.0,3,36,57	314.0,3,37,58	386.0,3,37,58	494.0,3,36,57	1026.0,5,30,54	374.0,3,37,58	784.0,4,33,55	1012.0,5,30,54	881.0,4,32,55	1714.0,5,23,49	1730.0,5,23,49	1657.0,5,24,49	1487.0,5,26,51	1700.0,5,23,49	1794.0,5,23,49	1753.0,5,23,49	1636.0,5,24,50	1341.0,5,27,52	1365.0,5,27,51	1476.0,5,26,51	910.0,4,31,54	1088.0,5,30,53	863.0,4,32,55	1044.0,5,30,54	492.0,3,36,57	558.0,4,35,57	278.0,3,38,59	646.0,4,34,56	329.0,3,37,58	406.0,3,36,58	751.0,4,33,55	972.0,4,31,54	688.0,4,34,56	770.0,4,33,55	986.0,4,31,54	1077.0,5,30,53	1190.0,5,29,53	1142.0,5,29,53	1150.0,5,29,53	1222.0,5,28,52	832.0,4,32,55	824.0,4,32,55	1272.0,5,28,52	1761.0,5,23,49	1549.0,5,25,50
1243.0,5,28,52	765.0,4,33,55	1321.0,5,27,52	1555.0,5,25,50	1412.0,5,26,51	1473.0,5,26,51	1813.0,5,22,48	2073.0,5,20,47	2183.0,5,19,46	2100.0,5,19,46	2168.0,5,19,46	2114.0,5,19,46	1861.0,5,22,48	1553.0,5,25,50	1368.0,5,27,51	909.0,4,31,54	985.0,4,31,54	708.0,4,33,56	306.0,3,37,58	597.0,4,35,57	415.0,3,36,58	783.0,4,33,55	1333.0,5,27,52	997.0,4,31,54	1129.0,5,29,53	1398.0,5,27,51	1591.0,5,25,50	1569.0,5,25,50	1639.0,5,24,50	1323.0,5,27,52	1123.0,5,29,53	1711.0,5,23,49	1669.0,5,24,49	1702.0,5,23,49	1225.0,5,28,52	1404.0,5,26,51	1466.0,5,26,51	1110.0,5,29,53	884.0,4,32,55	801.0,4,32,55	1204.0,5,28,52	196.0,3,39,59	789.0,4,33,55	611.0,4,34,56	294.0,3,38,59	664.0,4,34,56	1035.0,5,30,54	971.0,4,31,54	882.0,4,32,55	915.0,4,31,54	899.0,4,32,55	1012.0,5,30,54	1066.0,5,30,53	1175.0,5,29,53	1091.0,5,30,53	999.0,4,31,54	1356.0,5,27,51	1425.0,5,26,51	1621.0,5,24,50	1641.0,5,24,50
1121.0,5,29,53	373.0,3,37,58	788.0,4,33,55	1253.0,5,28,52	1459.0,5,26,51	1366.0,5,27,51	1918.0,5,21,48	2013.0,5,20,47	2038.0,5,20,47	1878.0,5,22,48	1825.0,5,22,48	1739.0,5,23,49	1613.0,5,24,50	2028.0,5,20,47	1737.0,5,23,49	1182.0,5,29,53	760.0,4,33,55	615.0,4,34,56	776.0,4,33,55	246.0,3,38,59	972.0,4,31,54	711.0,4,33,56	879.0,4,32,55	1387.0,5,27,51	1248.0,5,28,52	1457.0,5,26,51	1736.0,5,23,49	1682.0,5,24,49	1698.0,5,24,49	1412.0,5,26,51	1077.0,5,30,53	1595.0,5,25,50	1120.0,5,29,53	1623.0,5,24,50	1814.0,5,22,48	1793.0,5,23,49	1820.0,5,22,48	1189.0,5,29,53	1200.0,5,28,52	1431.0,5,26,51	1233.0,5,28,52	304.0,3,37,58	1004.0,5,30,54	860.0,4,32,55	182.0,3,39,59	559.0,4,35,57	941.0,4,31,54	1359.0,5,27,51	1271.0,5,28,52	991.0,4,31,54	905.0,4,31,54	1061.0,5,30,53	1161.0,5,29,53	1025.0,5,30,54	691.0,4,34,56	771.0,4,33,55	744.0,4,33,56	1001.0,5,30,54	1283.0,5,28,52	1494.0,5,26,51
780.0,4,33,55	1100.0,5,29,53	1240.0,5,28,52	1330.0,5,27,52	1615.0,5,24,50	1545.0,5,25,50	1847.0,5,22,48	2053.0,5,20,47	1457.0,5,26,51	1364.0,5,27,51	1510.0,5,25,50	1027.0,5,30,54	1661.0,5,24,49	1658.0,5,24,49	1418.0,5,26,51	1306.0,5,27,52	980.0,4,31,54	1189.0,5,29,53	998.0,4,31,54	460.0,3,36,57	972.0,4,31,54	1035.0,5,30,54	874.0,4,32,55	1379.0,5,27,51	1318.0,5,27,52	1857.0,5,22,48	1558.0,5,25,50	1529.0,5,25,50	1403.0,5,26,51	1372.0,5,27,51	1399.0,5,27,51	1065.0,5,30,53	893.0,4,32,55	1473.0,5,26,51	2033.0,5,20,47	1886.0,5,22,48	1635.0,5,24,50	883.0,4,32,55	807.0,4,32,55	648.0,4,34,56	573.0,4,35,57	177.0,3,39,59	393.0,3,37,58	808.0,4,32,55	268.0,3,38,59	847.0,4,32,55	1086.0,5,30,53	1237.0,5,28,52	1185.0,5,29,53	901.0,4,31,54	870.0,4,32,55	973.0,4,31,54	1040.0,5,30,54	1165.0,5,29,53	559.0,4,35,57	1094.0,5,30,53	1144.0,5,29,53	879.0,4,32,55	1289.0,5,28,52	1198.0,5,29,53
290.0,3,38,59	935.0,4,31,54	1102.0,5,29,53	957.0,4,31,54	1545.0,5,25,50	1528.0,5,25,50	1769.0,5,23,49	1684.0,5,24,49	1475.0,5,26,51	920.0,4,31,54	1177.0,5,29,53	1105.0,5,29,53	1164.0,5,29,53	1057.0,5,30,53	1211.0,5,28,52	1504.0,5,25,50	1597.0,5,25,50	1505.0,5,25,50	426.0,3,36,58	889.0,4,32,55	894.0,4,32,55	1384.0,5,27,51	1354.0,5,27,51	1572.0,5,25,50	1792.0,5,23,49	1608.0,5,24,50	1366.0,5,27,51	1479.0,5,26,51	1703.0,5,23,49	2021.0,5,20,47	1735.0,5,23,49	1331.0,5,27,52	1322.0,5,27,52	1195.0,5,29,53	1546.0,5,25,50	1282.0,5,28,52	1230.0,5,28,52	984.0,4,31,54	639.0,4,34,56	558.0,4,35,57	463.0,3,36,57	556.0,4,35,57	381.0,3,37,58	238.0,3,38,59	627.0,4,34,56	1238.0,5,28,52	1479.0,5,26,51	1285.0,5,28,52	986.0,4,31,54	863.0,4,32,55	1006.0,5,30,54	1037.0,5,30,54	841.0,4,32,55	899.0,4,32,55	538.0,4,35,57	1078.0,5,30,53	1563.0,5,25,50	1214.0,5,28,52	1213.0,5,28,52	1106.0,5,29,53
887.0,4,32,55	668.0,4,34,56	866.0,4,32,55	1451.0,5,26,51	1254.0,5,28,52	1435.0,5,26,51	1510.0,5,25,50	1203.0,5,28,52	1187.0,5,29,53	1174.0,5,29,53	917.0,4,31,54	725.0,4,33,56	766.0,4,33,55	608.0,4,34,56	552.0,4,35,57	903.0,4,31,54	1065.0,5,30,53	1305.0,5,27,52	799.0,4,33,55	635.0,4,34,56	1453.0,5,26,51	2077.0,5,20,47	1692.0,5,24,49	1158.0,5,29,53	1172.0,5,29,53	1314.0,5,27,52	1079.0,5,30,53	1467.0,5,26,51	1571.0,5,25,50	2211.0,5,18,46	1887.0,5,22,48	1695.0,5,24,49	1617.0,5,24,50	1149.0,5,29,53	1291.0,5,28,52	1259.0,5,28,52	1267.0,5,28,52	1071.0,5,30,53	841.0,4,32,55	1033.0,5,30,54	989.0,4,31,54	1015.0,5,30,54	633.0,4,34,56	357.0,3,37,58	404.0,3,36,58	776.0,4,33,55	983.0,4,31,54	1002.0,5,30,54	1254.0,5,28,52	846.0,4,32,55	1016.0,5,30,54	994.0,4,31,54	430.0,3,36,58	463.0,3,36,57	996.0,4,31,54	962.0,4,31,54	1151.0,5,29,53	1527.0,5,25,50	1329.0,5,27,52	877.0,4,32,55
968.0,4,31,54	1050.0,5,30,53	1329.0,5,27,52	1483.0,5,26,51	1288.0,5,28,52	1027.0,5,30,54	895.0,4,32,55	909.0,4,31,54	806.0,4,32,55	756.0,4,33,55	814.0,4,32,55	657.0,4,34,56	778.0,4,33,55	463.0,3,36,57	296.0,3,38,59	514.0,4,35,57	506.0,4,35,57	973.0,4,31,54	267.0,3,38,59	987.0,4,31,54	1472.0,5,26,51	2085.0,5,20,47	1307.0,5,27,52	756.0,4,33,55	1125.0,5,29,53	1446.0,5,26,51	1565.0,5,25,50	1038.0,5,30,54	1474.0,5,26,51	1756.0,5,23,49	1235.0,5,28,52	1337.0,5,27,52	1088.0,5,30,53	954.0,4,31,54	1193.0,5,29,53	1498.0,5,26,51	1578.0,5,25,50	1361.0,5,27,51	1149.0,5,29,53	729.0,4,33,56	584.0,4,35,57	483.0,3,36,57	740.0,4,33,56	607.0,4,34,56	156.0,3,39,59	451.0,3,36,57	445.0,3,36,58	812.0,4,32,55	1257.0,5,28,52	862.0,4,32,55	734.0,4,33,56	821.0,4,32,55	885.0,4,32,55	1135.0,5,29,53	1279.0,5,28,52	802.0,4,32,55	979.0,4,31,54	1233.0,5,28,52	1222.0,5,28,52	848.0,4,32,55
1093.0,5,30,53	1027.0,5,30,54	1414.0,5,26,51	1459.0,5,26,51	1302.0,5,27,52	1118.0,5,29,53	935.0,4,31,54	688.0,4,34,56	865.0,4,32,55	983.0,4,31,54	1051.0,5,30,53	877.0,4,32,55	740.0,4,33,56	815.0,4,32,55	466.0,3,36,57	323.0,3,37,58	198.0,3,39,59	243.0,3,38,59	582.0,4,35,57	1046.0,5,30,54	1601.0,5,24,50	1784.0,5,23,49	1696.0,5,24,49	786.0,4,33,55	1561.0,5,25,50	2034.0,5,20,47	1905.0,5,21,48	847.0,4,32,55	1219.0,5,28,52	1276.0,5,28,52	1038.0,5,30,54	719.0,4,33,56	821.0,4,32,55	916.0,4,31,54	1310.0,5,27,52	1393.0,5,27,51	1259.0,5,28,52	1438.0,5,26,51	1028.0,5,30,54	987.0,4,31,54	966.0,4,31,54	844.0,4,32,55	477.0,3,36,57	509.0,4,35,57	455.0,3,36,57	267.0,3,38,59	318.0,3,37,58	908.0,4,31,54	1463.0,5,26,51	891.0,4,32,55	885.0,4,32,55	1061.0,5,30,53	859.0,4,32,55	1432.0,5,26,51	1475.0,5,26,51	1237.0,5,28,52	1260.0,5,28,52	1331.0,5,27,52	949.0,4,31,54	1002.0,5,30,54
1541.0,5,25,50	1598.0,5,25,50	1325.0,5,27,52	1417.0,5,26,51	1274.0,5,28,52	1185.0,5,29,53	1095.0,5,30,53	862.0,4,32,55	901.0,4,31,54	1144.0,5,29,53	1205.0,5,28,52	1003.0,5,30,54	782.0,4,33,55	829.0,4,32,55	733.0,4,33,56	425.0,3,36,58	260.0,3,38,59	337.0,3,37,58	223.0,3,38,59	771.0,4,33,55	1017.0,5,30,54	1240.0,5,28,52	1425.0,5,26,51	822.0,4,32,55	1446.0,5,26,51	1631.0,5,24,50	1699.0,5,24,49	734.0,4,33,56	1172.0,5,29,53	776.0,4,33,55	606.0,4,34,56	769.0,4,33,55	820.0,4,32,55	1093.0,5,30,53	1415.0,5,26,51	1477.0,5,26,51	1181.0,5,29,53	1305.0,5,27,52	1349.0,5,27,52	1383.0,5,27,51	1049.0,5,30,54	952.0,4,31,54	460.0,3,36,57	501.0,4,35,57	216.0,3,38,59	489.0,3,36,57	551.0,4,35,57	981.0,4,31,54	1517.0,5,25,50	968.0,4,31,54	1218.0,5,28,52	836.0,4,32,55	709.0,4,33,56	1055.0,5,30,53	1255.0,5,28,52	1402.0,5,26,51	1411.0,5,26,51	1170.0,5,29,53	933.0,4,31,54	1031.0,5,30,54
1944.0,5,21,48	1851.0,5,22,48	1637.0,5,24,50	1592.0,5,25,50	1252.0,5,28,52	1061.0,5,30,53	1170.0,5,29,53	1061.0,5,30,53	731.0,4,33,56	898.0,4,32,55	1226.0,5,28,52	942.0,4,31,54	628.0,4,34,56	407.0,3,36,58	492.0,3,36,57	737.0,4,33,56	686.0,4,34,56	713.0,4,33,56	272.0,3,38,59	666.0,4,34,56	816.0,4,32,55	700.0,4,33,56	880.0,4,32,55	895.0,4,32,55	788.0,4,33,55	1141.0,5,29,53	1146.0,5,29,53	734.0,4,33,56	428.0,3,36,58	520.0,4,35,57	757.0,4,33,55	849.0,4,32,55	849.0,4,32,55	1267.0,5,28,52	1211.0,5,28,52	1122.0,5,29,53	1289.0,5,28,52	1349.0,5,27,52	1522.0,5,25,50	1042.0,5,30,54	845.0,4,32,55	707.0,4,33,56	564.0,4,35,57	275.0,3,38,59	597.0,4,35,57	523.0,4,35,57	709.0,4,33,56	1064.0,5,30,53	1554.0,5,25,50	1120.0,5,29,53	966.0,4,31,54	717.0,4,33,56	659.0,4,34,56	590.0,4,35,57	873.0,4,32,55	971.0,4,31,54	932.0,4,31,54	1304.0,5,27,52	959.0,4,31,54	944.0,4,31,54
