radius:15.0
size:60^60
path:vancouver_60x60.txt
+data:
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	24.0,3,40,60	302.0,3,37,58	577.0,4,35,57	967.0,4,31,54	1331.0,5,27,52	1394.0,5,27,51	1221.0,5,28,52	1473.0,5,26,51	1603.0,5,24,50	1156.0,5,29,53	947.0,4,31,54	1283.0,5,28,52	1105.0,5,29,53	620.0,4,34,56	335.0,3,37,58	509.0,4,35,57	575.0,4,35,57	696.0,4,34,56	751.0,4,33,55	927.0,4,31,54	1198.0,5,29,53	1304.0,5,27,52	992.0,4,31,54	843.0,4,32,55	832.0,4,32,55	1094.0,5,30,53	1227.0,5,28,52	1066.0,5,30,53	910.0,4,31,54	856.0,4,32,55	607.0,4,34,56	287.0,3,38,59	254.0,3,38,59	419.0,3,36,58	755.0,4,33,55	974.0,4,31,54	1271.0,5,28,52	1012.0,5,30,54	1254.0,5,28,52	802.0,4,32,55	525.0,4,35,57	175.0,3,39,59	11.0,3,40,60	474.0,3,36,57	743.0,4,33,56	1141.0,5,29,53	1154.0,5,29,53	1096.0,5,30,53	1366.0,5,27,51	1276.0,5,28,52	1092.0,5,30,53	966.0,4,31,54	995.0,4,31,54	678.0,4,34,56
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	437.0,3,36,58	820.0,4,32,55	1027.0,5,30,54	1254.0,5,28,52	1590.0,5,25,50	1341.0,5,27,52	1419.0,5,26,51	1382.0,5,27,51	1162.0,5,29,53	989.0,4,31,54	907.0,4,31,54	672.0,4,34,56	474.0,3,36,57	319.0,3,37,58	371.0,3,37,58	811.0,4,32,55	947.0,4,31,54	1119.0,5,29,53	1093.0,5,30,53	960.0,4,31,54	1315.0,5,27,52	958.0,4,31,54	889.0,4,32,55	728.0,4,33,56	762.0,4,33,55	1054.0,5,30,53	1163.0,5,29,53	1407.0,5,26,51	1096.0,5,30,53	808.0,4,32,55	596.0,4,35,57	545.0,4,35,57	219.0,3,38,59	265.0,3,38,59	504.0,4,35,57	823.0,4,32,55	972.0,4,31,54	1215.0,5,28,52	1079.0,5,30,53	906.0,4,31,54	603.0,4,34,56	28.0,3,40,60	80.0,3,40,60	407.0,3,36,58	888.0,4,32,55	1119.0,5,29,53	1200.0,5,28,52	987.0,4,31,54	987.0,4,31,54	749.0,4,33,56	968.0,4,31,54	1103.0,5,29,53	495.0,3,36,57
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	49.0,3,40,60	424.0,3,36,58	601.0,4,34,56	665.0,4,34,56	1007.0,5,30,54	1436.0,5,26,51	1724.0,5,23,49	1575.0,5,25,50	1177.0,5,29,53	1014.0,5,30,54	674.0,4,34,56	497.0,3,36,57	513.0,4,35,57	684.0,4,34,56	326.0,3,37,58	324.0,3,37,58	714.0,4,33,56	1003.0,5,30,54	1212.0,5,28,52	1356.0,5,27,51	1104.0,5,29,53	1231.0,5,28,52	1244.0,5,28,52	1140.0,5,29,53	743.0,4,33,56	662.0,4,34,56	770.0,4,33,55	939.0,4,31,54	1153.0,5,29,53	1487.0,5,26,51	1375.0,5,27,51	1061.0,5,30,53	669.0,4,34,56	499.0,3,36,57	220.0,3,38,59	325.0,3,37,58	421.0,3,36,58	874.0,4,32,55	1101.0,5,29,53	1121.0,5,29,53	644.0,4,34,56	384.0,3,37,58	126.0,3,39,60	16.0,3,40,60	286.0,3,38,59	789.0,4,33,55	972.0,4,31,54	1206.0,5,28,52	981.0,4,31,54	674.0,4,34,56	752.0,4,33,55	1068.0,5,30,53	988.0,4,31,54	638.0,4,34,56
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	176.0,3,39,59	495.0,3,36,57	743.0,4,33,56	984.0,4,31,54	1163.0,5,29,53	1229.0,5,28,52	1393.0,5,27,51	1344.0,5,27,52	860.0,4,32,55	684.0,4,34,56	728.0,4,33,56	971.0,4,31,54	671.0,4,34,56	457.0,3,36,57	315.0,3,37,58	539.0,4,35,57	901.0,4,31,54	1130.0,5,29,53	1220.0,5,28,52	1112.0,5,29,53	860.0,4,32,55	837.0,4,32,55	775.0,4,33,55	558.0,4,35,57	661.0,4,34,56	943.0,4,31,54	841.0,4,32,55	1044.0,5,30,54	1344.0,5,27,52	1128.0,5,29,53	922.0,4,31,54	1033.0,5,30,54	722.0,4,33,56	435.0,3,36,58	218.0,3,38,59	253.0,3,38,59	601.0,4,34,56	900.0,4,31,54	1185.0,5,29,53	828.0,4,32,55	620.0,4,34,56	260.0,3,38,59	10.0,3,40,60	374.0,3,37,58	894.0,4,32,55	952.0,4,31,54	1052.0,5,30,53	696.0,4,34,56	650.0,4,34,56	1002.0,5,30,54	1168.0,5,29,53	882.0,4,32,55	818.0,4,32,55
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	85.0,3,40,60	358.0,3,37,58	630.0,4,34,56	911.0,4,31,54	1257.0,5,28,52	1353.0,5,27,51	1227.0,5,28,52	1363.0,5,27,51	1175.0,5,29,53	920.0,4,31,54	859.0,4,32,55	1254.0,5,28,52	1016.0,5,30,54	571.0,4,35,57	297.0,3,38,59	387.0,3,37,58	649.0,4,34,56	836.0,4,32,55	761.0,4,33,55	603.0,4,34,56	504.0,4,35,57	456.0,3,36,57	454.0,3,36,57	658.0,4,34,56	1007.0,5,30,54	1258.0,5,28,52	972.0,4,31,54	1208.0,5,28,52	1495.0,5,26,51	1216.0,5,28,52	948.0,4,31,54	997.0,4,31,54	913.0,4,31,54	579.0,4,35,57	364.0,3,37,58	221.0,3,38,59	403.0,3,36,58	866.0,4,32,55	1091.0,5,30,53	1162.0,5,29,53	515.0,4,35,57	221.0,3,38,59	22.0,3,40,60	256.0,3,38,59	532.0,4,35,57	942.0,4,31,54	985.0,4,31,54	574.0,4,35,57	626.0,4,34,56	1075.0,5,30,53	1060.0,5,30,53	965.0,4,31,54	635.0,4,34,56
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	27.0,3,40,60	275.0,3,38,59	682.0,4,34,56	956.0,4,31,54	1272.0,5,28,52	1011.0,5,30,54	933.0,4,31,54	1214.0,5,28,52	1095.0,5,30,53	1067.0,5,30,53	1153.0,5,29,53	1109.0,5,29,53	801.0,4,32,55	513.0,4,35,57	357.0,3,37,58	305.0,3,37,58	440.0,3,36,58	413.0,3,36,58	383.0,3,37,58	389.0,3,37,58	429.0,3,36,58	501.0,4,35,57	626.0,4,34,56	558.0,4,35,57	910.0,4,31,54	1175.0,5,29,53	1345.0,5,27,52	1572.0,5,25,50	1459.0,5,26,51	1188.0,5,29,53	870.0,4,32,55	814.0,4,32,55	751.0,4,33,55	513.0,4,35,57	257.0,3,38,59	241.0,3,38,59	403.0,3,36,58	635.0,4,34,56	1159.0,5,29,53	1027.0,5,30,54	760.0,4,33,55	151.0,3,39,59	0.0,3,40,60	113.0,3,39,60	539.0,4,35,57	711.0,4,33,56	864.0,4,32,55	468.0,3,36,57	548.0,4,35,57	847.0,4,32,55	1041.0,5,30,54	1188.0,5,29,53	867.0,4,32,55
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	16.0,3,40,60	168.0,3,39,59	456.0,3,36,57	676.0,4,34,56	784.0,4,33,55	1095.0,5,30,53	1280.0,5,28,52	1399.0,5,27,51	1311.0,5,27,52	1388.0,5,27,51	1129.0,5,29,53	799.0,4,33,55	605.0,4,34,56	627.0,4,34,56	401.0,3,36,58	302.0,3,37,58	339.0,3,37,58	356.0,3,37,58	495.0,3,36,57	667.0,4,34,56	727.0,4,33,56	829.0,4,32,55	707.0,4,33,56	565.0,4,35,57	697.0,4,34,56	1040.0,5,30,54	1273.0,5,28,52	1059.0,5,30,53	973.0,4,31,54	906.0,4,31,54	623.0,4,34,56	609.0,4,34,56	480.0,3,36,57	298.0,3,38,59	215.0,3,38,59	367.0,3,37,58	706.0,4,33,56	645.0,4,34,56	1013.0,5,30,54	1141.0,5,29,53	629.0,4,34,56	266.0,3,38,59	0.0,3,40,60	0.0,3,40,60	140.0,3,39,60	403.0,3,36,58	382.0,3,37,58	375.0,3,37,58	623.0,4,34,56	979.0,4,31,54	1065.0,5,30,53	1234.0,5,28,52	1029.0,5,30,54
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	17.0,3,40,60	234.0,3,38,59	522.0,4,35,57	733.0,4,33,56	869.0,4,32,55	1147.0,5,29,53	1463.0,5,26,51	1232.0,5,28,52	1056.0,5,30,53	1246.0,5,28,52	826.0,4,32,55	666.0,4,34,56	936.0,4,31,54	726.0,4,33,56	441.0,3,36,58	342.0,3,37,58	311.0,3,37,58	385.0,3,37,58	748.0,4,33,56	981.0,4,31,54	1010.0,5,30,54	895.0,4,32,55	832.0,4,32,55	880.0,4,32,55	919.0,4,31,54	891.0,4,32,55	1147.0,5,29,53	964.0,4,31,54	839.0,4,32,55	916.0,4,31,54	936.0,4,31,54	788.0,4,33,55	431.0,3,36,58	215.0,3,38,59	246.0,3,38,59	583.0,4,35,57	757.0,4,33,55	1034.0,5,30,54	830.0,4,32,55	1003.0,5,30,54	837.0,4,32,55	606.0,4,34,56	206.0,3,38,59	0.0,3,40,60	0.0,3,40,60	140.0,3,39,60	301.0,3,37,58	584.0,4,35,57	665.0,4,34,56	850.0,4,32,55	1249.0,5,28,52	1267.0,5,28,52	994.0,4,31,54
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	301.0,3,37,58	602.0,4,34,56	1085.0,5,30,53	1213.0,5,28,52	1504.0,5,25,50	1272.0,5,28,52	925.0,4,31,54	900.0,4,31,54	1115.0,5,29,53	1153.0,5,29,53	1119.0,5,29,53	1014.0,5,30,54	760.0,4,33,55	658.0,4,34,56	419.0,3,36,58	281.0,3,38,59	354.0,3,37,58	773.0,4,33,55	854.0,4,32,55	987.0,4,31,54	1335.0,5,27,52	879.0,4,32,55	972.0,4,31,54	1213.0,5,28,52	1028.0,5,30,54	1315.0,5,27,52	1427.0,5,26,51	1193.0,5,29,53	1062.0,5,30,53	877.0,4,32,55	577.0,4,35,57	210.0,3,38,59	278.0,3,38,59	534.0,4,35,57	568.0,4,35,57	983.0,4,31,54	1312.0,5,27,52	998.0,4,31,54	899.0,4,32,55	877.0,4,32,55	573.0,4,35,57	194.0,3,39,59	0.0,3,40,60	0.0,3,40,60	16.0,3,40,60	341.0,3,37,58	594.0,4,35,57	976.0,4,31,54	1062.0,5,30,53	878.0,4,32,55	1177.0,5,29,53	887.0,4,32,55
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	404.0,3,36,58	720.0,4,33,56	944.0,4,31,54	1321.0,5,27,52	1260.0,5,28,52	1013.0,5,30,54	836.0,4,32,55	630.0,4,34,56	720.0,4,33,56	743.0,4,33,56	881.0,4,32,55	1082.0,5,30,53	674.0,4,34,56	419.0,3,36,58	372.0,3,37,58	284.0,3,38,59	415.0,3,36,58	475.0,3,36,57	739.0,4,33,56	1002.0,5,30,54	1284.0,5,28,52	1010.0,5,30,54	948.0,4,31,54	1059.0,5,30,53	1144.0,5,29,53	1199.0,5,29,53	1426.0,5,26,51	1145.0,5,29,53	794.0,4,33,55	501.0,4,35,57	339.0,3,37,58	206.0,3,38,59	260.0,3,38,59	672.0,4,34,56	1085.0,5,30,53	890.0,4,32,55	1318.0,5,27,52	1129.0,5,29,53	1060.0,5,30,53	850.0,4,32,55	766.0,4,33,55	361.0,3,37,58	19.0,3,40,60	123.0,3,39,60	0.0,3,40,60	238.0,3,38,59	705.0,4,33,56	965.0,4,31,54	1070.0,5,30,53	1262.0,5,28,52	1070.0,5,30,53	1180.0,5,29,53
