radius:25.0
size:40^40
path:ca_nv_elevation_grid.txt
+data:
0.0,3,40,60	0.0,3,40,60	526.0,4,35,57	571.0,4,35,57	1570.0,5,25,50	1227.0,5,28,52	1423.0,5,26,51	1183.0,5,29,53	860.0,4,32,55	852.0,4,32,55	1454.0,5,26,51	1243.0,5,28,52	1233.0,5,28,52	1289.0,5,28,52	1647.0,5,24,50	1615.0,5,24,50	1434.0,5,26,51	2190.0,5,19,46	1871.0,5,22,48	1802.0,5,22,48	1842.0,5,22,48	1709.0,5,23,49	1453.0,5,26,51	1277.0,5,28,52	1716.0,5,23,49	1618.0,5,24,50	1424.0,5,26,51	1758.0,5,23,49	1877.0,5,22,48	1627.0,5,24,50	1597.0,5,25,50	1593.0,5,25,50	1744.0,5,23,49	2200.0,5,18,46	1968.0,5,21,47	1794.0,5,23,49	1812.0,5,22,48	2147.0,5,19,46	1732.0,5,23,49	1757.0,5,23,49
0.0,3,40,60	0.0,3,40,60	266.0,3,38,59	939.0,4,31,54	1077.0,5,30,53	1017.0,5,30,54	1200.0,5,28,52	1199.0,5,29,53	822.0,4,32,55	1550.0,5,25,50	1353.0,5,27,51	1403.0,5,26,51	1274.0,5,28,52	1563.0,5,25,50	1506.0,5,25,50	1528.0,5,25,50	1441.0,5,26,51	1355.0,5,27,51	1873.0,5,22,48	1892.0,5,22,48	1824.0,5,22,48	1636.0,5,24,50	1350.0,5,27,51	1560.0,5,25,50	1917.0,5,21,48	1925.0,5,21,48	1297.0,5,28,52	1957.0,5,21,47	1858.0,5,22,48	1725.0,5,23,49	1624.0,5,24,50	1524.0,5,25,50	1595.0,5,25,50	1969.0,5,21,47	1969.0,5,21,47	2447.0,5,16,44	2521.0,5,15,44	1747.0,5,23,49	1632.0,5,24,50	2075.0,5,20,47
0.0,3,40,60	0.0,3,40,60	60.0,3,40,60	1346.0,5,27,52	1013.0,5,30,54	1495.0,5,26,51	1226.0,5,28,52	1341.0,5,27,52	811.0,4,32,55	1559.0,5,25,50	2048.0,5,20,47	1687.0,5,24,49	1390.0,5,27,51	1424.0,5,26,51	1380.0,5,27,51	1508.0,5,25,50	1479.0,5,26,51	1374.0,5,27,51	1977.0,5,21,47	2059.0,5,20,47	1690.0,5,24,49	1968.0,5,21,47	1798.0,5,23,49	1431.0,5,26,51	1255.0,5,28,52	1259.0,5,28,52	1289.0,5,28,52	1459.0,5,26,51	1772.0,5,23,49	1629.0,5,24,50	1662.0,5,24,49	1681.0,5,24,49	1829.0,5,22,48	2214.0,5,18,46	2047.0,5,20,47	1990.0,5,21,47	1817.0,5,22,48	2307.0,5,17,45	1819.0,5,22,48	1672.0,5,24,49
0.0,3,40,60	0.0,3,40,60	708.0,4,33,56	1042.0,5,30,54	1130.0,5,29,53	1460.0,5,26,51	1811.0,5,22,48	1715.0,5,23,49	1710.0,5,23,49	1260.0,5,28,52	1127.0,5,29,53	1256.0,5,28,52	1423.0,5,26,51	1301.0,5,27,52	1406.0,5,26,51	1584.0,5,25,50	1594.0,5,25,50	1874.0,5,22,48	2049.0,5,20,47	1796.0,5,23,49	1727.0,5,23,49	1484.0,5,26,51	1259.0,5,28,52	1215.0,5,28,52	1538.0,5,25,50	1281.0,5,28,52	1332.0,5,27,52	1323.0,5,27,52	1415.0,5,26,51	1617.0,5,24,50	2010.0,5,20,47	1796.0,5,23,49	1973.0,5,21,47	2075.0,5,20,47	1796.0,5,23,49	1713.0,5,23,49	1729.0,5,23,49	1762.0,5,23,49	2049.0,5,20,47	1782.0,5,23,49
0.0,3,40,60	0.0,3,40,60	279.0,3,38,59	560.0,4,35,57	1230.0,5,28,52	1225.0,5,28,52	2512.0,5,15,44	987.0,4,31,54	1125.0,5,29,53	1001.0,5,30,54	511.0,4,35,57	909.0,4,31,54	1014.0,5,30,54	1336.0,5,27,52	1637.0,5,24,50	1621.0,5,24,50	1857.0,5,22,48	1889.0,5,22,48	1435.0,5,26,51	1694.0,5,24,49	1553.0,5,25,50	1191.0,5,29,53	1199.0,5,29,53	1671.0,5,24,49	1326.0,5,27,52	1419.0,5,26,51	1522.0,5,25,50	1314.0,5,27,52	1332.0,5,27,52	1380.0,5,27,51	1695.0,5,24,49	1609.0,5,24,50	2194.0,5,19,46	2098.0,5,20,47	2080.0,5,20,47	1603.0,5,24,50	1642.0,5,24,50	2061.0,5,20,47	1745.0,5,23,49	1817.0,5,22,48
0.0,3,40,60	0.0,3,40,60	363.0,3,37,58	751.0,4,33,55	889.0,4,32,55	750.0,4,33,55	1339.0,5,27,52	1254.0,5,28,52	963.0,4,31,54	326.0,3,37,58	738.0,4,33,56	1411.0,5,26,51	1281.0,5,28,52	2015.0,5,20,47	1918.0,5,21,48	1901.0,5,21,48	1752.0,5,23,49	1915.0,5,21,48	1674.0,5,24,49	1784.0,5,23,49	1436.0,5,26,51	1193.0,5,29,53	1290.0,5,28,52	1526.0,5,25,50	1298.0,5,28,52	1307.0,5,27,52	1404.0,5,26,51	2120.0,5,19,46	1806.0,5,22,48	1359.0,5,27,51	1895.0,5,22,48	1414.0,5,26,51	1851.0,5,22,48	1658.0,5,24,49	1683.0,5,24,49	1698.0,5,24,49	2757.0,5,13,42	1716.0,5,23,49	1705.0,5,23,49	1705.0,5,23,49
0.0,3,40,60	172.0,3,39,59	446.0,3,36,58	668.0,4,34,56	1028.0,5,30,54	723.0,4,33,56	1174.0,5,29,53	921.0,4,31,54	221.0,3,38,59	186.0,3,39,59	675.0,4,34,56	1343.0,5,27,52	2064.0,5,20,47	1970.0,5,21,47	1846.0,5,22,48	1504.0,5,25,50	1430.0,5,26,51	1465.0,5,26,51	1514.0,5,25,50	1176.0,5,29,53	1235.0,5,28,52	1508.0,5,25,50	1690.0,5,24,49	1528.0,5,25,50	1291.0,5,28,52	1489.0,5,26,51	1742.0,5,23,49	1538.0,5,25,50	1442.0,5,26,51	1489.0,5,26,51	1405.0,5,26,51	1563.0,5,25,50	1636.0,5,24,50	2238.0,5,18,46	1816.0,5,22,48	2186.0,5,19,46	1820.0,5,22,48	2079.0,5,20,47	2431.0,5,16,44	1711.0,5,23,49
0.0,3,40,60	151.0,3,39,59	706.0,4,33,56	59.0,3,40,60	1157.0,5,29,53	1114.0,5,29,53	1285.0,5,28,52	322.0,3,37,58	207.0,3,38,59	130.0,3,39,60	526.0,4,35,57	1528.0,5,25,50	1452.0,5,26,51	1370.0,5,27,51	1606.0,5,24,50	2202.0,5,18,46	1220.0,5,28,52	1256.0,5,28,52	1394.0,5,27,51	1280.0,5,28,52	1277.0,5,28,52	1456.0,5,26,51	1229.0,5,28,52	1763.0,5,23,49	1273.0,5,28,52	1570.0,5,25,50	1803.0,5,22,48	1959.0,5,21,47	1703.0,5,23,49	1553.0,5,25,50	1982.0,5,21,47	1447.0,5,26,51	1932.0,5,21,48	1867.0,5,22,48	1684.0,5,24,49	2194.0,5,19,46	2015.0,5,20,47	1850.0,5,22,48	1770.0,5,23,49	2084.0,5,20,47
0.0,3,40,60	0.0,3,40,60	327.0,3,37,58	365.0,3,37,58	601.0,4,34,56	1114.0,5,29,53	2010.0,5,20,47	1284.0,5,28,52	212.0,3,38,59	83.0,3,40,60	327.0,3,37,58	1131.0,5,29,53	1809.0,5,22,48	1535.0,5,25,50	1856.0,5,22,48	1528.0,5,25,50	1929.0,5,21,48	1282.0,5,28,52	1690.0,5,24,49	1165.0,5,29,53	1160.0,5,29,53	1751.0,5,23,49	1302.0,5,27,52	1192.0,5,29,53	1524.0,5,25,50	1274.0,5,28,52	2222.0,5,18,46	1318.0,5,27,52	1505.0,5,25,50	1923.0,5,21,48	1997.0,5,21,47	1769.0,5,23,49	1772.0,5,23,49	1899.0,5,22,48	1821.0,5,22,48	1853.0,5,22,48	2155.0,5,19,46	1909.0,5,21,48	1802.0,5,22,48	2051.0,5,20,47
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	521.0,4,35,57	1162.0,5,29,53	420.0,3,36,58	1137.0,5,29,53	1526.0,5,25,50	175.0,3,39,59	80.0,3,40,60	49.0,3,40,60	442.0,3,36,58	696.0,4,34,56	1681.0,5,24,49	1826.0,5,22,48	1359.0,5,27,51	1537.0,5,25,50	1563.0,5,25,50	1658.0,5,24,49	1315.0,5,27,52	1221.0,5,28,52	1723.0,5,23,49	1226.0,5,28,52	1178.0,5,29,53	1180.0,5,29,53	1461.0,5,26,51	1159.0,5,29,53	2101.0,5,19,46	1737.0,5,23,49	1868.0,5,22,48	2183.0,5,19,46	2344.0,5,17,45	2282.0,5,18,45	1783.0,5,23,49	2270.0,5,18,45	2108.0,5,19,46	2064.0,5,20,47	2326.0,5,17,45	1837.0,5,22,48	2125.0,5,19,46
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	233.0,3,38,59	691.0,4,34,56	952.0,4,31,54	1582.0,5,25,50	1480.0,5,26,51	214.0,3,38,59	41.0,3,40,60	35.0,3,40,60	42.0,3,40,60	485.0,3,36,57	1072.0,5,30,53	1551.0,5,25,50	1300.0,5,27,52	1691.0,5,24,49	1983.0,5,21,47	1810.0,5,22,48	1563.0,5,25,50	1773.0,5,23,49	1326.0,5,27,52	1215.0,5,28,52	1192.0,5,29,53	1679.0,5,24,49	1158.0,5,29,53	1866.0,5,22,48	1722.0,5,23,49	1972.0,5,21,47	2328.0,5,17,45	2244.0,5,18,46	1906.0,5,21,48	1853.0,5,22,48	1831.0,5,22,48	1923.0,5,21,48	2093.0,5,20,47	2100.0,5,19,46	1940.0,5,21,48	1893.0,5,22,48	1746.0,5,23,49
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	220.0,3,38,59	278.0,3,38,59	273.0,3,38,59	1045.0,5,30,54	1290.0,5,28,52	540.0,4,35,57	28.0,3,40,60	16.0,3,40,60	26.0,3,40,60	123.0,3,39,60	664.0,4,34,56	1077.0,5,30,53	1467.0,5,26,51	2150.0,5,19,46	1798.0,5,23,49	2784.0,5,13,42	1771.0,5,23,49	1307.0,5,27,52	1274.0,5,28,52	1210.0,5,28,52	1305.0,5,27,52	1449.0,5,26,51	1407.0,5,26,51	1799.0,5,23,49	1881.0,5,22,48	1796.0,5,23,49	2500.0,5,15,44	1833.0,5,22,48	2295.0,5,18,45	1934.0,5,21,48	1900.0,5,21,48	1907.0,5,21,48	2111.0,5,19,46	1936.0,5,21,48	2110.0,5,19,46	2669.0,5,14,43	1804.0,5,22,48
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	99.0,3,40,60	346.0,3,37,58	451.0,3,36,57	507.0,4,35,57	695.0,4,34,56	67.0,3,40,60	10.0,3,40,60	13.0,3,40,60	27.0,3,40,60	421.0,3,36,58	780.0,4,33,55	1084.0,5,30,53	1386.0,5,27,51	1898.0,5,22,48	2444.0,5,16,44	1814.0,5,22,48	1778.0,5,23,49	1323.0,5,27,52	1338.0,5,27,52	1294.0,5,28,52	1903.0,5,21,48	1736.0,5,23,49	1660.0,5,24,49	2446.0,5,16,44	2439.0,5,16,44	1674.0,5,24,49	2753.0,5,13,42	2172.0,5,19,46	2618.0,5,14,43	1928.0,5,21,48	1880.0,5,22,48	2073.0,5,20,47	2202.0,5,18,46	1932.0,5,21,48	2044.0,5,20,47	1776.0,5,23,49
0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	144.0,3,39,60	441.0,3,36,58	517.0,4,35,57	1018.0,5,30,54	572.0,4,35,57	110.0,3,39,60	17.0,3,40,60	3.0,3,40,60	25.0,3,40,60	136.0,3,39,60	417.0,3,36,58	1017.0,5,30,54	1618.0,5,24,50	2549.0,5,15,44	2616.0,5,14,43	1834.0,5,22,48	1461.0,5,26,51	1424.0,5,26,51	2015.0,5,20,47	1770.0,5,23,49	1304.0,5,27,52	1343.0,5,27,52	2340.0,5,17,45	2238.0,5,18,46	2776.0,5,13,42	1773.0,5,23,49	2101.0,5,19,46	2656.0,5,14,43	2528.0,5,15,44	1970.0,5,21,47	1960.0,5,21,47	1719.0,5,23,49	2020.0,5,20,47	1716.0,5,23,49	2264.0,5,18,45	1762.0,5,23,49
