radius:25.0
size:68^38
path:sample.svg
fields:latitude	longitude
geo:41.35,41.58,-70.7,-70.5
+data:
0.0,41.58,-70.70017787442121	0.0,41.58,-70.69476285418223	0.0,41.58,-70.68934783394324	0.0,41.58,-70.68393281370426	0.0,41.58,-70.67851779346528	0.0,41.58,-70.67310277322629	0.0,41.58,-70.6676877529873	0.0,41.58,-70.66227273274832	-0.441000015,41.58,-70.65685771250934	-0.441000015,41.58,-70.65144269227035	-0.441000015,41.58,-70.64602767203137	2.125046492,41.58,-70.6406126517924	11.845823288,41.58,-70.63519763155341	29.790559769,41.58,-70.62978261131443	26.187513351,41.58,-70.62436759107544	18.178195953,41.58,-70.61895257083646	1.860000014,41.58,-70.61353755059747	13.736657143,41.58,-70.60812253035849	13.184081078,41.58,-70.6027075101195	12.803318024,41.58,-70.59729248988052	9.194410324,41.58,-70.59187746964153	12.447724342,41.58,-70.58646244940255	12.340332985,41.58,-70.58104742916356	11.787045479,41.58,-70.57563240892458	9.961824417,41.58,-70.57021738868559	6.493105412,41.58,-70.5648023684466	11.278477669,41.58,-70.55938734820762	11.261601448,41.58,-70.55397232796864	9.103283882,41.58,-70.54855730772965	9.452902794,41.58,-70.54314228749067	3.220631361,41.58,-70.53772726725168	7.507470131,41.58,-70.5323122470127	0.048044886,41.58,-70.52689722677373	-0.43900001,41.58,-70.52148220653474	8.120429993,41.58,-70.51606718629576	7.876233101,41.58,-70.51065216605677	-0.438730896,41.58,-70.50523714581779	6.376432419,41.58,-70.4998221255788
0.0,41.5765671641791,-70.70017254972821	0.0,41.5765671641791,-70.69475781731046	0.0,41.5765671641791,-70.68934308489273	0.0,41.5765671641791,-70.68392835247498	0.0,41.5765671641791,-70.67851362005725	0.0,41.5765671641791,-70.6730988876395	0.0,41.5765671641791,-70.66768415522176	0.0,41.5765671641791,-70.66226942280402	-0.441000015,41.5765671641791,-70.65685469038628	-0.441000015,41.5765671641791,-70.65143995796853	-0.441000015,41.5765671641791,-70.6460252255508	0.400790453,41.5765671641791,-70.64061049313305	1.108386278,41.5765671641791,-70.63519576071532	11.785211563,41.5765671641791,-70.62978102829757	10.15685463,41.5765671641791,-70.62436629587982	29.283405304,41.5765671641791,-70.61895156346209	1.860000014,41.5765671641791,-70.61353683104434	7.073114872,41.5765671641791,-70.60812209862661	7.909911633,41.5765671641791,-70.60270736620886	11.450145721,41.5765671641791,-70.59729263379113	10.358264923,41.5765671641791,-70.59187790137338	9.314133644,41.5765671641791,-70.58646316895565	10.739521027,41.5765671641791,-70.5810484365379	11.227911949,41.5765671641791,-70.57563370412016	10.118863106,41.5765671641791,-70.57021897170242	0.464193165,41.5765671641791,-70.56480423928468	10.580430031,41.5765671641791,-70.55938950686694	9.906280518,41.5765671641791,-70.55397477444919	5.913691521,41.5765671641791,-70.54856004203145	4.69069767,41.5765671641791,-70.5431453096137	4.259664059,41.5765671641791,-70.53773057719597	-0.43900001,41.5765671641791,-70.53231584477822	-0.43900001,41.5765671641791,-70.52690111236049	-0.43900001,41.5765671641791,-70.52148637994274	-0.43900001,41.5765671641791,-70.51607164752501	0.31967923,41.5765671641791,-70.51065691510726	-0.43900001,41.5765671641791,-70.50524218268953	1.106880069,41.5765671641791,-70.49982745027178
0.0,41.57313432835821,-70.70016722596078	0.0,41.57313432835821,-70.69475278131425	0.0,41.57313432835821,-70.68933833666773	0.0,41.57313432835821,-70.6839238920212	0.0,41.57313432835821,-70.67850944737467	0.0,41.57313432835821,-70.67309500272813	0.0,41.57313432835821,-70.66768055808161	0.0,41.57313432835821,-70.66226611343508	-0.441000015,41.57313432835821,-70.65685166878855	-0.441000015,41.57313432835821,-70.65143722414203	-0.441000015,41.57313432835821,-70.6460227794955	1.047939062,41.57313432835821,-70.64060833484896	5.599639893,41.57313432835821,-70.63519389020244	9.648499489,41.57313432835821,-70.62977944555591	15.010451317,41.57313432835821,-70.62436500090938	12.842654228,41.57313432835821,-70.61895055626285	1.860000014,41.57313432835821,-70.61353611161633	8.00855732,41.57313432835821,-70.6081216669698	3.072649717,41.57313432835821,-70.60270722232326	11.80533123,41.57313432835821,-70.59729277767674	10.888047218,41.57313432835821,-70.59187833303021	10.92330265,41.57313432835821,-70.58646388838368	9.33876133,41.57313432835821,-70.58104944373714	5.849487782,41.57313432835821,-70.57563499909062	9.635671616,41.57313432835821,-70.57022055444409	-0.442000002,41.57313432835821,-70.56480610979756	9.658262253,41.57313432835821,-70.55939166515104	8.161364555,41.57313432835821,-70.5539772205045	11.535269737,41.57313432835821,-70.54856277585797	1.707120895,41.57313432835821,-70.54314833121144	5.112822533,41.57313432835821,-70.53773388656492	5.869493484,41.57313432835821,-70.53231944191839	-0.43900001,41.57313432835821,-70.52690499727186	-0.43900001,41.57313432835821,-70.52149055262534	4.652872086,41.57313432835821,-70.5160761079788	-0.43900001,41.57313432835821,-70.51066166333227	-0.43900001,41.57313432835821,-70.50524721868575	-0.43900001,41.57313432835821,-70.49983277403922
0.0,41.56970149253731,-70.70016190311873	0.0,41.56970149253731,-70.69474774619339	0.0,41.56970149253731,-70.68933358926806	0.0,41.56970149253731,-70.68391943234272	0.0,41.56970149253731,-70.67850527541738	0.0,41.56970149253731,-70.67309111849204	0.0,41.56970149253731,-70.66767696156671	0.0,41.56970149253731,-70.66226280464137	-0.441000015,41.56970149253731,-70.65684864771603	-0.441000015,41.56970149253731,-70.65143449079069	8.832548141,41.56970149253731,-70.64602033386537	23.06889534,41.56970149253731,-70.64060617694003	27.842710495,41.56970149253731,-70.63519202001468	21.331100464,41.56970149253731,-70.62977786308934	22.072080612,41.56970149253731,-70.62436370616402	12.013422012,41.56970149253731,-70.61894954923868	1.940999985,41.56970149253731,-70.61353539231334	12.648607254,41.56970149253731,-70.608121235388	6.472764969,41.56970149253731,-70.60270707846267	4.310510159,41.56970149253731,-70.59729292153733	9.360395432,41.56970149253731,-70.59187876461199	5.522352695,41.56970149253731,-70.58646460768665	3.828460932,41.56970149253731,-70.58105045076132	-0.395000011,41.56970149253731,-70.57563629383598	8.241781235,41.56970149253731,-70.57022213691064	5.298904896,41.56970149253731,-70.5648079799853	8.936817169,41.56970149253731,-70.55939382305996	-0.372000009,41.56970149253731,-70.55397966613464	6.68499279,41.56970149253731,-70.5485655092093	3.773813248,41.56970149253731,-70.54315135228396	6.861995697,41.56970149253731,-70.53773719535863	-0.43900001,41.56970149253731,-70.53232303843329	-0.43900001,41.56970149253731,-70.52690888150795	-0.43900001,41.56970149253731,-70.52149472458261	-0.43900001,41.56970149253731,-70.51608056765728	1.120999932,41.56970149253731,-70.51066641073194	0.707846045,41.56970149253731,-70.5052522538066	3.665908098,41.56970149253731,-70.49983809688126
0.0,41.56626865671642,-70.70015658120187	0.0,41.56626865671642,-70.69474271194771	0.0,41.56626865671642,-70.68932884269356	0.0,41.56626865671642,-70.6839149734394	0.0,41.56626865671642,-70.67850110418524	0.0,41.56626865671642,-70.67308723493109	0.0,41.56626865671642,-70.66767336567693	0.0,41.56626865671642,-70.66225949642278	-0.441000015,41.56626865671642,-70.65684562716862	-0.441000015,41.56626865671642,-70.65143175791447	19.457077026,41.56626865671642,-70.64601788866031	19.609144211,41.56626865671642,-70.64060401940615	33.526039124,41.56626865671642,-70.635190150152	33.109962463,41.56626865671642,-70.62977628089786	29.475837708,41.56626865671642,-70.6243624116437	12.031931877,41.56626865671642,-70.61894854238955	11.30229187,41.56626865671642,-70.61353467313539	2.532373428,41.56626865671642,-70.60812080388123	4.992001057,41.56626865671642,-70.60270693462708	9.222430229,41.56626865671642,-70.59729306537292	5.425778866,41.56626865671642,-70.59187919611877	8.695183754,41.56626865671642,-70.58646532686461	7.375830173,41.56626865671642,-70.58105145761046	5.426102638,41.56626865671642,-70.5756375883563	7.137253761,41.56626865671642,-70.57022371910215	7.16045475,41.56626865671642,-70.56480984984799	7.247254372,41.56626865671642,-70.55939598059383	6.150421143,41.56626865671642,-70.55398211133968	6.979589939,41.56626865671642,-70.54856824208552	3.184126139,41.56626865671642,-70.54315437283137	5.837339878,41.56626865671642,-70.53774050357721	0.100999989,41.56626865671642,-70.53232663432306	-0.43900001,41.56626865671642,-70.5269127650689	-0.43900001,41.56626865671642,-70.52149889581474	-0.43900001,41.56626865671642,-70.51608502656059	1.524603844,41.56626865671642,-70.51067115730643	-0.43900001,41.56626865671642,-70.50525728805228	-0.43900001,41.56626865671642,-70.49984341879812
0.0,41.56283582089552,-70.70015126021002	0.0,41.56283582089552,-70.69473767857704	0.0,41.56283582089552,-70.68932409694408	0.0,41.56283582089552,-70.6839105153111	0.0,41.56283582089552,-70.67849693367812	0.0,41.56283582089552,-70.67308335204515	0.0,41.56283582089552,-70.66766977041218	0.0,41.56283582089552,-70.66225618877921	-0.441000015,41.56283582089552,-70.65684260714623	5.723484039,41.56283582089552,-70.65142902551325	18.939275742,41.56283582089552,-70.64601544388029	37.838245392,41.56283582089552,-70.64060186224731	34.714725494,41.56283582089552,-70.63518828061433	43.505298615,41.56283582089552,-70.62977469898136	34.206317902,41.56283582089552,-70.62436111734839	8.268257141,41.56283582089552,-70.61894753571542	11.048757553,41.56283582089552,-70.61353395408244	5.751056671,41.56283582089552,-70.60812037244946	4.731318951,41.56283582089552,-70.6027067908165	4.895853043,41.56283582089552,-70.59729320918352	6.081725597,41.56283582089552,-70.59187962755054	7.847743511,41.56283582089552,-70.58646604591758	-0.395000011,41.56283582089552,-70.5810524642846	5.036427498,41.56283582089552,-70.57563888265162	3.004802942,41.56283582089552,-70.57022530101865	6.885650635,41.56283582089552,-70.56481171938567	4.784063339,41.56283582089552,-70.55939813775271	2.77528739,41.56283582089552,-70.55398455611973	4.695040703,41.56283582089552,-70.54857097448675	3.86302352,41.56283582089552,-70.54315739285379	-0.43900001,41.56283582089552,-70.5377438112208	3.50027895,41.56283582089552,-70.53233022958783	-0.43900001,41.56283582089552,-70.52691664795486	-0.43900001,41.56283582089552,-70.52150306632188	-0.43900001,41.56283582089552,-70.51608948468892	2.365130186,41.56283582089552,-70.51067590305594	3.108360767,41.56283582089552,-70.50526232142296	2.984292269,41.56283582089552,-70.49984873979
0.0,41.55940298507463,-70.70014594014299	0.0,41.55940298507463,-70.6947326460812	0.0,41.55940298507463,-70.68931935201942	0.0,41.55940298507463,-70.68390605795764	0.0,41.55940298507463,-70.67849276389586	0.0,41.55940298507463,-70.67307946983408	0.0,41.55940298507463,-70.6676661757723	0.0,41.55940298507463,-70.66225288171051	-0.441000015,41.55940298507463,-70.65683958764873	2.560516834,41.55940298507463,-70.65142629358694	18.310791016,41.55940298507463,-70.64601299952515	26.493621826,41.55940298507463,-70.64059970546337	34.474452972,41.55940298507463,-70.63518641140159	37.995227814,41.55940298507463,-70.62977311733981	28.684875488,41.55940298507463,-70.62435982327803	7.88801384,41.55940298507463,-70.61894652921625	10.382441521,41.55940298507463,-70.61353323515446	6.519533157,41.55940298507463,-70.60811994109268	3.682192326,41.55940298507463,-70.6027066470309	6.342578888,41.55940298507463,-70.59729335296912	0.35395664,41.55940298507463,-70.59188005890734	5.938424587,41.55940298507463,-70.58646676484555	-0.395000011,41.55940298507463,-70.58105347078377	4.849971294,41.55940298507463,-70.57564017672199	-0.442000002,41.55940298507463,-70.57022688266021	5.176478386,41.55940298507463,-70.56481358859843	4.710560799,41.55940298507463,-70.55940029453663	-0.372000009,41.55940298507463,-70.55398700047485	3.30602169,41.55940298507463,-70.54857370641307	0.845604062,41.55940298507463,-70.54316041235128	3.080990791,41.55940298507463,-70.5377471182895	-0.439023495,41.55940298507463,-70.53233382422772	-0.439023495,41.55940298507463,-70.52692053016594	-0.439023495,41.55940298507463,-70.52150723610416	-0.43900001,41.55940298507463,-70.51609394204237	0.519108891,41.55940298507463,-70.51068064798059	2.935294151,41.55940298507463,-70.50526735391881	1.118249059,41.55940298507463,-70.49985405985703
0.0,41.55597014925373,-70.70014062100059	0.0,41.55597014925373,-70.69472761446	0.0,41.55597014925373,-70.68931460791944	0.0,41.55597014925373,-70.68390160137886	0.0,41.55597014925373,-70.6784885948383	0.0,41.55597014925373,-70.67307558829772	0.0,41.55597014925373,-70.66766258175716	0.0,41.55597014925373,-70.66224957521658	-0.441000015,41.55597014925373,-70.65683656867601	3.305559635,41.55597014925373,-70.65142356213543	8.822148323,41.55597014925373,-70.64601055559487	29.904403687,41.55597014925373,-70.64059754905429	26.745872498,41.55597014925373,-70.63518454251373	30.004497528,41.55597014925373,-70.62977153597315	12.429442406,41.55597014925373,-70.62435852943258	6.866350174,41.55597014925373,-70.618945522892	1.089818478,41.55597014925373,-70.61353251635143	7.786645889,41.55597014925373,-70.60811950981086	3.503485203,41.55597014925373,-70.60270650327028	5.847459793,41.55597014925373,-70.59729349672972	0.085000008,41.55597014925373,-70.59188049018914	5.275462151,41.55597014925373,-70.58646748364858	-0.395000011,41.55597014925373,-70.581054477108	4.855796337,41.55597014925373,-70.57564147056743	-0.442000002,41.55597014925373,-70.57022846402685	4.652555943,41.55597014925373,-70.56481545748629	-0.372000009,41.55597014925373,-70.55940245094571	-0.372000009,41.55597014925373,-70.55398944440515	2.10641098,41.55597014925373,-70.54857643786457	-0.43900001,41.55597014925373,-70.543163431324	2.276089907,41.55597014925373,-70.53775042478343	-0.439023495,41.55597014925373,-70.53233741824285	-0.439023495,41.55597014925373,-70.52692441170228	-0.439023495,41.55597014925373,-70.5215114051617	-0.43900001,41.55597014925373,-70.51609839862114	1.124072433,41.55597014925373,-70.51068539208056	0.150291085,41.55597014925373,-70.50527238554	1.658927321,41.55597014925373,-70.49985937899942
0.0,41.552537313432836,-70.70013530278264	0.0,41.552537313432836,-70.69472258371331	0.0,41.552537313432836,-70.68930986464397	0.0,41.552537313432836,-70.68389714557465	0.0,41.552537313432836,-70.67848442650532	0.0,41.552537313432836,-70.67307170743598	0.0,41.552537313432836,-70.66765898836665	0.0,41.552537313432836,-70.66224626929733	-0.441000015,41.552537313432836,-70.65683355022799	14.20254612,41.552537313432836,-70.65142083115866	13.411024094,41.552537313432836,-70.64600811208932	24.779777527,41.552537313432836,-70.64059539301999	18.756826401,41.552537313432836,-70.63518267395067	9.323592186,41.552537313432836,-70.62976995488133	5.156429768,41.552537313432836,-70.624357235812	3.844588995,41.552537313432836,-70.61894451674267	5.798917294,41.552537313432836,-70.61353179767333	5.072507381,41.552537313432836,-70.608119078604	5.297970772,41.552537313432836,-70.60270635953468	4.975115299,41.552537313432836,-70.59729364046534	4.75538826,41.552537313432836,-70.59188092139601	4.346224308,41.552537313432836,-70.58646820232669	-0.395000011,41.552537313432836,-70.58105548325734	3.004217625,41.552537313432836,-70.57564276418802	-0.442000002,41.552537313432836,-70.57023004511868	4.001909256,41.552537313432836,-70.56481732604935	2.675331831,41.552537313432836,-70.55940460698002	2.120646954,41.552537313432836,-70.55399188791068	-0.596000016,41.552537313432836,-70.54857916884136	0.968201041,41.552537313432836,-70.54316644977203	0.481522799,41.552537313432836,-70.53775373070269	-0.439023495,41.552537313432836,-70.53234101163336	-0.439023495,41.552537313432836,-70.52692829256404	-0.439023495,41.552537313432836,-70.5215155734947	0.400259674,41.552537313432836,-70.51610285442537	-0.43900001,41.552537313432836,-70.51069013535604	0.13282913,41.552537313432836,-70.5052774162867	1.241866827,41.552537313432836,-70.49986469721738
0.0,41.54910447761194,-70.70012998548896	0.0,41.54910447761194,-70.6947175538409	0.0,41.54910447761194,-70.68930512219285	0.0,41.54910447761194,-70.68389269054481	0.0,41.54910447761194,-70.67848025889676	0.0,41.54910447761194,-70.6730678272487	0.0,41.54910447761194,-70.66765539560065	0.0,41.54910447761194,-70.6622429639526	-0.441000015,41.54910447761194,-70.65683053230454	15.929645538,41.54910447761194,-70.6514181006565	22.437732697,41.54910447761194,-70.64600566900845	23.433124542,41.54910447761194,-70.64059323736039	16.840511322,41.54910447761194,-70.63518080571234	11.559938431,41.54910447761194,-70.62976837406428	3.447015285,41.54910447761194,-70.62435594241624	2.946770191,41.54910447761194,-70.61894351076819	4.548884869,41.54910447761194,-70.61353107912014	4.672474861,41.54910447761194,-70.60811864747208	-0.344000012,41.54910447761194,-70.60270621582403	4.222640991,41.54910447761194,-70.59729378417599	1.423985004,41.54910447761194,-70.59188135252793	2.83995533,41.54910447761194,-70.58646892087988	-0.395000011,41.54910447761194,-70.58105648923183	2.854391575,41.54910447761194,-70.57564405758377	-0.442000002,41.54910447761194,-70.57023162593572	2.743369102,41.54910447761194,-70.56481919428768	-0.596000016,41.54910447761194,-70.55940676263963	-0.5960235,41.54910447761194,-70.55399433099157	-0.596000016,41.54910447761194,-70.54858189934352	-0.596000016,41.54910447761194,-70.54316946769546	-0.596000016,41.54910447761194,-70.53775703604742	-0.5960235,41.54910447761194,-70.53234460439937	0.161941051,41.54910447761194,-70.52693217275132	0.254187644,41.54910447761194,-70.52151974110326	-0.879999995,41.54910447761194,-70.51610730945521	-0.879999995,41.54910447761194,-70.51069487780717	-0.879999995,41.54910447761194,-70.50528244615911	-0.879999995,41.54910447761194,-70.49987001451106
